Instrument,Name,Lista
EMB,EMB Mission Bound,FirstNorthPremier
ENVAR,Envar,FirstNorthPremier
FRAG,Fragbite Group,FirstNorthPremier
FSPORT,FSport,FirstNorthPremier
GCOR,Gaming Corps,FirstNorthPremier
GBK,Goodbye Kansas Group,FirstNorthPremier
HOTEL,Hotel Fast SSE,FirstNorthPremier
KAKEL,Kakel Max,FirstNorthPremier
KAMBI,Kambi Group,FirstNorthPremier
BRAVE,Kinda Brave,FirstNorthPremier
KJELL,Kjell Group,FirstNorthPremier
MOBA,M.O.B.A Network,FirstNorthPremier
MAV,Mavshack,FirstNorthPremier
MAXENT-B,Maximum Entertainment B,FirstNorthPremier
NANOC-B,NanoCap Group B,FirstNorthPremier
BOAT,Nimbus Group,FirstNorthPremier
NITRO,Nitro Games,FirstNorthPremier
NREST,Nordrest,FirstNorthPremier
NBZ,Northbaze Group,FirstNorthPremier
OBAB,Online Brands Nordic,FirstNorthPremier
QIIWI,Qiiwi Games,FirstNorthPremier
REALFI,RealFiction,FirstNorthPremier
REFINE,Refine Group,FirstNorthPremier
SBOK,ScandBook Holding,FirstNorthPremier
SCOUT,Scout Gaming Group,FirstNorthPremier
SKOLON,Skolon,FirstNorthPremier
SOZAP,Sozap,FirstNorthPremier
STORY-B,Storytel B,FirstNorthPremier
BUY,Sweden Buyersclub,FirstNorthPremier
SODER,Söder Sportfiske,FirstNorthPremier
TELLUS,Tellusgruppen,FirstNorthPremier
TOURN,Tourn International,FirstNorthPremier
UTG,Unlimited Travel Group,FirstNorthPremier
USWE,USWE Sports,FirstNorthPremier
ACCON,Acconeer,FirstNorthPremier
PADEL,Acenta Group,FirstNorthPremier
ADTR,Adtraction,FirstNorthPremier
AVT-B,AVTECH Sweden B,FirstNorthPremier
BUSER,Bambuser,FirstNorthPremier
BEAMMW-B,Beammwave B,FirstNorthPremier
BIM,BIMobject,FirstNorthPremier
BINERO,Binero Group,FirstNorthPremier
BRILL,Brilliant Future,FirstNorthPremier
CHARGE,Chargepanel,FirstNorthPremier
CHECK,Checkin.com Group,FirstNorthPremier
CLAV,Clavister,FirstNorthPremier
CDMIL,CodeMill,FirstNorthPremier
COMPDM,Compodium,FirstNorthPremier
CFISH,Crunchfish,FirstNorthPremier
DIAH,Diadrom Holding,FirstNorthPremier
DIVIO-B,Divio Technologies B,FirstNorthPremier
DONE,Done.ai Group,FirstNorthPremier
ENERS,Enersize,FirstNorthPremier
EXS,Exsitec,FirstNorthPremier
FLEXM,Flexion Mobile,FirstNorthPremier
FLOWS,Flowscape Technology,FirstNorthPremier
FRAM-B,Fram Skandinavien B,FirstNorthPremier
GENI,Generic Sweden,FirstNorthPremier
GREAT,Greater Than,FirstNorthPremier
HDW-B,H&D Wireless Sweden Holding B,FirstNorthPremier
HIFA-B,Hifab B,FirstNorthPremier
INSP,Insplorion,FirstNorthPremier
IRIS,Irisity,FirstNorthPremier
JLT,JLT Mobile Computers,FirstNorthPremier
K33,K33,FirstNorthPremier
KENH,Kentima Holding B,FirstNorthPremier
KLIMAT,Klimator,FirstNorthPremier
LITI,Litium,FirstNorthPremier
LOYAL,Loyal Solutions,FirstNorthPremier
MODEL,Modelon,FirstNorthPremier
NEO-B,Neovici Holding B,FirstNorthPremier
NOSA,Nosa Plugs,FirstNorthPremier
OBSE,Observit,FirstNorthPremier
OODA,oodash Group,FirstNorthPremier
OPTER,Opter,FirstNorthPremier
QLOSR-B,Qlosr Group B,FirstNorthPremier
QCORE,Qlucore,FirstNorthPremier
RPLAN,Ranplan Group,FirstNorthPremier
RIGHTB,RightBridge Ventures Group,FirstNorthPremier
SFTR,Safeture,FirstNorthPremier
SONE,Sonetel,FirstNorthPremier
SPEONE,SpectrumOne,FirstNorthPremier
SPOTR,Spotr Group,FirstNorthPremier
TENEO,Teneo AI,FirstNorthPremier
UNIBAP,Unibap Space Solutions,FirstNorthPremier
UPSALE,Upsales Technology,FirstNorthPremier
VERT-B,Vertiseit B,FirstNorthPremier
VO2,VO2 Cap Holding,FirstNorthPremier
VUXEN,Vuxen Group,FirstNorthPremier
WPTG-B,White Pearl Technology Group B,FirstNorthPremier
XMR,XMReality,FirstNorthPremier
ZAPLOX,Zaplox,FirstNorthPremier
ALCA,Alcadon Group,FirstNorthPremier
BAHN-B,Bahnhof B,FirstNorthPremier
BRE2,Bredband2,FirstNorthPremier
EFFH,Effnetplattformen Holding,FirstNorthPremier
GAPW-B,Gapwaves B,FirstNorthPremier
INCOAX,InCoax,FirstNorthPremier
KEBNI-B,KebNi B,FirstNorthPremier
LUMEN,LumenRadio,FirstNorthPremier
MAVEN,Maven Wireless,FirstNorthPremier
TALK,TalkPool,FirstNorthPremier
TESSIN,Tessin Nordic Holding,FirstNorthPremier
WAYS,Waystream Group,FirstNorthPremier
WYLD,Wyld Networks,FirstNorthPremier
