Instrument,Name,Lista
NIBE-B,Nibe Industrier B,LargeCap
NOLA-B,Nolato B,LargeCap
OEM-B,OEM International B,LargeCap
PEAB-B,Peab B,LargeCap
SAAB-B,SAAB B,LargeCap
SAND,Sandvik,LargeCap
SECU-B,Securitas B,LargeCap
SKA-B,Skanska B,LargeCap
SWEC-A,Sweco A,LargeCap
SWEC-B,Sweco B,LargeCap
SYSR,Systemair,LargeCap
8TRA,TRATON SE,LargeCap
TREL-B,Trelleborg B,LargeCap
VOLV-A,Volvo A,LargeCap
VOLV-B,Volvo B,LargeCap
ALLEI,Alleima,LargeCap
BILL,Billerud,LargeCap
BOL,Boliden,LargeCap
GRNG,Gränges,LargeCap
HPOL-B,Hexpol B,LargeCap
HOLM-A,Holmen A,LargeCap
HOLM-B,Holmen B,LargeCap
LUG,Lundin Gold,LargeCap
LUMI,Lundin Mining Corporation,LargeCap
SCA-A,SCA A,LargeCap
SCA-B,SCA B,LargeCap
SKF-A,SKF A,LargeCap
SKF-B,SKF B,LargeCap
SSAB-A,SSAB A,LargeCap
SSAB-B,SSAB B,LargeCap
STE-A,Stora Enso A,LargeCap
STE-R,Stora Enso R,LargeCap
TROAX,Troax Group,LargeCap
ASMDEE-B,Asmodee,LargeCap
ALIV-SDB,Autoliv SDB,LargeCap
BETS-B,Betsson B,LargeCap
BILI-A,Bilia A,LargeCap
DOM,Dometic Group,LargeCap
ELUX-A,Electrolux A,LargeCap
ELUX-B,Electrolux B,LargeCap
EMBRAC-B,Embracer Group B,LargeCap
EVO,Evolution,LargeCap
FOI-B,Fenix Outdoor B,LargeCap
HM-B,H&M B,LargeCap
HUSQ-A,Husqvarna A,LargeCap
HUSQ-B,Husqvarna B,LargeCap
JM,JM,LargeCap
MIPS,Mips,LargeCap
NEWA-B,New Wave B,LargeCap
THULE,Thule Group,LargeCap
VOLCAR-B,Volvo Car B,LargeCap
ANOD-B,Addnode Group B,LargeCap
BETCO,Better Collective,LargeCap
FNOX,Fortnox,LargeCap
HACK,Hacksaw,LargeCap
HEXA-B,Hexagon B,LargeCap
LAGR-B,Lagercrantz Group B,LargeCap
MYCR,Mycronic,LargeCap
NCAB,NCAB Group,LargeCap
SINCH,Sinch,LargeCap
TIETOS,Tieto Evry,LargeCap
TRUE-B,Truecaller,LargeCap
VIT-B,Vitec Software Group B,LargeCap
YUBICO,Yubico,LargeCap
ERIC-A,Ericsson A,LargeCap
ERIC-B,Ericsson B,LargeCap
HMS,HMS Networks,LargeCap
TEL2-A,Tele2 A,LargeCap
TEL2-B,Tele2 B,LargeCap
TELIA,Telia Company,LargeCap
ENITY,Enity,MidCap
NORION,Norion Bank,MidCap
TFBANK,TF Bank,MidCap
APOTEA,Apotea,MidCap
CLA-B,Cloetta,MidCap
DUNI,Duni,MidCap
HUMBLE,Humble Group,MidCap
SCST,Scandi Standard,MidCap
EOLU-B,Eolus B,MidCap
MER,Meren Energy,MidCap
ORRON,Orrön Energy,MidCap
BESQAB,Besqab,MidCap
BESQAB-PREF-B,Besqab Pref B,MidCap
BRIN-B,Brinova Fastigheter B,MidCap
CIBUS,Cibus Nordic Real Estate,MidCap
DIOS,Diös Fastigheter,MidCap
EAST,Eastnine,MidCap
EMIL-B,Emilshus B,MidCap
EMIL-PREF,Emilshus Pref,MidCap
GPG,Genova Property Group,MidCap
HEBA-B,Heba B,MidCap
INTEA-B,Intea Fastigheter B,MidCap
INTEA-D,Intea Fastigheter D,MidCap
JOMA,John Mattson,MidCap
KFAST-B,K-Fast Holding B,MidCap
KLARA-B,KlaraBo,MidCap
LOGI-A,Logistea A,MidCap
LOGI-B,Logistea B,MidCap
NEOBO,Neobo Fastigheter,MidCap
NIVI-B,Nivika,MidCap
PLAZ-B,Platzer Fastigheter Holding B,MidCap
PRISMA,Prisma Properties,MidCap
SBB-B,SBB Norden B,MidCap
SBB-D,SBB Norden D,MidCap
STEF-B,Stendörren Fastigheter B,MidCap
SFAST,Stenhus Fastigheter i Norden,MidCap
SVEAF,Sveafastigheter,MidCap
SLP-B,Swedish Logistic Property B,MidCap
TRIAN-B,Trianon B,MidCap
CAT-A,Catella A,MidCap
CAT-B,Catella B,MidCap
CS,CoinShares International Limited,MidCap
CRED-A,Creades A,MidCap
FLERIE,Flerie,MidCap
HOFI,Hoist Finance,MidCap
INTRUM,Intrum,MidCap
LINC,Linc,MidCap
RATO-A,Ratos A,MidCap
RATO-B,Ratos B,MidCap
RESURS,Resurs Holding,MidCap
SVOL-A,Svolder A,MidCap
SVOL-B,Svolder B,MidCap
TRAC-B,Traction B,MidCap
VEFAB,VEF,MidCap
VNV,VNV Global,MidCap
ORES,Öresund,MidCap
AMBEA,Ambea,MidCap
ARJO-B,Arjo,MidCap
ATT,Attendo,MidCap
BACTI-B,Bactiguard Holding B,MidCap
BICO,BICO Group,MidCap
BIOG-B,BioGaia B,MidCap
BINV,BioInvent International,MidCap
CEVI,CellaVision,MidCap
CINPHA,Cinclus Pharma,MidCap
HNSA,Hansa Biopharma,MidCap
HUM,Humana,MidCap
MCAP,MedCap,MidCap
RAY-B,RaySearch Laboratories B,MidCap
SEDANA,Sedana Medical,MidCap
XVIVO,Xvivo Perfusion,MidCap
ALIG,Alimak Group,MidCap
AQ,AQ Group,MidCap
BERG-B,Bergman & Beving B,MidCap
BTS-B,BTS Group B,MidCap
BUFAB,Bufab,MidCap
AJA-B,Byggmästare Anders J Ahlström Holding B,MidCap
CCC,Cavotec SA,MidCap
COOR,Coor Service Management Holding,MidCap
CTT,CTT Systems,MidCap
ELAN-B,Elanders B,MidCap
EPEN,Ependion,MidCap
EWRK,Ework Group,MidCap
FAG,Fagerhult Group,MidCap
FG,Fasadgruppen,MidCap
FMM-B,FM Mattsson B,MidCap
GREEN,Green Landscaping Group,MidCap
HANZA,HANZA,MidCap
INSTAL,Instalco,MidCap
IVSO,INVISIO,MidCap
INWI,Inwido,MidCap
ITAB,ITAB Shop Concept,MidCap
KAR,Karnov Group,MidCap
MILDEF,MilDef Group,MidCap
MMGR-B,Momentum Group B,MidCap
NMAN,Nederman Holding,MidCap
NOTE,Note,MidCap
PCELL,PowerCell Sweden,MidCap
REJL-B,Rejlers B,MidCap
SDIP-B,Sdiptech B,MidCap
SDIP-PREF,Sdiptech Pref,MidCap
VOLO,Volati,MidCap
VOLO-PREF,Volati Pref,MidCap
XANO-B,XANO Industri B,MidCap
ARISE,Arise,MidCap
ARP,Arctic Paper,MidCap
BEIA-B,Beijer Alma B,MidCap
NPAPER,Nordic Paper Holding AB,MidCap
RROS,Rottneros,MidCap
VISC,Viscaria,MidCap
ACAD,AcadeMedia,MidCap
ALLIGO-B,Alligo B,MidCap
BHG,BHG Group,MidCap
BONAV-A,Bonava A,MidCap
BONAV-B,Bonava B,MidCap
BOOZT,Boozt,MidCap
BMAX,Byggmax Group,MidCap
CLAS-B,Clas Ohlson B,MidCap
G2M,Gentoo Media,MidCap
KABE-B,KABE Group B,MidCap
MEKO,MEKO,MidCap
MTG-A,MTG A,MidCap
MTG-B,MTG B,MidCap
NOBI,Nobia,MidCap
PRFO,Profoto Holding,MidCap
RVRC,Revolutionrace,MidCap
RUSTA,Rusta,MidCap
SHOT,Scandic Hotels Group,MidCap
SKIS-B,SkiStar B,MidCap
SF,Stillfront Group,MidCap
SYNSAM,Synsam,MidCap
VBG-B,VBG Group B,MidCap
VESTUM,Vestum,MidCap
CINT,Cint Group,MidCap
DUST,Dustin Group,MidCap
DYVOX,Dynavox Group,MidCap
ENEA,Enea,MidCap
IAR-B,I.A.R Systems Group B,MidCap
KNOW,Knowit,MidCap
LIME,Lime Technologies,MidCap
PRIC-B,Pricer B,MidCap
PACT,Proact IT Group,MidCap
HTRO,Hexatronic Group,MidCap
NETI-B,Net Insight B,MidCap
VPLAY-A,Viaplay Group A,MidCap
VPLAY-B,Viaplay Group B,MidCap
MSON-A,Midsona A,SmallCap
MSON-B,Midsona B,SmallCap
CTEK,CTEK,SmallCap
MAHA-A,Maha Energy A,SmallCap
ACRI-A,Acrinova A,SmallCap
ACRI-B,Acrinova B,SmallCap
ANNE-B,Annehem Fastigheter B,SmallCap
FASTAT,Fastator,SmallCap
K2A-B,K2A Knaust & Andersson Fastigheter B,SmallCap
K2A-PREF,K2A Knaust & Andersson Fastigheter Pref,SmallCap
HAV-B,Havsfrun Investment B,SmallCap
MANG,Mangold,SmallCap
NAXS,NAXS,SmallCap
QLIRO,Qliro,SmallCap
SEAF,Seafire,SmallCap
STWK,Stockwik Förvaltning,SmallCap
SFAB,Solid Försäkring,SmallCap
ACTI,Active Biotech,SmallCap
ATORX,Alligator Bioscience,SmallCap
ACE,Ascelia Pharma,SmallCap
BOUL,Boule Diagnostics,SmallCap
CRAD-B,C-RAD B,SmallCap
CANTA,Cantargia,SmallCap
CARA,Carasent,SmallCap
DEDI,Dedicare B,SmallCap
EGTX,Egetis Therapeutics,SmallCap
EPIS-B,Episurf Medical B,SmallCap
EQL,EQL Pharma,SmallCap
IMMNOV,Immunovia,SmallCap
IBT-B,Infant Bacterial Therapeutics B,SmallCap
IRLAB-A,IRLAB Therapeutics A,SmallCap
ISOFOL,Isofol Medical,SmallCap
KDEV,Karolinska Development B,SmallCap
MVIR,Medivir,SmallCap
IMMU,Mendus,SmallCap
MOB,Moberg Pharma,SmallCap
NICA,Nanologica,SmallCap
ONCO,Oncopeptides,SmallCap
ORX,Orexo,SmallCap
QLINEA,Q-Linea,SmallCap
SANION,Saniona,SmallCap
SEZI,Senzime,SmallCap
SYNACT,SynAct Pharma,SmallCap
VICO,Vicore Pharma Holding,SmallCap
VIVE,Vivesto,SmallCap
XBRANE,Xbrane Biopharma,SmallCap
XSPRAY,Xspray Pharma,SmallCap
ARPL,Arla Plast,SmallCap
BALCO,Balco Group,SmallCap
BERNER-B,Berner Industrier B,SmallCap
BONG,Bong,SmallCap
CNCJO-B,Concejo B,SmallCap
ELTEL,Eltel,SmallCap
FNM,Ferronordic,SmallCap
HAKI-A,HAKI Safety A,SmallCap
HAKI-B,HAKI Safety B,SmallCap
IS,Image Systems,SmallCap
INFREA,Infrea,SmallCap
INISS-B,Inission B,SmallCap
KARNEL-B,Karnell,SmallCap
MEAB-B,Malmbergs Elektriska B,SmallCap
NETEL,Netel,SmallCap
NGS,NGS Group,SmallCap
PION-B,PION Group B,SmallCap
PENG-B,Projektengagemang Sweden B,SmallCap
RAIL,Railcare Group,SmallCap
SINT,Sintercast,SmallCap
SVIK,Studsvik,SmallCap
SVED-B,Svedbergs Group B,SmallCap
TRANS,Transtema Group,SmallCap
WTW-A,Wall to Wall Group A,SmallCap
WISE,Wise Group,SmallCap
WBGR-B,Wästbygg,SmallCap
BEGR,BE Group,SmallCap
DURC-B,Duroc B,SmallCap
NORB-B,Nordisk Bergteknik,SmallCap
PROF-B,ProfilGruppen B,SmallCap
ATIC,Actic Group,SmallCap
BORG,Björn Borg,SmallCap
BULTEN,Bulten,SmallCap
CTM,Catena Media,SmallCap
ELON,Elon,SmallCap
EG7,Enad Global 7,SmallCap
ENRO,Eniro Group,SmallCap
G5EN,G5 Entertainment,SmallCap
LAMM-B,Lammhults Design Group B,SmallCap
MOMENT,Moment Group,SmallCap
NELLY,Nelly Group,SmallCap
NIL-B,Nilörngruppen B,SmallCap
PIERCE,Pierce Group,SmallCap
STAR-A,Starbreeze A,SmallCap
STAR-B,Starbreeze B,SmallCap
ANOT,Anoto Group,SmallCap
B3,B3 Consulting Group,SmallCap
FING-B,Fingerprint Cards B,SmallCap
FPIP,Formpipe Software,SmallCap
GARO,Garo,SmallCap
MSAB-B,Micro Systemation B,SmallCap
SAFETY-B,mySafety Group B,SmallCap
NTEK-B,Novotek B,SmallCap
PREC,Precise Biometrics,SmallCap
PREV-B,Prevas B,SmallCap
SGG,Sensys Gatso Group,SmallCap
SIVE,Sivers Semiconductors,SmallCap
SLEEP,Sleep Cycle,SmallCap
SOF-B,Softronic B,SmallCap
TOBII,Tobii,SmallCap
TRAD,TradeDoubler,SmallCap
DORO,Doro,SmallCap
OVZON,Ovzon,SmallCap
LEA,Lea Bank,FirstNorth
CHEF,Cheffelo,FirstNorth
VIVA,Viva Wine,FirstNorth
CLIME-B,Climeon B,FirstNorth
HEXI,Hexicon,FirstNorth
MIDS,Midsummer,FirstNorth
AGROUP,Arlandastad Group,FirstNorth
FNOVA-B,Fortinova Fastigheter,FirstNorth
STUDBO,Studentbostäder i Norden,FirstNorth
NAVIGO-STAM,Navigo Invest,FirstNorth
NAVIGO-PREF,Navigo Invest Pref,FirstNorth
VER,Verve Group,FirstNorth
ACARIX,Acarix,FirstNorth
ADDV-A,ADDvise Group A,FirstNorth
ADDV-B,ADDvise Group B,FirstNorth
ALZCUR,AlzeCure Pharma,FirstNorth
BIOVIC-B,Biovica International B,FirstNorth
DVYSR,Devyser Diagnostics,FirstNorth
IMP-A-SDB,Implantica,FirstNorth
KAN,Kancera,FirstNorth
NANOFS,Nanoform Finland,FirstNorth
PTRK,Physitrack,FirstNorth
SPEC,SpectraCure AB,FirstNorth
SPRINT,Sprint Bioscience,FirstNorth
BYGGP,ByggPartner Gruppen,FirstNorth
KBC,KB Components,FirstNorth
NYAB,NYAB,FirstNorth
QBEN,Qben Infra,FirstNorth
QAIR,QleanAir,FirstNorth
QSYS,Qualisys,FirstNorth
SALT-B,SaltX Technology Holding B,FirstNorth
TAGM-B,TagMaster B,FirstNorth
TSEC,Tempest Security,FirstNorth
NEXAM,Nexam Chemical Holding,FirstNorth
AGES-B,Ages Industri B,FirstNorth
DRIL,Drillcon,FirstNorth
GRANGX,GRANGEX,FirstNorth
ACROUD,ACROUD,FirstNorth
BOKUS,Bokusgruppen,FirstNorth
EMBELL,Embellence Group,FirstNorth
LYKO-A,Lyko Group A,FirstNorth
MAGI,MAG Interactive,FirstNorth
PDX,Paradox Interactive,FirstNorth
RAKE,Raketech,FirstNorth
RUG,RugVista Group,FirstNorth
THUNDR,Thunderful Group,FirstNorth
ZZ-B,Zinzino B,FirstNorth
4C,4C Group,FirstNorth
ACAST,Acast,FirstNorth
ADVE,Advenica,FirstNorth
AVEN,Avensia,FirstNorth
BRIGHT,BrightBid Group,FirstNorth
CAG,CAG Group,FirstNorth
CX,Combinedx,FirstNorth
DEVP-B,DevPort,FirstNorth
DIST,DistIT,FirstNorth
FRACTL,Fractal Gaming Group,FirstNorth
FREJA,Freja eID Group,FirstNorth
GIG-SDB,GiG Software,FirstNorth
MNTC,Mentice,FirstNorth
ONEF,Oneflow,FirstNorth
PRCO-B,Precio Fishbone B,FirstNorth
TERRNT-B,Terranet B,FirstNorth
AAC,AAC Clyde Space,FirstNorth
GOMX,GomSpace Group,FirstNorth
AGTIRA-B,Agtira B,FirstNorthPremier
ARCTIC,Arctic Blue Beverages,FirstNorthPremier
DUG,DUG Foodtech,FirstNorthPremier
HAYPP,Haypp Group,FirstNorthPremier
HERNO-B,Hernö Gin B,FirstNorthPremier
HIGHCO-B,High Coast Distillery B,FirstNorthPremier
INT,Intellego Technologies,FirstNorthPremier
NNH,New Nordic Healthbrands,FirstNorthPremier
NICO,Nicoccino Holding,FirstNorthPremier
SNX,Premium Snacks Nordic,FirstNorthPremier
SIMRIS-B,Simris Group B,FirstNorthPremier
SKMO,Skåne-möllan,FirstNorthPremier
SECARE,Swedencare,FirstNorthPremier
AEC,Africa Energy Corp,FirstNorthPremier
CIRCLE-B,Circle Energy Sweden B,FirstNorthPremier
META,Metacon,FirstNorthPremier
MINEST,Minesto,FirstNorthPremier
STW,SeaTwirl,FirstNorthPremier
SNM,ShaMaran Petroleum,FirstNorthPremier
SOLT,SolTech Energy Sweden,FirstNorthPremier
ALM,ALM Equity,FirstNorthPremier
ALM-PREF,ALM Equity Pref,FirstNorthPremier
ATIN,Athanase Innovation,FirstNorthPremier
BOHO,Boho Group,FirstNorthPremier
BOHO-PREF,Boho Group Pref,FirstNorthPremier
BONAS,Bonäsudden Holding,FirstNorthPremier
DOXA,Doxa,FirstNorthPremier
HEIM-PREF,Heimstaden Pref,FirstNorthPremier
KAPIAB,Kallebäck Property Invest,FirstNorthPremier
LINKAB,Link Prop Investment,FirstNorthPremier
SOLNA,Solnaberg Property,FirstNorthPremier
TINGS-A,Tingsvalvet Fastighets A,FirstNorthPremier
TINGS-B,Tingsvalvet Fastighets B,FirstNorthPremier
TINGS-PREF,Tingsvalvet Fastighets PREF,FirstNorthPremier
TITA-B,Titania,FirstNorthPremier
ALPCOT-B,Alpcot Holding B,FirstNorthPremier
BMC,Brock Milton Capital,FirstNorthPremier
CASE,Case,FirstNorthPremier
FIRST-B,First Venture Sweden,FirstNorthPremier
FLAT-B,Flat Capital,FirstNorthPremier
MTI,MTI Investment,FirstNorthPremier
NAIG-B,Nordic Asia Investment Group 1987,FirstNorthPremier
NFGAB,Nordic Flanges Group,FirstNorthPremier
SFL,Safello Group,FirstNorthPremier
YIELD,SaveLend Group,FirstNorthPremier
VH,Västra Hamnen Corporate Finance,FirstNorthPremier
WRV,Webrock Ventures,FirstNorthPremier
2CUREX,2cureX,FirstNorthPremier
ACOU,AcouSort,FirstNorthPremier
AINO,Aino Health,FirstNorthPremier
ALZ,Alzinova,FirstNorthPremier
ANNX,Annexin Pharmaceuticals,FirstNorthPremier
ARCOMA,Arcoma,FirstNorthPremier
BIOSGN,Biosergen,FirstNorthPremier
BRAIN,BrainCool,FirstNorthPremier
CRNO-B,Cereno Scientific B,FirstNorthPremier
CMH,Chordate Medical Holding,FirstNorthPremier
CMH-PREF,Chordate Medical Holding Pref,FirstNorthPremier
CLS-B,Clinical Laserthermia Systems B,FirstNorthPremier
CLBIO,Corline Biomedical,FirstNorthPremier
DMYD-B,Diamyd Medical B,FirstNorthPremier
DICOT,Dicot Pharma,FirstNorthPremier
ELIC,Elicera Therapeutics,FirstNorthPremier
ELN,Ellen,FirstNorthPremier
ERMA,Enorama Pharma,FirstNorthPremier
ENZY,Enzymatica,FirstNorthPremier
EXPRS2,ExpreS2ion Biotech Holding,FirstNorthPremier
FLUI,Fluicell,FirstNorthPremier
FLUO,FluoGuide,FirstNorthPremier
GABA,Gabather,FirstNorthPremier
GENO,Genovis,FirstNorthPremier
GUARD,Guard Therapeutics International,FirstNorthPremier
ICO,Iconovo,FirstNorthPremier
IDLDX,IDL Diagnostics,FirstNorthPremier
INIT,Initiator Pharma,FirstNorthPremier
INTEG-B,Integrum B,FirstNorthPremier
IVACC,Intervacc,FirstNorthPremier
IZAFE-B,iZafe Group B,FirstNorthPremier
KLAR,Klaria Pharma Holding,FirstNorthPremier
KONT,Kontigo Care,FirstNorthPremier
LIDDS,LIDDS,FirstNorthPremier
LPGO,Lipigon Pharmaceuticals,FirstNorthPremier
LIPUM,Lipum,FirstNorthPremier
LARK,Lärkberget,FirstNorthPremier
MAGLE,Magle Chemoswed,FirstNorthPremier
MAGNA,Magnasense,FirstNorthPremier
MEDHLP,MedHelp Care,FirstNorthPremier
MODTX,Modus Therapeutics,FirstNorthPremier
NANEXA,Nanexa,FirstNorthPremier
NANECH,NanoEcho,FirstNorthPremier
NEOLA,Neola Medical,FirstNorthPremier
