,Category,Values,Ticker
0,Latest_clusterAvg,57.03896103896104,ARION-SDB
1,Trend_clusterAvg,48.15584415584416,ARION-SDB
2,Latest_clusterRank,73.44155844155844,ARION-SDB
3,Trend_clusterRank,44.675324675324674,ARION-SDB
0,Latest_clusterAvg,62.0,AZA
1,Trend_clusterAvg,40.07792207792208,AZA
2,Latest_clusterRank,79.87012987012987,AZA
3,Trend_clusterRank,30.519480519480517,AZA
0,Latest_clusterAvg,51.8051948051948,SHB-A
1,Trend_clusterAvg,67.54545454545455,SHB-A
2,Latest_clusterRank,58.83116883116883,SHB-A
3,Trend_clusterRank,82.20779220779221,SHB-A
0,Latest_clusterAvg,56.06493506493506,SHB-B
1,Trend_clusterAvg,69.80519480519482,SHB-B
2,Latest_clusterRank,70.51948051948051,SHB-B
3,Trend_clusterRank,85.71428571428571,SHB-B
0,Latest_clusterAvg,36.675324675324674,NDA-SE
1,Trend_clusterAvg,42.96103896103896,NDA-SE
2,Latest_clusterRank,14.935064935064934,NDA-SE
3,Trend_clusterRank,35.58441558441559,NDA-SE
0,Latest_clusterAvg,40.37662337662338,SEB-A
1,Trend_clusterAvg,52.168831168831176,SEB-A
2,Latest_clusterRank,22.207792207792206,SEB-A
3,Trend_clusterRank,52.85714285714286,SEB-A
0,Latest_clusterAvg,45.77922077922078,SEB-C
1,Trend_clusterAvg,53.59740259740259,SEB-C
2,Latest_clusterRank,37.79220779220779,SEB-C
3,Trend_clusterRank,56.1038961038961,SEB-C
0,Latest_clusterAvg,54.519480519480524,SWED-A
1,Trend_clusterAvg,58.36363636363636,SWED-A
2,Latest_clusterRank,66.1038961038961,SWED-A
3,Trend_clusterRank,66.23376623376623,SWED-A
0,Latest_clusterAvg,64.88311688311688,AAK
1,Trend_clusterAvg,89.1948051948052,AAK
2,Latest_clusterRank,85.51948051948052,AAK
3,Trend_clusterRank,100.0,AAK
0,Latest_clusterAvg,44.33766233766234,AXFO
1,Trend_clusterAvg,43.350649350649356,AXFO
2,Latest_clusterRank,32.66233766233766,AXFO
3,Trend_clusterRank,36.493506493506494,AXFO
0,Latest_clusterAvg,75.9090909090909,ESSITY-A
1,Trend_clusterAvg,88.32467532467533,ESSITY-A
