,Net_Income,EBIT,Pretax_Income,Tax_Provision,Interest_Expense,Gross_Profit,Total_Revenue,Operating_Income,Basic_EPS,EBITDA,Stockholders_Equity,Total_Assets,Total_Debt,Cash_And_Cash_Equivalents,Operating_Cash_Flow,Free_Cash_Flow,sharesOutstanding,currentPrice,marketCap,ROE_ratio_latest,ROE_year_2021,ROE_year_2022,ROE_year_2023,ROE_year_2024,ROE_ratio_trendSlope,ROIC_ratio_latest,ROIC_ratio_trendSlope,ROIC_year_2021,ROIC_year_2022,ROIC_year_2023,ROIC_year_2024,Soliditet_ratio_latest,Soliditet_year_2021,Soliditet_year_2022,Soliditet_year_2023,Soliditet_year_2024,Soliditet_ratio_trendSlope,Skuldsättningsgrad_ratio_latest,Skuldsättningsgrad_year_2021,Skuldsättningsgrad_year_2022,Skuldsättningsgrad_year_2023,Skuldsättningsgrad_year_2024,Skuldsättningsgrad_ratio_trendSlope,Räntetäckningsgrad_ratio_latest,Räntetäckningsgrad_ratio_trendSlope,Räntetäckningsgrad_year_2021,Räntetäckningsgrad_year_2022,Räntetäckningsgrad_year_2023,Räntetäckningsgrad_year_2024,Bruttomarginal_ratio_latest,Bruttomarginal_ratio_trendSlope,Bruttomarginal_year_2021,Bruttomarginal_year_2022,Bruttomarginal_year_2023,Bruttomarginal_year_2024,Rörelsemarginal_ratio_latest,Rörelsemarginal_ratio_trendSlope,Rörelsemarginal_year_2021,Rörelsemarginal_year_2022,Rörelsemarginal_year_2023,Rörelsemarginal_year_2024,Vinstmarginal_ratio_latest,Vinstmarginal_year_2021,Vinstmarginal_year_2022,Vinstmarginal_year_2023,Vinstmarginal_year_2024,Vinstmarginal_ratio_trendSlope,PE_tal_ratio_latest,PE_tal_year_2021,PE_tal_year_2022,PE_tal_year_2023,PE_tal_year_2024,PE_tal_ratio_trendSlope,PB_tal_ratio_latest,PB_tal_year_2021,PB_tal_year_2022,PB_tal_year_2023,PB_tal_year_2024,PB_tal_ratio_trendSlope,EV_EBITDA_ratio_latest,EV_EBITDA_ratio_trendSlope,EV_EBITDA_year_2021,EV_EBITDA_year_2022,EV_EBITDA_year_2023,EV_EBITDA_year_2024,Rörelseflödesmarginal_ratio_latest,Rörelseflödesmarginal_year_2021,Rörelseflödesmarginal_year_2022,Rörelseflödesmarginal_year_2023,Rörelseflödesmarginal_year_2024,Rörelseflödesmarginal_ratio_trendSlope,Fritt_Kassaflode_per_Aktie_ratio_latest,Fritt_Kassaflode_per_Aktie_year_2021,Fritt_Kassaflode_per_Aktie_year_2022,Fritt_Kassaflode_per_Aktie_year_2023,Fritt_Kassaflode_per_Aktie_year_2024,Fritt_Kassaflode_per_Aktie_ratio_trendSlope,Kassaflode_till_Skuld_ratio_latest,Kassaflode_till_Skuld_year_2021,Kassaflode_till_Skuld_year_2022,Kassaflode_till_Skuld_year_2023,Kassaflode_till_Skuld_year_2024,Kassaflode_till_Skuld_ratio_trendSlope,ROE_year_2025,ROIC_year_2025,Soliditet_year_2025,Skuldsättningsgrad_year_2025,Räntetäckningsgrad_year_2025,Bruttomarginal_year_2025,Rörelsemarginal_year_2025,Vinstmarginal_year_2025,PE_tal_year_2025,PB_tal_year_2025,EV_EBITDA_year_2025,Rörelseflödesmarginal_year_2025,Fritt_Kassaflode_per_Aktie_year_2025,Kassaflode_till_Skuld_year_2025,ROE_year_2020,ROIC_year_2020,Soliditet_year_2020,Skuldsättningsgrad_year_2020,Räntetäckningsgrad_year_2020,Bruttomarginal_year_2020,Rörelsemarginal_year_2020,Vinstmarginal_year_2020,PE_tal_year_2020,PB_tal_year_2020,EV_EBITDA_year_2020,Rörelseflödesmarginal_year_2020,Fritt_Kassaflode_per_Aktie_year_2020,Kassaflode_till_Skuld_year_2020,ROE_latest_ratioRank,ROE_trend_ratioRank,ROIC_latest_ratioRank,ROIC_trend_ratioRank,Soliditet_latest_ratioRank,Soliditet_trend_ratioRank,Skuldsättningsgrad_latest_ratioRank,Skuldsättningsgrad_trend_ratioRank,Räntetäckningsgrad_latest_ratioRank,Räntetäckningsgrad_trend_ratioRank,Bruttomarginal_latest_ratioRank,Bruttomarginal_trend_ratioRank,Rörelsemarginal_latest_ratioRank,Rörelsemarginal_trend_ratioRank,Vinstmarginal_latest_ratioRank,Vinstmarginal_trend_ratioRank,PE_tal_latest_ratioRank,PE_tal_trend_ratioRank,PB_tal_latest_ratioRank,PB_tal_trend_ratioRank,EV_EBITDA_latest_ratioRank,EV_EBITDA_trend_ratioRank,Rörelseflödesmarginal_latest_ratioRank,Rörelseflödesmarginal_trend_ratioRank,Fritt_Kassaflode_per_Aktie_latest_ratioRank,Fritt_Kassaflode_per_Aktie_trend_ratioRank,Kassaflode_till_Skuld_latest_ratioRank,Kassaflode_till_Skuld_trend_ratioRank,Kvalitet_latest_catAvg,Kvalitet_trend_catAvg,FinansiellHalsa_latest_catAvg,FinansiellHalsa_trend_catAvg,Lonsamhet_latest_catAvg,Lonsamhet_trend_catAvg,Vardering_latest_catAvg,Vardering_trend_catAvg,Kassaflode_latest_catAvg,Kassaflode_trend_catAvg,Kvalitet_latest_catRank,Kvalitet_trend_catRank,FinansiellHalsa_latest_catRank,FinansiellHalsa_trend_catRank,Lonsamhet_latest_catRank,Lonsamhet_trend_catRank,Vardering_latest_catRank,Vardering_trend_catRank,Kassaflode_latest_catRank,Kassaflode_trend_catRank,Name,Sektor,Lista,pct_Close_vs_SMA_short,pct_SMA_short_vs_SMA_medium,pct_SMA_medium_vs_SMA_long,cagr_close,Latest_clusterAvg,Trend_clusterAvg,Latest_clusterRank,Trend_clusterRank,cagrTotal_Revenue,cagrEBITDA,cagrBasic_EPS
ARION-SDB,26111000000.0,,35068000000.0,8919000000.0,85957000000.0,,66609000000.0,,18.31,,206582000000.0,1618267000000.0,478691000000.0,124094000000.0,23593000000.0,22646000000.0,1383260032.0,14.1,19503966208.0,0.1263953296995866,0.14750547892226376,0.13851591237914226,0.12955361723961006,0.1263953296995866,-0.007229274280756348,,,,,,,0.12765631382213194,0.1475989904586776,0.1278014804767165,0.13030192597098197,0.12765631382213194,-0.005732758441537133,2.317196077102555,2.024509475312621,2.3536974058631017,2.3280566202879305,2.317196077102555,0.0852419019794635,,,,,,,,,,,,,,,,,,,0.3920040835322554,0.4914695118808309,0.47158151116927494,0.4002828634484474,0.3920040835322554,-0.036969493276655344,0.7700709994538504,0.7850779510022271,0.810344827586207,0.7921348314606741,0.7700709994538504,-0.006323085077066214,0.09441270997085903,0.1005747915493103,0.10412833717479858,0.0981094701717321,0.09441270997085903,-0.002450511173842024,,,,,,,0.3542013841973307,1.1076920433654622,1.043168475198575,-0.17666531969786453,0.3542013841973307,-0.3480305772400833,16.37146991607721,45.461445097258476,40.931566509687165,-8.887699865241245,16.37146991607721,-13.708919191847215,0.04928649170341619,0.16421423167933,0.13018073600929084,-0.024560675694070822,0.04928649170341619,-0.049952463163110285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.9,46.6,50.0,50.0,7.3,42.3,5.1,30.1,50.0,50.0,50.0,50.0,50.0,50.0,93.0,26.3,54.8,99.9,92.9,99.2,50.0,50.0,91.8,8.6,91.0,2.8,34.8,33.0,61.440677966101696,48.31288343558282,6.206497244565149,36.2187156790725,64.31860036832413,42.09104938271605,65.91828035562051,83.01591823716812,62.90955091714105,17.938699489837234,64.8,58.8,2.6,43.4,74.8,35.4,78.8,97.1,64.0,5.9,Arion Bank SDB,Bank,LargeCap,0.8944578010030744,5.162163659434705,5.136573415408578,0.0328219262378277,56.98309492847854,48.11443433029909,73.2,44.5,0.04598324153986,,0.006452693960911748
AZA,2254000000.0,,2621000000.0,367000000.0,1178000000.0,,3901000000.0,,14.33,,6320000000.0,343614000000.0,281000000.0,8194000000.0,3993000000.0,3951000000.0,157236992.0,360.3,56652484608.0,0.3566455696202532,0.4354392682407998,0.3364976772369218,0.33979084519115377,0.3566455696202532,-0.02330879279074072,,,,,,,0.0183927313788146,0.016844511648906057,0.020535814277596428,0.020651223389378057,0.0183927313788146,0.0004760068301507281,0.0444620253164557,0.025951925122314402,0.016764290042415673,0.01577232984741985,0.0444620253164557,0.00545383403874281,,,,,,,,,,,,,,,,,,,0.5778005639579595,0.6201151166313238,0.560376723847965,0.5766656968286297,0.5778005639579595,-0.011065468503942735,25.143056524773204,27.31614859742229,33.7043966323667,28.504746835443036,25.143056524773204,-1.1718926014870892,8.964001300253164,12.051156821442246,11.442635471137145,9.712410117881022,8.964001300253164,-1.099169191682335,,,,,,,1.02358369648808,1.3717055437746137,2.5728220652539524,2.5149839976723887,1.02358369648808,-0.11022036094411646,25.12767479042082,28.441144435019464,48.36648108862322,54.821705060346105,25.12767479042082,-0.3485184962073043,14.209964412811388,37.114754098360656,92.1566265060241,93.95652173913044,14.209964412811388,-6.691447382354144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,37.6,50.0,50.0,4.0,51.2,83.5,6.6,50.0,50.0,50.0,50.0,50.0,50.0,95.4,37.2,24.7,85.9,14.4,63.0,50.0,50.0,98.9,13.8,95.2,23.0,98.2,4.5,71.54498044328552,43.81390593047035,43.79402343473389,28.888550975529874,65.14732965009209,45.71759259259259,29.689508653703026,66.30096290642213,96.69460257221168,13.762652846384322,78.3,52.7,39.9,24.8,76.9,41.0,15.0,78.3,99.7,3.5,Avanza Bank,Bank,LargeCap,2.363766668172119,3.9595484524054334,15.706413370503563,0.2860405604702261,61.95058517555267,40.05201560468141,79.8,30.4,0.05723442004557722,,0.028010919196450823
SHB-A,27451000000.0,,35016000000.0,7795000000.0,124283000000.0,,62314000000.0,,13.86,,210022000000.0,3539173000000.0,1839117000000.0,542542000000.0,44529000000.0,42902000000.0,1944780032.0,120.3,240752787456.0,0.13070535467712907,0.10746480578516945,0.1117198653753975,0.14193136270102108,0.13070535467712907,0.009993314400150253,,,,,,,0.05934211184364257,0.05429304247326672,0.05617742965696678,0.05796779460183075,0.05934211184364257,0.001693757305599157,8.756782622772853,7.915671469296556,8.556769628029956,9.02727742615005,8.756782622772853,0.2993841258548999,,,,,,,,,,,,,,,,,,,0.44052700837692976,0.4457608546774414,0.4394258838793383,0.4691650548033527,0.44052700837692976,0.001403763202248003,8.67965367965368,12.20081135902637,10.986301369863014,8.183673469387756,8.67965367965368,-1.3366100938593322,1.1139644315814534,1.28755813153996,1.2058335842491275,1.1408197751567697,1.1139644315814534,-0.05857949089678763,,,,,,,0.7145906216901499,1.1272656713692188,-0.7763947453778787,0.3727433913604126,0.7145906216901499,-0.008888701229891462,22.060078411993896,24.50045723217298,-20.46246842583789,10.970906554433402,22.060078411993896,2.411223851973406,0.02421216268459266,0.03433229624737107,-0.0230684022881677,0.012491249373411924,0.02421216268459266,0.0005199250973244378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,58.4,50.0,50.0,5.1,54.1,0.7,44.0,50.0,50.0,50.0,50.0,50.0,50.0,93.9,53.2,49.7,84.8,63.9,88.6,50.0,50.0,97.3,38.3,94.2,92.0,28.8,50.7,62.1251629726206,54.19675090252707,2.9343923256036755,49.0349974266598,64.61786372007367,51.05956471935853,54.53700320707993,74.47348334175474,61.51934429685852,71.34820158451618,65.3,67.3,0.6,54.4,75.7,56.8,55.4,89.7,61.6,69.4,Handelsbanken A,Bank,LargeCap,1.7938760713382602,-5.538370366085908,3.933357725259049,0.1228888285769034,51.74252275682704,67.52925877763329,59.0,82.3,0.1246197511527436,,0.12017066205513793
SHB-B,27451000000.0,,35016000000.0,7795000000.0,124283000000.0,,62314000000.0,,13.86,,210022000000.0,3539173000000.0,1839117000000.0,542542000000.0,44529000000.0,42902000000.0,35251300.0,192.8,240753213440.0,0.13070535467712907,0.10746480578516945,0.1117198653753975,0.14193136270102108,0.13070535467712907,0.009993314400150253,,,,,,,0.05934211184364257,0.05429304247326672,0.05617742965696678,0.05796779460183075,0.05934211184364257,0.001693757305599157,8.756782622772853,7.915671469296556,8.556769628029956,9.02727742615005,8.756782622772853,0.2993841258548999,,,,,,,,,,,,,,,,,,,0.44052700837692976,0.4457608546774414,0.4394258838793383,0.4691650548033527,0.44052700837692976,0.001403763202248003,13.910533910533912,19.553752535496958,17.60730593607306,13.115646258503403,13.910533910533912,-2.142131555245879,0.0323606605022331,0.03740355651436937,0.035029458873008595,0.033140808082778264,0.0323606605022331,-0.0017017338826639083,,,,,,,0.7145906216901499,1.1272656713692188,-0.7763947453778787,0.3727433913604126,0.7145906216901499,-0.008888701229891462,1217.0331306930525,1351.6664633644716,-1128.8945372227406,605.2542743104509,1217.0331306930525,133.02488135189358,0.02421216268459266,0.03433229624737107,-0.0230684022881677,0.012491249373411924,0.02421216268459266,0.0005199250973244378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.3,58.4,50.0,50.0,5.1,54.1,0.7,44.0,50.0,50.0,50.0,50.0,50.0,50.0,93.9,53.2,41.6,79.2,95.2,99.5,50.0,50.0,97.3,38.3,99.9,99.7,28.8,50.7,62.1251629726206,54.19675090252707,2.9343923256036755,49.0349974266598,64.61786372007367,51.05956471935853,62.259435175036195,76.22504488426847,64.3298018131984,75.2059170153779,65.3,67.3,0.6,54.4,75.7,56.8,72.4,93.0,66.1,77.4,Handelsbanken B,Bank,LargeCap,1.6341616249720885,-3.4232078369558128,14.702155580334686,0.2482225821534789,56.03381014304291,69.76592977893367,70.5,85.8,0.1246197511527436,,0.12017066205513793
NDA-SE,5059000000.0,,6548000000.0,1489000000.0,13486000000.0,,12039000000.0,,1.44,,32436000000.0,623355000000.0,197311000000.0,50637000000.0,906000000.0,346000000.0,3450589952.0,143.75,496022290432.0,0.15596867677888765,0.11437869469158655,0.11635974581766308,0.15801441152922338,0.15596867677888765,0.01664246119734637,,,,,,,0.05203455494862478,0.0587250351975005,0.0518622767680742,0.053403272094160785,0.05203455494862478,-0.001853044542054051,6.083086693797016,5.487221591926913,6.169173907405006,6.1185268214571655,6.083086693797016,0.1736948219662471,,,,,,,,,,,,,,,,,,,0.42021762604867513,0.3967070518794657,0.3708794047742069,0.42037999488796113,0.42021762604867513,0.01200323126213829,99.82638888888889,151.31578947368422,152.92553191489364,104.92700729927006,99.82638888888889,-20.246672637000948,15.292338932050809,14.809288397922018,16.08164653092984,15.885422116893514,15.292338932050809,0.12529271883500556,,,,,,,0.07525541988537254,1.8216837527182355,2.2708484034308154,-0.55141859078129,0.07525541988537254,-0.8061551992710694,0.10027270838120148,4.977119924100445,6.251104970469699,-2.0292182198993434,0.10027270838120148,-2.2910864837526765,0.004591735889027981,0.09571845975548048,0.11548648847500026,-0.03387577139088516,0.004591735889027981,-0.04227424314652427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.3,64.8,50.0,50.0,4.7,47.6,1.3,40.4,50.0,50.0,50.0,50.0,50.0,50.0,93.2,63.1,6.2,59.7,8.2,19.7,50.0,50.0,47.6,5.7,46.4,8.5,26.1,34.1,64.63494132985659,57.40072202166065,2.9857833724189926,44.00133828888129,64.41068139963168,54.35280641466209,21.482158080623552,43.120318042351045,36.267130508117226,21.305368855777793,69.3,71.8,0.8,50.6,74.9,62.3,7.7,22.2,30.3,8.3,Nordea Bank,Bank,LargeCap,3.094631456062192,-0.0150581191733688,6.573564378526788,0.1380740599568306,36.592977893368015,43.042912873862164,14.8,35.9,0.07623913688161021,,0.14868044449178353
SEB-A,35865000000.0,,46043000000.0,10178000000.0,104153000000.0,,81610000000.0,,17.51,,231148000000.0,3759028000000.0,953911000000.0,275619000000.0,-34433000000.0,-35622000000.0,1965260032.0,173.05,344319328256.0,0.15516033017806774,0.1315699588051421,0.13165900039678458,0.17186788411678502,0.15516033017806774,0.011097999783877745,,,,,,,0.06149142810322243,0.05847897997415434,0.05778482039210491,0.06146385833671912,0.06149142810322243,0.0012716382331818517,4.126840811947324,3.961341006479392,4.070637451565339,4.080608725059181,4.126840811947324,0.05064706898976413,,,,,,,,,,,,,,,,,,,0.43946820242617324,0.4571988634320037,0.41691744485465204,0.47668834417208605,0.43946820242617324,0.0006578916299943458,9.882924043403769,14.727659574468086,13.75596184419714,9.508241758241759,9.882924043403769,-1.878192667914831,1.4713008485368682,1.760036063808558,1.6659477936210758,1.533483253466802,1.4713008485368682,-0.0998670185969343,,,,,,,-0.42192133316995467,2.367586231701615,-1.088418701330934,-0.4800775387693847,-0.42192133316995467,-0.7760181532053156,-18.125845648908,66.66191642165346,-36.22523169493736,-20.06095852866762,-18.125845648908,-23.81990130454146,-0.036096658912623925,0.1719947429067127,-0.08443724548246416,-0.04241765260332583,-0.036096658912623925,-0.058225461257887155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1,60.4,50.0,50.0,5.5,52.6,2.6,20.8,50.0,50.0,50.0,50.0,50.0,50.0,93.6,52.1,48.0,80.9,56.6,85.3,50.0,50.0,18.5,6.1,1.6,1.3,23.5,32.1,64.53715775749674,55.18953068592057,4.088425923997484,36.68998268843868,64.52578268876611,50.715922107674686,51.5275578830566,72.06944250334169,12.518184693232133,16.701149890679407,69.1,69.5,1.9,44.0,75.4,56.0,48.2,86.7,7.2,5.3,SEB A,Bank,LargeCap,2.423724839186417,2.5355476067404723,6.809645582019224,0.2362775690785679,40.35110533159948,52.314694408322495,22.4,53.1,0.13639131321720321,,0.14218447748784224
SEB-C,35865000000.0,,46043000000.0,10178000000.0,104153000000.0,,81610000000.0,,17.51,,231148000000.0,3759028000000.0,953911000000.0,275619000000.0,-34433000000.0,-35622000000.0,24152500.0,175.2,344318803968.0,0.15516033017806774,0.1315699588051421,0.13165900039678458,0.17186788411678502,0.15516033017806774,0.011097999783877745,,,,,,,0.06149142810322243,0.05847897997415434,0.05778482039210491,0.06146385833671912,0.06149142810322243,0.0012716382331818517,4.126840811947324,3.961341006479392,4.070637451565339,4.080608725059181,4.126840811947324,0.05064706898976413,,,,,,,,,,,,,,,,,,,0.43946820242617324,0.4571988634320037,0.41691744485465204,0.47668834417208605,0.43946820242617324,0.0006578916299943458,10.005711022272985,14.910638297872339,13.926868044515102,9.626373626373626,10.005711022272985,-1.9015276244939519,0.018306530880647896,0.02189909329910779,0.020728408306023776,0.019080229962800132,0.018306530880647896,-0.0012425865598603297,,,,,,,-0.42192133316995467,2.367586231701615,-1.088418701330934,-0.4800775387693847,-0.42192133316995467,-0.7760181532053156,-1474.8783769796087,5424.200393334024,-2947.6037677259083,-1632.3361970810474,-1474.8783769796087,-1938.1968740296031,-0.036096658912623925,0.1719947429067127,-0.08443724548246416,-0.04241765260332583,-0.036096658912623925,-0.058225461257887155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.1,60.4,50.0,50.0,5.5,52.6,2.6,20.8,50.0,50.0,50.0,50.0,50.0,50.0,93.6,52.1,47.8,80.6,95.7,99.7,50.0,50.0,18.5,6.1,0.3,0.2,23.5,32.1,64.53715775749674,55.18953068592057,4.088425923997484,36.68998268843868,64.52578268876611,50.715922107674686,64.50412048877523,76.77342134591885,11.864589921990301,16.13511215483035,69.1,69.5,1.9,44.0,75.4,56.0,76.9,93.9,6.6,5.1,SEB C,Bank,LargeCap,1.5887720794349622,2.4036298543864265,6.632549502878274,0.1830845821002957,45.96879063719116,53.69310793237971,38.1,56.2,0.13639131321720321,,0.14218447748784224
SWED-A,34869000000.0,,44187000000.0,9320000000.0,70732000000.0,,73332000000.0,,30.99,,218874000000.0,3009697000000.0,923104000000.0,325604000000.0,80817000000.0,80410000000.0,1124230016.0,261.6,294098567168.0,0.15931083637161106,0.12909630729263313,0.12135619021652694,0.17170456832360637,0.15931083637161106,0.014099196534401339,,,,,,,0.07272293523235063,0.05877590373359868,0.06167209524403376,0.069605560320208,0.07272293523235063,0.004977455957243016,4.217513272476402,4.998367043978475,5.006827528230295,4.395406520426645,4.217513272476402,-0.2953982322309864,,,,,,,,,,,,,,,,,,,0.4754950090001636,0.44686864361417405,0.4165610559769151,0.47233371162842197,0.4754950090001636,0.014165175180947561,8.441432720232335,14.049409237379162,13.746715712033632,8.619439868204283,8.441432720232335,-2.1951205395269824,1.3436889360344308,1.8191289180775658,1.6705210516529208,1.4796667950573559,1.3436889360344308,-0.16171742027249678,,,,,,,1.102070037637048,1.0578953002890483,-0.36304080797052,-2.0088576410994547,1.102070037637048,-0.1513292621084934,71.52450909120718,43.72414835079444,-16.88533461109795,-129.86666244641523,71.52450909120718,-2.9580245614078997,0.08754918189066455,0.061143244654653095,-0.021123996269833526,-0.16614337174390562,0.08754918189066455,-0.006580156376603764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8,62.3,50.0,50.0,6.1,58.7,2.4,57.2,50.0,50.0,50.0,50.0,50.0,50.0,94.6,65.6,50.0,79.1,59.1,81.2,50.0,50.0,99.0,12.1,98.0,7.0,38.7,44.8,64.89569752281616,56.13718411552347,4.261968334367749,57.92312945078529,64.87108655616943,55.21191294387171,53.02832244008715,70.08969686544754,68.37444655281467,25.91545874159851,69.8,70.6,2.1,61.6,76.3,63.8,52.5,83.7,71.8,12.4,Swedbank A,Bank,LargeCap,2.753448130282617,0.7527073019023861,12.23524619591096,0.3290799569886946,54.51235370611183,58.439531859557874,66.2,66.3,0.16223822191654969,,0.18503309138111868
AAK,3536000000.0,4895000000.0,4660000000.0,1118000000.0,235000000.0,12996000000.0,45052000000.0,4896000000.0,13.62,5757000000.0,20087000000.0,34386000000.0,3571000000.0,1911000000.0,2352000000.0,1107000000.0,259559008.0,251.4,65253134336.0,0.1760342510081147,0.12195535941610795,0.11771747805267359,0.1721095986446223,0.1760342510081147,0.0216628795367969,0.1572668937219469,0.025327830203134317,0.09283329160955557,0.08678192802260286,0.14675942371677192,0.1572668937219469,0.5841621590182051,0.43374070529338143,0.4423654015887026,0.5602762593695787,0.5841621590182051,0.05691752189553472,0.17777667147906606,0.38742255792243063,0.481976589518489,0.2620202138225156,0.17777667147906606,-0.08488940350260665,20.829787234042552,0.011654163204491636,21.484536082474225,12.576354679802956,14.657142857142857,20.829787234042552,0.2884666607475806,0.027041477870410283,0.21874647410583323,0.19363411006445216,0.25488832884331275,0.2884666607475806,0.10867442066944864,0.01883406845375481,0.05892474331490466,0.05033217649975211,0.0894238289736682,0.10867442066944864,0.0784870815946018,0.040533679341080896,0.03510163609320773,0.06400451898844182,0.0784870815946018,0.014276308965579687,18.458149779735685,44.97316636851521,36.75438596491228,22.14977973568282,18.458149779735685,-9.414965599556796,3.248525644008563,5.537904999677501,4.339793469752594,3.8121828948530703,3.248525644008563,-0.7395748641906333,11.622917250512423,-4.03567510877882,22.622332219329394,21.057589620646695,13.699083439309378,11.622917250512423,0.05220633934120572,0.014329233893715446,-0.0014476945959345563,0.1154514643260624,0.05220633934120572,0.02305304752644678,4.264926147352204,-0.4276484212792183,-5.0046423355108525,15.676589425091345,4.264926147352204,3.475895546649646,0.6586390366844022,0.11128148959474261,-0.010073133710500897,1.1848383500557413,0.6586390366844022,0.283698412503522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.1,67.3,88.2,80.8,61.1,91.6,67.1,68.8,87.5,50.2,25.1,82.2,69.8,69.5,71.7,65.8,35.4,64.3,32.9,67.2,38.7,68.5,40.5,69.0,73.1,94.7,77.6,80.4,85.18124992384458,74.08714549993712,64.11998950310533,80.21632035898936,55.51728152244112,72.49420686780924,35.66678845451224,66.66351632650716,75.32627029306346,87.56489663264352,91.2,90.2,66.6,94.9,62.9,86.1,22.1,79.2,82.6,95.7,AAK,Dagligvaror,LargeCap,-3.803477635288709,1.2710225901468768,-8.416693469972092,0.1440699508052851,65.07152145643693,89.23276983094928,85.7,100.0,0.0831365183590409,0.2368715751169943,0.34552682115515565
AXFO,2192000000.0,3303000000.0,2885000000.0,666000000.0,418000000.0,12231000000.0,84057000000.0,3348000000.0,10.16,6678000000.0,7053000000.0,35432000000.0,15296000000.0,735000000.0,5459000000.0,3920000000.0,215922000.0,295.1,63718584320.0,0.3107897348645966,0.4341680129240711,0.3570888182781056,0.34273665842663953,0.3107897348645966,-0.03844869940298891,0.1136742147745552,-0.016584364919967242,0.1693233177466054,0.15835246577242182,0.15945612548889992,0.1136742147745552,0.1990573492887785,0.20867220091862965,0.23093857013068697,0.22909587580784863,0.1990573492887785,-0.0030687249212391562,2.168722529420105,1.6163166397415185,1.3996065970646088,1.4198051475934275,2.168722529420105,0.16774162195645795,7.901913875598086,-5.058168667287669,21.991869918699187,17.771428571428572,9.459610027855152,7.901913875598086,0.14550840501088547,-0.002466657296651582,0.15453179250660726,0.13723221819963524,0.13963580772028455,0.14550840501088547,0.039830115278917874,-0.0024055442897955364,0.04750306610699418,0.04309007267877072,0.0420534822650442,0.039830115278917874,0.026077542619888885,0.03713876077455908,0.03212020578708114,0.02905894391636153,0.026077542619888885,-0.003624491633473016,29.04527559055118,28.931372549019613,26.73007246376812,27.023809523809526,29.04527559055118,0.06354461846361475,9.034252403232667,12.867241962843297,9.641183567862006,9.26546200378072,9.034252403232667,-1.1874690242913164,11.72200991314765,-0.7813459595898253,13.908421277429467,12.647961956331878,11.393736453279073,11.72200991314765,0.06494402607754261,0.07928693579312847,0.08066799139831778,0.07159324875787501,0.06494402607754261,-0.005210347178720026,18.154704013486352,12.805550152369838,15.436129713507656,17.881457192875207,18.154704013486352,1.8492789062717092,0.35689069037656906,0.5734632683658171,0.6407567567567568,0.5947357640311348,0.35689069037656906,-0.06957387266933655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.7,32.0,79.4,35.5,10.3,46.1,5.8,40.0,76.7,25.4,11.9,43.9,48.6,47.2,53.6,45.9,20.8,2.9,14.2,62.2,38.2,86.4,44.6,41.4,92.5,88.8,63.7,29.6,85.0912037431917,33.74156594785889,8.025334171974125,43.01216824618697,38.03201345545505,45.6813855454075,24.40235997780755,50.48495290653472,78.12934851359898,59.19564450789992,90.9,37.6,3.8,49.7,29.1,40.7,11.1,38.2,86.6,51.0,Axfood,Dagligvaror,LargeCap,1.4193930510224986,3.139886341061145,13.29948834907411,0.000487402736691,44.29128738621586,43.43302990897269,32.7,36.5,0.13233595266932463,0.09371215942421718,-0.001308603651518303
