,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.211342,0.209869,0.163854,0.206
Normalized EBITDA,43693000.0,69903000.0,47558000.0,27570000.0
Net Income From Continuing Operation Net Minority Interest,28230000.0,47302000.0,33884000.0,24431000.0
Reconciled Depreciation,15044000.0,10305000.0,7381000.0,5674000.0
Reconciled Cost Of Revenue,94671000.0,89940000.0,78574000.0,48759000.0
EBITDA,43693000.0,69903000.0,47558000.0,27570000.0
EBIT,28649000.0,59598000.0,40177000.0,21896000.0
Net Interest Income,7146000.0,267000.0,347000.0,-351000.0
Normalized Income,28230000.0,47302000.0,33884000.0,24431000.0
Net Income From Continuing And Discontinued Operation,28230000.0,47302000.0,33884000.0,24431000.0
Total Expenses,215958000.0,192948000.0,159572000.0,101980000.0
Total Operating Income As Reported,28649000.0,59599000.0,40177000.0,21896000.0
Diluted Average Shares,12722126.0,12584667.0,11462288.0,11341383.0
Basic Average Shares,12580782.0,12448961.0,11428189.0,11341383.0
Diluted EPS,2.18,3.69,2.956129,2.154146
Basic EPS,2.21,3.73,2.964949,2.154146
Diluted NI Availto Com Stockholders,28230000.0,47302000.0,33884000.0,24431000.0
Net Income Common Stockholders,28230000.0,47302000.0,33884000.0,24431000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,28230000.0,47302000.0,33884000.0,24431000.0
Net Income Including Noncontrolling Interests,28230000.0,47302000.0,33884000.0,24431000.0
Net Income Continuous Operations,28230000.0,47302000.0,33884000.0,24431000.0
Tax Provision,7565000.0,12564000.0,6640000.0,-2886000.0
Pretax Income,35795000.0,59866000.0,40524000.0,21545000.0
Net Non Operating Interest Income Expense,7146000.0,267000.0,347000.0,-351000.0
Operating Income,28649000.0,59598000.0,40177000.0,21896000.0
Operating Expense,121287000.0,103008000.0,80998000.0,53221000.0
Other Operating Expenses,28101000.0,31759000.0,27401000.0,10951000.0
Depreciation And Amortization In Income Statement,15044000.0,10305000.0,7381000.0,5674000.0
Depreciation Income Statement,15044000.0,10305000.0,7381000.0,5674000.0
Gross Profit,149936000.0,162606000.0,121175000.0,75117000.0
Cost Of Revenue,94671000.0,89940000.0,78574000.0,48759000.0
Total Revenue,244607000.0,252546000.0,199749000.0,123876000.0
Operating Revenue,244607000.0,252546000.0,199749000.0,123876000.0
