,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21943,0.210452,0.206,0.206
Normalized EBITDA,10667392.0,12423629.0,10100000.0,11700000.0
Net Income From Continuing Operation Net Minority Interest,6631612.0,8043255.0,8200000.0,9300000.0
Reconciled Depreciation,2171157.0,2235928.0,,
Reconciled Cost Of Revenue,11789688.0,11686347.0,,
EBITDA,10667392.0,12423629.0,10100000.0,11700000.0
EBIT,8496235.0,10187701.0,10100000.0,11700000.0
Net Interest Income,1473647.0,380042.0,,
Interest Expense,372.0,537.0,,
Interest Income,1474019.0,380579.0,,
Normalized Income,6631612.0,8043255.0,8200000.0,9300000.0
Net Income From Continuing And Discontinued Operation,6631612.0,8043255.0,8200000.0,9300000.0
Total Expenses,44260674.0,41263480.0,,
Total Operating Income As Reported,6082701.0,9807122.0,10100000.0,11700000.0
Diluted Average Shares,40809739.0,40809739.0,40809739.0,40809739.0
Basic Average Shares,40809739.0,40809739.0,40809739.0,40809739.0
Diluted EPS,0.162501,0.197092,0.200932,0.227887
Basic EPS,0.162501,0.197092,0.200932,0.227887
Diluted NI Availto Com Stockholders,6631612.0,8043255.0,8200000.0,9300000.0
Net Income Common Stockholders,6631612.0,8043255.0,8200000.0,9300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,6631612.0,8043255.0,8200000.0,9300000.0
Net Income Including Noncontrolling Interests,6631612.0,8043255.0,8200000.0,9300000.0
Net Income Extraordinary,0.0,0.0,,
Net Income Continuous Operations,6631612.0,8043255.0,8200000.0,9300000.0
Tax Provision,1864251.0,2143909.0,,
Pretax Income,8495863.0,10187164.0,,
Net Non Operating Interest Income Expense,1473647.0,380042.0,,
Interest Expense Non Operating,372.0,537.0,,
Interest Income Non Operating,1474019.0,380579.0,,
Operating Income,6082701.0,9807122.0,10100000.0,11700000.0
Operating Expense,32470986.0,29577133.0,,
Other Operating Expenses,14057790.0,13157903.0,,
Depreciation And Amortization In Income Statement,2171157.0,2235928.0,,
Depreciation Income Statement,2171157.0,2235928.0,,
Gross Profit,38553687.0,39384255.0,,
Cost Of Revenue,11789688.0,11686347.0,,
Total Revenue,50343375.0,51070602.0,46200000.0,37100000.0
Operating Revenue,50343375.0,51070602.0,46200000.0,37100000.0
