,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.35,0.3,0.24,0.23
Normalized EBITDA,705000000.0,719000000.0,776000000.0,785000000.0
Net Income From Continuing Operation Net Minority Interest,126000000.0,155000000.0,257000000.0,265000000.0
Reconciled Depreciation,346000000.0,372000000.0,373000000.0,389000000.0
Reconciled Cost Of Revenue,11088000000.0,11193000000.0,10549000000.0,8928000000.0
EBITDA,705000000.0,719000000.0,776000000.0,785000000.0
EBIT,359000000.0,347000000.0,403000000.0,396000000.0
Net Interest Income,-179000000.0,-144000000.0,-74000000.0,-61000000.0
Interest Expense,164000000.0,127000000.0,67000000.0,53000000.0
Interest Income,3000000.0,4000000.0,1000000.0,1000000.0
Normalized Income,126000000.0,155000000.0,257000000.0,265000000.0
Net Income From Continuing And Discontinued Operation,126000000.0,155000000.0,257000000.0,265000000.0
Total Expenses,12067000000.0,12079000000.0,11381000000.0,9702000000.0
Total Operating Income As Reported,372000000.0,364000000.0,408000000.0,403000000.0
Diluted Average Shares,95104517.0,94986215.0,95159790.0,95225657.0
Basic Average Shares,95104517.0,94986215.0,95159790.0,95225657.0
Diluted EPS,1.33,1.64,2.7,2.78
Basic EPS,1.33,1.64,2.7,2.78
Diluted NI Availto Com Stockholders,126000000.0,155000000.0,257000000.0,265000000.0
Net Income Common Stockholders,126000000.0,155000000.0,257000000.0,265000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,126000000.0,155000000.0,257000000.0,265000000.0
Net Income Including Noncontrolling Interests,126000000.0,155000000.0,257000000.0,265000000.0
Net Income Continuous Operations,126000000.0,155000000.0,257000000.0,265000000.0
Tax Provision,68000000.0,65000000.0,79000000.0,79000000.0
Pretax Income,195000000.0,220000000.0,336000000.0,343000000.0
Net Non Operating Interest Income Expense,-179000000.0,-144000000.0,-74000000.0,-61000000.0
Total Other Finance Cost,18000000.0,21000000.0,8000000.0,9000000.0
Interest Expense Non Operating,164000000.0,127000000.0,67000000.0,53000000.0
Interest Income Non Operating,3000000.0,4000000.0,1000000.0,1000000.0
Operating Income,372000000.0,364000000.0,409000000.0,402000000.0
Operating Expense,979000000.0,886000000.0,832000000.0,774000000.0
Selling General And Administration,979000000.0,886000000.0,832000000.0,774000000.0
Selling And Marketing Expense,156000000.0,152000000.0,150000000.0,129000000.0
General And Administrative Expense,823000000.0,734000000.0,682000000.0,645000000.0
Gross Profit,1351000000.0,1250000000.0,1241000000.0,1176000000.0
Cost Of Revenue,11088000000.0,11193000000.0,10549000000.0,8928000000.0
Total Revenue,12439000000.0,12443000000.0,11789000000.0,10104000000.0
Operating Revenue,12439000000.0,12443000000.0,11789000000.0,10104000000.0
