,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-37581000.0,-44453000.0,-56352000.0,-48489000.0
Total Unusual Items,0.0,566000.0,-320000.0,-32000.0
Total Unusual Items Excluding Goodwill,0.0,566000.0,-320000.0,-32000.0
Net Income From Continuing Operation Net Minority Interest,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Reconciled Depreciation,1640000.0,1675000.0,1495000.0,1278000.0
EBITDA,-37581000.0,-43887000.0,-56672000.0,-48521000.0
EBIT,-39221000.0,-45562000.0,-58167000.0,-49799000.0
Net Interest Income,475000.0,47000.0,-156000.0,-26000.0
Interest Expense,177000.0,238000.0,205000.0,26000.0
Interest Income,652000.0,285000.0,49000.0,0.0
Normalized Income,-39398000.0,-46366000.0,-58052000.0,-49793000.0
Net Income From Continuing And Discontinued Operation,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Total Expenses,39841000.0,46484000.0,57886000.0,49782000.0
Total Operating Income As Reported,-39841000.0,-46484000.0,-57886000.0,-49782000.0
Diluted Average Shares,420431159.0,601334641.0,464951890.0,527234894.0
Basic Average Shares,420431159.0,601334641.0,464951890.0,527234894.0
Diluted EPS,-0.09,-0.076761,-0.125632,-0.093315
Basic EPS,-0.09,-0.076761,-0.125632,-0.093315
Diluted NI Availto Com Stockholders,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Net Income Common Stockholders,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Net Income Continuous Operations,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-39398000.0,-45800000.0,-58372000.0,-49825000.0
Net Non Operating Interest Income Expense,475000.0,47000.0,-156000.0,-26000.0
Interest Expense Non Operating,177000.0,238000.0,205000.0,26000.0
Interest Income Non Operating,652000.0,285000.0,49000.0,0.0
Operating Income,-39841000.0,-46484000.0,-57886000.0,-49782000.0
Operating Expense,39841000.0,46484000.0,57886000.0,49782000.0
Research And Development,26674000.0,32541000.0,42824000.0,34536000.0
Selling General And Administration,13167000.0,13943000.0,15062000.0,15246000.0
General And Administrative Expense,13167000.0,13943000.0,15062000.0,15246000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
