,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.010639,0.006798,0.206,0.001564
Net Income From Continuing Operation Net Minority Interest,113338000000.0,127045000000.0,-74681000000.0,228065000000.0
Net Interest Income,-2974000000.0,-3021000000.0,-2408000000.0,-2103000000.0
Interest Expense,3919000000.0,3472000000.0,2489000000.0,2103000000.0
Interest Income,945000000.0,451000000.0,81000000.0,0.0
Normalized Income,113338000000.0,127045000000.0,-74681000000.0,228065000000.0
Net Income From Continuing And Discontinued Operation,113338000000.0,127045000000.0,-74681000000.0,228065000000.0
Diluted Average Shares,3064845863.0,3062800000.0,3063200000.0,3063300000.0
Basic Average Shares,3063189189.0,3062800000.0,3063200000.0,3063300000.0
Diluted EPS,36.98,41.46,-24.38,74.41
Basic EPS,37.0,41.48,-24.38,74.45
Diluted NI Availto Com Stockholders,113338000000.0,127045000000.0,-74681000000.0,228065000000.0
Net Income Common Stockholders,113338000000.0,127045000000.0,-74681000000.0,228065000000.0
Net Income,113338000000.0,127045000000.0,-74681000000.0,228065000000.0
Minority Interests,169000000.0,227000000.0,81000000.0,100000000.0
Net Income Including Noncontrolling Interests,113169000000.0,126817000000.0,-74762000000.0,227965000000.0
Net Income Continuous Operations,113169000000.0,126818000000.0,-74763000000.0,227965000000.0
Tax Provision,1217000000.0,868000000.0,1079000000.0,357000000.0
Pretax Income,114386000000.0,127686000000.0,-73684000000.0,228322000000.0
Gain On Sale Of Security,698000000.0,-658000000.0,8002000000.0,11742000000.0
Operating Expense,54523000000.0,52800000000.0,46378000000.0,36471000000.0
Other Operating Expenses,717000000.0,689000000.0,300000000.0,236000000.0
Selling General And Administration,53806000000.0,52111000000.0,46078000000.0,36235000000.0
Selling And Marketing Expense,9315000000.0,8687000000.0,7708000000.0,6072000000.0
General And Administrative Expense,44491000000.0,43424000000.0,38370000000.0,30163000000.0
Total Revenue,168909000000.0,180485000000.0,-27305000000.0,264794000000.0
Operating Revenue,168909000000.0,180485000000.0,-27305000000.0,264794000000.0
