,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-166639000.0,-307545000.0,-284718000.0,-291007000.0
Total Unusual Items,0.0,-356000.0,-468000.0,-2121000.0
Total Unusual Items Excluding Goodwill,0.0,-356000.0,-468000.0,-2121000.0
Net Income From Continuing Operation Net Minority Interest,-168634000.0,-310942000.0,-288422000.0,-296481000.0
Reconciled Depreciation,2243000.0,3423000.0,3612000.0,3596000.0
EBITDA,-166639000.0,-307901000.0,-285186000.0,-293128000.0
EBIT,-168882000.0,-311324000.0,-288798000.0,-296724000.0
Net Interest Income,21073000.0,10536000.0,905000.0,635000.0
Interest Expense,8000.0,2000.0,8000.0,11000.0
Interest Income,21081000.0,10538000.0,913000.0,646000.0
Normalized Income,-168634000.0,-310586000.0,-287954000.0,-294360000.0
Net Income From Continuing And Discontinued Operation,-168634000.0,-310942000.0,-288422000.0,-296481000.0
Total Expenses,299706000.0,320889000.0,287494000.0,293420000.0
Total Operating Income As Reported,-194189000.0,-321506000.0,-290725000.0,-294818000.0
Diluted Average Shares,136844506.0,96558831.0,74220396.0,71613973.0
Basic Average Shares,136844506.0,96558831.0,74220396.0,71613973.0
Diluted EPS,-1.23,-3.18,-3.882162,-4.135135
Basic EPS,-1.23,-3.18,-3.882162,-4.135135
Diluted NI Availto Com Stockholders,-168634000.0,-310942000.0,-288422000.0,-296481000.0
Net Income Common Stockholders,-168634000.0,-310942000.0,-288422000.0,-296481000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-168634000.0,-310942000.0,-288422000.0,-296481000.0
Net Income Including Noncontrolling Interests,-168634000.0,-310942000.0,-288422000.0,-296481000.0
Net Income Continuous Operations,-168634000.0,-310942000.0,-288422000.0,-296481000.0
Tax Provision,-256000.0,-384000.0,-384000.0,-254000.0
Pretax Income,-168890000.0,-311326000.0,-288806000.0,-296735000.0
Net Non Operating Interest Income Expense,21073000.0,10536000.0,905000.0,635000.0
Interest Expense Non Operating,8000.0,2000.0,8000.0,11000.0
Interest Income Non Operating,21081000.0,10538000.0,913000.0,646000.0
Operating Income,-190360000.0,-320889000.0,-287494000.0,-293420000.0
Operating Expense,299706000.0,320889000.0,287494000.0,293420000.0
Other Operating Expenses,3829000.0,617000.0,,
Research And Development,249263000.0,276294000.0,249965000.0,271812000.0
Selling General And Administration,50443000.0,44595000.0,37529000.0,21608000.0
Selling And Marketing Expense,0.0,7672000.0,9149000.0,1404000.0
General And Administrative Expense,50443000.0,36923000.0,28380000.0,20204000.0
Gross Profit,109346000.0,0.0,0.0,0.0
Total Revenue,109346000.0,0.0,0.0,0.0
Operating Revenue,109346000.0,0.0,0.0,0.0
