,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.00459,0.013889,0.206,0.0,
Net Income From Continuing Operation Net Minority Interest,477100000.0,269800000.0,-377800000.0,1343700000.0,
Reconciled Depreciation,,0.0,0.0,0.0,0.0
Net Interest Income,67500000.0,63900000.0,42800000.0,31200000.0,
Interest Expense,,,,,0.0
Interest Income,67500000.0,63900000.0,42800000.0,31200000.0,
Normalized Income,477100000.0,269800000.0,-377800000.0,1343700000.0,
Net Income From Continuing And Discontinued Operation,477100000.0,269800000.0,-377800000.0,1343700000.0,
Diluted Average Shares,14790000.0,14790000.0,14790000.0,14790000.0,
Basic Average Shares,14790000.0,14790000.0,14790000.0,14790000.0,
Diluted EPS,32.26,18.24,-25.54,90.85,
Basic EPS,32.26,18.24,-25.54,90.85,
Diluted NI Availto Com Stockholders,477100000.0,269800000.0,-377800000.0,1343700000.0,
Net Income Common Stockholders,477100000.0,269800000.0,-377800000.0,1343700000.0,
Net Income,477100000.0,269800000.0,-377800000.0,1343700000.0,
Net Income Including Noncontrolling Interests,477100000.0,269800000.0,-377800000.0,1343700000.0,
Net Income Continuous Operations,477100000.0,269800000.0,-377800000.0,1343700000.0,
Tax Provision,2200000.0,3800000.0,4700000.0,0.0,
Pretax Income,479300000.0,273600000.0,-373100000.0,1343700000.0,
Operating Expense,11100000.0,10800000.0,11000000.0,10000000.0,
Selling General And Administration,11100000.0,10800000.0,11000000.0,10000000.0,
General And Administrative Expense,11100000.0,10800000.0,11000000.0,10000000.0,
Total Revenue,490400000.0,284400000.0,-362100000.0,1353700000.0,
Operating Revenue,490400000.0,284400000.0,-362100000.0,1353700000.0,
