,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.000594,0.001594
Normalized EBITDA,3929000.0,7903000.0,6647000.0
Net Income From Continuing Operation Net Minority Interest,-2220000.0,1682000.0,1253000.0
Reconciled Depreciation,4524000.0,4717000.0,4607000.0
Reconciled Cost Of Revenue,42079000.0,45210000.0,48632000.0
EBITDA,3929000.0,7903000.0,6647000.0
EBIT,-595000.0,3186000.0,2040000.0
Net Interest Income,-1607000.0,-1493000.0,-784000.0
Interest Expense,1625000.0,1503000.0,785000.0
Interest Income,18000.0,10000.0,1000.0
Normalized Income,-2220000.0,1682000.0,1253000.0
Net Income From Continuing And Discontinued Operation,-2220000.0,1682000.0,1253000.0
Total Expenses,54825000.0,57951000.0,61331000.0
Total Operating Income As Reported,-613000.0,3176000.0,2039000.0
Diluted Average Shares,29162111.0,29162111.0,29162111.0
Basic Average Shares,29162111.0,29162111.0,29162111.0
Diluted EPS,-0.08,0.06,0.04
Basic EPS,-0.08,0.06,0.04
Diluted NI Availto Com Stockholders,-2220000.0,1682000.0,1253000.0
Net Income Common Stockholders,-2220000.0,1682000.0,1253000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-2220000.0,1682000.0,1253000.0
Net Income Including Noncontrolling Interests,-2220000.0,1682000.0,1253000.0
Net Income Continuous Operations,-2220000.0,1682000.0,1253000.0
Tax Provision,0.0,1000.0,2000.0
Pretax Income,-2220000.0,1683000.0,1255000.0
Net Non Operating Interest Income Expense,-1607000.0,-1493000.0,-784000.0
Interest Expense Non Operating,1625000.0,1503000.0,785000.0
Interest Income Non Operating,18000.0,10000.0,1000.0
Operating Income,-613000.0,3176000.0,2039000.0
Operating Expense,12746000.0,12741000.0,12699000.0
Other Operating Expenses,8874000.0,8097000.0,8554000.0
Depreciation And Amortization In Income Statement,4524000.0,4717000.0,4607000.0
Depreciation Income Statement,4524000.0,4717000.0,4607000.0
Gross Profit,12133000.0,15917000.0,14738000.0
Cost Of Revenue,42079000.0,45210000.0,48632000.0
Total Revenue,54212000.0,61127000.0,63370000.0
Operating Revenue,54212000.0,61127000.0,63370000.0
