,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.208062,0.207648,0.211209
Net Income From Continuing Operation Net Minority Interest,29449000.0,37876000.0,15439000.0
Net Interest Income,1354000.0,544000.0,-213000.0
Interest Expense,1000.0,8000.0,219000.0
Interest Income,1355000.0,552000.0,6000.0
Normalized Income,29449000.0,37876000.0,15439000.0
Net Income From Continuing And Discontinued Operation,29449000.0,37876000.0,15439000.0
Diluted Average Shares,4025725.0,4025725.0,4025725.0
Basic Average Shares,4025725.0,4025725.0,4025725.0
Diluted EPS,7.315204,9.408492,3.835086
Basic EPS,7.315204,9.408492,3.835086
Diluted NI Availto Com Stockholders,29449000.0,37876000.0,15439000.0
Net Income Common Stockholders,29449000.0,37876000.0,15439000.0
Net Income,29449000.0,37876000.0,15439000.0
Net Income Including Noncontrolling Interests,29449000.0,37876000.0,15439000.0
Net Income Extraordinary,,0.0,0.0
Net Income Continuous Operations,29449000.0,37876000.0,15439000.0
Tax Provision,7737000.0,9926000.0,4134000.0
Pretax Income,37186000.0,47802000.0,19573000.0
Operating Expense,111778000.0,74878000.0,41761000.0
Other Operating Expenses,125000.0,10000.0,68000.0
Selling General And Administration,111653000.0,74868000.0,41693000.0
General And Administrative Expense,111653000.0,74868000.0,41693000.0
Total Revenue,148964000.0,122680000.0,61332000.0
Operating Revenue,148964000.0,122680000.0,61332000.0
