,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.292947,0.28525,0.294581
Normalized EBITDA,366643000.0,346355000.0,254587000.0
Net Income From Continuing Operation Net Minority Interest,99110000.0,107564000.0,68551000.0
Reconciled Depreciation,160509000.0,136591000.0,122108000.0
Reconciled Cost Of Revenue,1313134000.0,1167426000.0,966413000.0
EBITDA,366643000.0,346355000.0,254587000.0
EBIT,206134000.0,209764000.0,132479000.0
Net Interest Income,-69287000.0,-67658000.0,-57084000.0
Interest Expense,53410000.0,45298000.0,25347000.0
Interest Income,10547000.0,6882000.0,480000.0
Normalized Income,99110000.0,107564000.0,68551000.0
Net Income From Continuing And Discontinued Operation,99110000.0,107564000.0,68551000.0
Total Expenses,2522054000.0,2136096000.0,1706547000.0
Total Operating Income As Reported,198782000.0,196672000.0,132246000.0
Diluted Average Shares,56000000.0,56000000.0,56000000.0
Basic Average Shares,56000000.0,56000000.0,56000000.0
Diluted EPS,1.77,1.920786,1.224125
Basic EPS,1.77,1.920786,1.224125
Diluted NI Availto Com Stockholders,99110000.0,107564000.0,68551000.0
Net Income Common Stockholders,99110000.0,107564000.0,68551000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,99110000.0,107564000.0,68551000.0
Minority Interests,-8874000.0,-9988000.0,-7022000.0
Net Income Including Noncontrolling Interests,107984000.0,117552000.0,75573000.0
Net Income Continuous Operations,107984000.0,117552000.0,75573000.0
Tax Provision,44740000.0,46914000.0,31559000.0
Pretax Income,152724000.0,164466000.0,107132000.0
Net Non Operating Interest Income Expense,-69287000.0,-67658000.0,-57084000.0
Total Other Finance Cost,26424000.0,29242000.0,32217000.0
Interest Expense Non Operating,53410000.0,45298000.0,25347000.0
Interest Income Non Operating,10547000.0,6882000.0,480000.0
Operating Income,198782000.0,196672000.0,132246000.0
Operating Expense,1208920000.0,968670000.0,740134000.0
Other Operating Expenses,345991000.0,340230000.0,218428000.0
Depreciation And Amortization In Income Statement,160508000.0,136591000.0,122108000.0
Depreciation Income Statement,160508000.0,136591000.0,122108000.0
Gross Profit,1407702000.0,1165342000.0,872380000.0
Cost Of Revenue,1313134000.0,1167426000.0,966413000.0
Total Revenue,2720836000.0,2332768000.0,1838793000.0
Operating Revenue,2720836000.0,2332768000.0,1838793000.0
