,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-877560.0,-1213975.0,375320.0,782688.0
Tax Rate For Calcs,0.206,0.035,0.04,0.048
Total Unusual Items,-4260000.0,-34685000.0,9383000.0,16306000.0
Total Unusual Items Excluding Goodwill,-4260000.0,-34685000.0,9383000.0,16306000.0
Net Income From Continuing Operation Net Minority Interest,5908000.0,-72048000.0,108560000.0,72334000.0
Reconciled Depreciation,272000.0,191000.0,183000.0,174000.0
Net Interest Income,-11711000.0,-11546000.0,-9374000.0,-5600000.0
Interest Expense,14795000.0,13586000.0,9374000.0,5600000.0
Interest Income,3084000.0,2040000.0,0.0,0.0
Normalized Income,9290440.0,-38576975.0,99552320.0,56810688.0
Net Income From Continuing And Discontinued Operation,5908000.0,-72048000.0,108560000.0,72334000.0
Diluted Average Shares,89841000.0,88868000.0,88904000.0,88928000.0
Basic Average Shares,89807000.0,88868000.0,88832000.0,88616000.0
Diluted EPS,0.07,-0.81,1.22,0.8125
Basic EPS,0.07,-0.81,1.2225,0.8175
Diluted NI Availto Com Stockholders,5908000.0,-72048000.0,108560000.0,72334000.0
Net Income Common Stockholders,5908000.0,-72048000.0,108560000.0,72334000.0
Net Income,5908000.0,-72048000.0,108560000.0,72334000.0
Net Income Including Noncontrolling Interests,5908000.0,-72048000.0,108560000.0,72334000.0
Net Income Continuous Operations,5908000.0,-72049000.0,108560000.0,72334000.0
Tax Provision,6685000.0,-2576000.0,4516000.0,3609000.0
Pretax Income,12593000.0,-74625000.0,113076000.0,75943000.0
Gain On Sale Of Security,93000.0,-49870000.0,7075000.0,5113000.0
Operating Expense,4378000.0,4367000.0,4517000.0,4022000.0
Other Operating Expenses,48000.0,688000.0,293000.0,168000.0
Selling General And Administration,1427000.0,995000.0,1261000.0,1070000.0
Selling And Marketing Expense,227000.0,229000.0,325000.0,296000.0
General And Administrative Expense,1200000.0,766000.0,936000.0,774000.0
Total Revenue,16972000.0,-70258000.0,117594000.0,79964000.0
Operating Revenue,16972000.0,-70258000.0,117594000.0,79964000.0
