,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-227000.0,-31388000.0,24084905.660377,3090000.0
Tax Rate For Calcs,0.227,0.266,0.209434,0.206
Normalized EBITDA,961000000.0,706000000.0,493000000.0,979000000.0
Total Unusual Items,-1000000.0,-118000000.0,115000000.0,15000000.0
Total Unusual Items Excluding Goodwill,-1000000.0,-118000000.0,115000000.0,15000000.0
Net Income From Continuing Operation Net Minority Interest,587000000.0,308000000.0,419000000.0,752000000.0
Reconciled Depreciation,2000000.0,1000000.0,1000000.0,0.0
Reconciled Cost Of Revenue,98000000.0,98000000.0,83000000.0,55000000.0
EBITDA,960000000.0,588000000.0,608000000.0,994000000.0
EBIT,958000000.0,587000000.0,607000000.0,994000000.0
Net Interest Income,-184000000.0,-158000000.0,-77000000.0,-47000000.0
Interest Expense,199000000.0,167000000.0,77000000.0,47000000.0
Interest Income,15000000.0,9000000.0,0.0,0.0
Normalized Income,587773000.0,394612000.0,328084905.660377,740090000.0
Net Income From Continuing And Discontinued Operation,587000000.0,308000000.0,419000000.0,752000000.0
Total Expenses,126000000.0,125000000.0,136000000.0,89000000.0
Rent Expense Supplemental,3000000.0,3000000.0,3000000.0,3000000.0
Diluted Average Shares,237000000.0,198400000.0,175200000.0,177086320.0
Basic Average Shares,237000000.0,198000000.0,173700000.0,177086320.0
Diluted EPS,2.48,1.55,2.39,4.246517
Basic EPS,2.48,1.56,2.41,4.246517
Diluted NI Availto Com Stockholders,587000000.0,308000000.0,419000000.0,752000000.0
Net Income Common Stockholders,587000000.0,308000000.0,419000000.0,752000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,587000000.0,308000000.0,419000000.0,752000000.0
Net Income Including Noncontrolling Interests,587000000.0,308000000.0,419000000.0,752000000.0
Net Income Continuous Operations,587000000.0,308000000.0,419000000.0,752000000.0
Tax Provision,172000000.0,112000000.0,111000000.0,195000000.0
Pretax Income,759000000.0,420000000.0,530000000.0,947000000.0
Net Non Operating Interest Income Expense,-184000000.0,-158000000.0,-77000000.0,-47000000.0
Interest Expense Non Operating,199000000.0,167000000.0,77000000.0,47000000.0
Interest Income Non Operating,15000000.0,9000000.0,0.0,0.0
Operating Income,584000000.0,460000000.0,275000000.0,179000000.0
Operating Expense,28000000.0,27000000.0,53000000.0,34000000.0
Selling General And Administration,25000000.0,24000000.0,50000000.0,31000000.0
General And Administrative Expense,25000000.0,24000000.0,50000000.0,31000000.0
Rent And Landing Fees,3000000.0,3000000.0,3000000.0,3000000.0
Gross Profit,612000000.0,487000000.0,328000000.0,213000000.0
Cost Of Revenue,98000000.0,98000000.0,83000000.0,55000000.0
Total Revenue,710000000.0,585000000.0,411000000.0,268000000.0
Operating Revenue,710000000.0,585000000.0,411000000.0,268000000.0
