,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-120965000.0,-92487000.0,-130467000.0,-128236000.0
Total Unusual Items,284000.0,273000.0,1794000.0,0.0
Total Unusual Items Excluding Goodwill,284000.0,273000.0,1794000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Reconciled Depreciation,6499000.0,6290000.0,4848000.0,1851000.0
EBITDA,-120681000.0,-92214000.0,-128673000.0,-128236000.0
EBIT,-127180000.0,-98504000.0,-133521000.0,-130087000.0
Net Interest Income,2256000.0,-968000.0,-5101000.0,-3323000.0
Interest Expense,1219000.0,3115000.0,5264000.0,3323000.0
Interest Income,3475000.0,2147000.0,163000.0,0.0
Normalized Income,-128683000.0,-101892000.0,-140579000.0,-133410000.0
Net Income From Continuing And Discontinued Operation,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Total Expenses,130818000.0,101489000.0,134696000.0,129277000.0
Total Operating Income As Reported,-130655000.0,-100650000.0,-133685000.0,-130100000.0
Diluted Average Shares,48559038.0,23127546.0,9970029.0,9987490.0
Basic Average Shares,48559038.0,23127546.0,9970029.0,9987490.0
Diluted EPS,-2.64,-4.39,-14.0,-13.447652
Basic EPS,-2.64,-4.39,-14.0,-13.447652
Diluted NI Availto Com Stockholders,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Net Income Common Stockholders,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Net Income Including Noncontrolling Interests,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Net Income Continuous Operations,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-128399000.0,-101619000.0,-138785000.0,-133410000.0
Special Income Charges,284000.0,273000.0,1794000.0,0.0
Other Special Charges,-284000.0,-273000.0,-1794000.0,
Net Non Operating Interest Income Expense,2256000.0,-968000.0,-5101000.0,-3323000.0
Interest Expense Non Operating,1219000.0,3115000.0,5264000.0,3323000.0
Interest Income Non Operating,3475000.0,2147000.0,163000.0,0.0
Operating Income,-130818000.0,-101489000.0,-134696000.0,-129277000.0
Operating Expense,130818000.0,101489000.0,134696000.0,129277000.0
Other Operating Expenses,558000.0,559000.0,,
Research And Development,101075000.0,92653000.0,87049000.0,85796000.0
Selling General And Administration,34070000.0,37051000.0,48876000.0,43490000.0
General And Administrative Expense,34070000.0,37051000.0,48876000.0,43490000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
