,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-62784000.0,-74619000.0,-73785000.0,-48282000.0
Net Income From Continuing Operation Net Minority Interest,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Reconciled Depreciation,3290000.0,3088000.0,3037000.0,3378000.0
Reconciled Cost Of Revenue,607000.0,944000.0,1201000.0,937000.0
EBITDA,-62784000.0,-74619000.0,-73785000.0,-48282000.0
EBIT,-66074000.0,-77707000.0,-76822000.0,-51660000.0
Net Interest Income,146000.0,-101000.0,-149000.0,-35000.0
Interest Expense,113000.0,132000.0,163000.0,71000.0
Interest Income,259000.0,31000.0,14000.0,36000.0
Normalized Income,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Net Income From Continuing And Discontinued Operation,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Total Expenses,72575000.0,83794000.0,82297000.0,55456000.0
Total Operating Income As Reported,-66373000.0,-77553000.0,-76475000.0,-51696000.0
Diluted Average Shares,920813000.0,475130000.0,262085000.0,166473969.0
Basic Average Shares,920813000.0,475130000.0,251972000.0,156234461.0
Diluted EPS,-0.07,-0.16,-0.31,-0.334028
Basic EPS,-0.07,-0.16,-0.31,-0.334028
Diluted NI Availto Com Stockholders,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Net Income Common Stockholders,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Net Income Including Noncontrolling Interests,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Net Income Continuous Operations,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-66187000.0,-77839000.0,-76985000.0,-51731000.0
Net Non Operating Interest Income Expense,146000.0,-101000.0,-149000.0,-35000.0
Interest Expense Non Operating,113000.0,132000.0,163000.0,71000.0
Interest Income Non Operating,259000.0,31000.0,14000.0,36000.0
Operating Income,-66373000.0,-77552000.0,-76475000.0,-51696000.0
Operating Expense,71968000.0,82850000.0,81096000.0,54519000.0
Research And Development,25385000.0,28516000.0,27758000.0,21493000.0
Selling General And Administration,46583000.0,54334000.0,53338000.0,33026000.0
General And Administrative Expense,46583000.0,54334000.0,53338000.0,33026000.0
Gross Profit,5595000.0,5298000.0,4621000.0,2823000.0
Cost Of Revenue,607000.0,944000.0,1201000.0,937000.0
Total Revenue,6202000.0,6241000.0,5822000.0,3760000.0
Operating Revenue,6202000.0,6241000.0,5822000.0,3760000.0
