,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,207854.0,14420.0,-1024438.0,-108150.0
Tax Rate For Calcs,0.206,0.206,0.206,0.206
Normalized EBITDA,-643081000.0,-705570000.0,-549286000.0,-538305000.0
Total Unusual Items,1009000.0,70000.0,-4973000.0,-525000.0
Total Unusual Items Excluding Goodwill,1009000.0,70000.0,-4973000.0,-525000.0
Net Income From Continuing Operation Net Minority Interest,-807243000.0,-831720000.0,-611134000.0,-548282000.0
Reconciled Depreciation,28060000.0,19792000.0,12054000.0,8606000.0
Reconciled Cost Of Revenue,83554000.0,63143000.0,38477000.0,15425000.0
EBITDA,-642072000.0,-705500000.0,-554259000.0,-538830000.0
EBIT,-670132000.0,-725292000.0,-566313000.0,-547436000.0
Net Interest Income,-101603000.0,-77528000.0,-34833000.0,-627000.0
Interest Expense,134077000.0,105520000.0,43666000.0,694000.0
Interest Income,32474000.0,27992000.0,8833000.0,67000.0
Normalized Income,-808044146.0,-831775580.0,-607185438.0,-547865150.0
Net Income From Continuing And Discontinued Operation,-807243000.0,-831720000.0,-611134000.0,-548282000.0
Total Expenses,802952000.0,925253000.0,730645000.0,573458000.0
Total Operating Income As Reported,-637878000.0,-788496000.0,-588588000.0,-546978000.0
Diluted Average Shares,62834848.0,52540089.0,44923998.0,44473452.0
Basic Average Shares,62834848.0,52540089.0,44923998.0,44473452.0
Diluted EPS,-12.84,-15.83,-13.6,-12.33
Basic EPS,-12.84,-15.83,-13.6,-12.33
Diluted NI Availto Com Stockholders,-807243000.0,-831720000.0,-611134000.0,-548282000.0
Net Income Common Stockholders,-807243000.0,-831720000.0,-611134000.0,-548282000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-807243000.0,-831720000.0,-611134000.0,-548282000.0
Net Income Including Noncontrolling Interests,-807243000.0,-831720000.0,-611134000.0,-548282000.0
Net Income Continuous Operations,-807243000.0,-831720000.0,-611134000.0,-548282000.0
Tax Provision,3034000.0,908000.0,1155000.0,152000.0
Pretax Income,-804209000.0,-830812000.0,-609979000.0,-548130000.0
Net Non Operating Interest Income Expense,-101603000.0,-77528000.0,-34833000.0,-627000.0
Interest Expense Non Operating,134077000.0,105520000.0,43666000.0,694000.0
Interest Income Non Operating,32474000.0,27992000.0,8833000.0,67000.0
Operating Income,-631636000.0,-791159000.0,-576120000.0,-539580000.0
Operating Expense,719398000.0,862110000.0,692168000.0,558033000.0
Other Operating Expenses,5654000.0,463000.0,8063000.0,
Research And Development,375716000.0,411332000.0,346244000.0,230764000.0
Selling General And Administration,344270000.0,450492000.0,337861000.0,327269000.0
General And Administrative Expense,344270000.0,450492000.0,337861000.0,327269000.0
Gross Profit,87762000.0,70951000.0,116048000.0,18453000.0
Cost Of Revenue,83554000.0,63143000.0,38477000.0,15425000.0
Total Revenue,171316000.0,134094000.0,154525000.0,33878000.0
Operating Revenue,171316000.0,134094000.0,154525000.0,33878000.0
