,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.217043,0.217349,0.204536
Normalized EBITDA,62356000.0,62273000.0,68187000.0
Total Unusual Items,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,39829000.0,39149000.0,44791000.0
Reconciled Depreciation,10423000.0,9178000.0,9125000.0
Reconciled Cost Of Revenue,71379000.0,71833000.0,70488000.0
EBITDA,62356000.0,62273000.0,68187000.0
EBIT,51933000.0,53095000.0,59062000.0
Net Interest Income,656000.0,-838000.0,-1458000.0
Interest Expense,1063000.0,3074000.0,2754000.0
Interest Income,1719000.0,2236000.0,1296000.0
Normalized Income,39829000.0,39149000.0,44791000.0
Net Income From Continuing And Discontinued Operation,39829000.0,39149000.0,44791000.0
Total Expenses,158790000.0,154152000.0,137271000.0
Total Operating Income As Reported,50214000.0,50859000.0,57766000.0
Diluted Average Shares,10000000.0,10000000.0,10000000.0
Basic Average Shares,10000000.0,10000000.0,10000000.0
Diluted EPS,3.9829,3.9149,4.4791
Basic EPS,3.9829,3.9149,4.4791
Diluted NI Availto Com Stockholders,39829000.0,39149000.0,44791000.0
Net Income Common Stockholders,39829000.0,39149000.0,44791000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,39829000.0,39149000.0,44791000.0
Net Income Including Noncontrolling Interests,39829000.0,39149000.0,44791000.0
Net Income Continuous Operations,39829000.0,39149000.0,44791000.0
Tax Provision,11041000.0,10872000.0,11517000.0
Pretax Income,50870000.0,50021000.0,56308000.0
Other Non Operating Income Expenses,-45168000.0,-44277000.0,-38271000.0
Net Non Operating Interest Income Expense,656000.0,-838000.0,-1458000.0
Interest Expense Non Operating,1063000.0,3074000.0,2754000.0
Interest Income Non Operating,1719000.0,2236000.0,1296000.0
Operating Income,95382000.0,95136000.0,96037000.0
Operating Expense,87411000.0,82319000.0,66783000.0
Other Operating Expenses,5701000.0,4378000.0,488000.0
Depreciation And Amortization In Income Statement,10423000.0,9178000.0,9125000.0
Depreciation Income Statement,10423000.0,9178000.0,9125000.0
Gross Profit,182793000.0,177455000.0,162820000.0
Cost Of Revenue,71379000.0,71833000.0,70488000.0
Total Revenue,254172000.0,249288000.0,233308000.0
Operating Revenue,254172000.0,249288000.0,233308000.0
