,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.26,0.246,0.235,0.222
Normalized EBITDA,3815000000.0,4123000000.0,3833000000.0,3545000000.0
Net Income From Continuing Operation Net Minority Interest,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Reconciled Depreciation,585000000.0,546000000.0,492000000.0,471000000.0
Reconciled Cost Of Revenue,16063000000.0,17186000000.0,17899000000.0,12532000000.0
EBITDA,3815000000.0,4123000000.0,3833000000.0,3545000000.0
EBIT,3230000000.0,3577000000.0,3341000000.0,3074000000.0
Net Interest Income,-155000000.0,-179000000.0,-82000000.0,-48000000.0
Interest Expense,229000000.0,231000000.0,97000000.0,43000000.0
Interest Income,79000000.0,69000000.0,23000000.0,2000000.0
Normalized Income,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Net Income From Continuing And Discontinued Operation,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Total Expenses,17265000000.0,18470000000.0,18953000000.0,12931000000.0
Total Operating Income As Reported,3172000000.0,3576000000.0,3290000000.0,3074000000.0
Diluted Average Shares,344436846.0,344436846.0,344436846.0,344436846.0
Basic Average Shares,344436846.0,344436846.0,344436846.0,344436846.0
Diluted EPS,6.45,7.33,7.21,6.85
Basic EPS,6.45,7.33,7.21,6.85
Diluted NI Availto Com Stockholders,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Net Income Common Stockholders,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Net Income Including Noncontrolling Interests,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Net Income Continuous Operations,2220000000.0,2524000000.0,2483000000.0,2358000000.0
Tax Provision,781000000.0,822000000.0,761000000.0,673000000.0
Pretax Income,3001000000.0,3346000000.0,3244000000.0,3031000000.0
Net Non Operating Interest Income Expense,-155000000.0,-179000000.0,-82000000.0,-48000000.0
Total Other Finance Cost,5000000.0,17000000.0,8000000.0,7000000.0
Interest Expense Non Operating,229000000.0,231000000.0,97000000.0,43000000.0
Interest Income Non Operating,79000000.0,69000000.0,23000000.0,2000000.0
Operating Income,3172000000.0,3576000000.0,3290000000.0,3074000000.0
Operating Expense,1202000000.0,1284000000.0,1054000000.0,399000000.0
Other Operating Expenses,25000000.0,51000000.0,14000000.0,268000000.0
Research And Development,136000000.0,152000000.0,137000000.0,111000000.0
Selling General And Administration,1104000000.0,1148000000.0,968000000.0,698000000.0
Selling And Marketing Expense,236000000.0,243000000.0,216000000.0,119000000.0
General And Administrative Expense,868000000.0,905000000.0,752000000.0,579000000.0
Gross Profit,4374000000.0,4860000000.0,4344000000.0,3473000000.0
Cost Of Revenue,16063000000.0,17186000000.0,17899000000.0,12532000000.0
Total Revenue,20437000000.0,22046000000.0,22243000000.0,16005000000.0
Operating Revenue,20437000000.0,22046000000.0,22243000000.0,16005000000.0
