,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.22257,0.193915,0.19,0.18
Normalized EBITDA,209685000.0,179859000.0,152699000.0,132709000.0
Net Income From Continuing Operation Net Minority Interest,89392000.0,83379000.0,67821000.0,58691000.0
Reconciled Depreciation,76905000.0,66161000.0,62780000.0,56807000.0
Reconciled Cost Of Revenue,247668000.0,219029000.0,176386000.0,143933000.0
EBITDA,209685000.0,179859000.0,152699000.0,132709000.0
EBIT,132780000.0,113698000.0,89919000.0,75901000.0
Net Interest Income,-17680000.0,-10108000.0,-6121000.0,-4555000.0
Interest Expense,17796000.0,10261000.0,6353000.0,4567000.0
Interest Income,940000.0,362000.0,200000.0,4000.0
Normalized Income,89392000.0,83379000.0,67821000.0,58691000.0
Net Income From Continuing And Discontinued Operation,89392000.0,83379000.0,67821000.0,58691000.0
Total Expenses,551432000.0,462549000.0,399335000.0,327816000.0
Total Operating Income As Reported,134314000.0,114568000.0,91015000.0,76031000.0
Diluted Average Shares,13422222.0,13419801.0,13351641.0,13283481.0
Basic Average Shares,13283500.0,13283481.0,13283481.0,13283481.0
Diluted EPS,6.66,6.21,5.08,4.42
Basic EPS,6.73,6.28,5.11,4.42
Diluted NI Availto Com Stockholders,89392000.0,83379000.0,67821000.0,58691000.0
Net Income Common Stockholders,89392000.0,83379000.0,67821000.0,58691000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,89392000.0,83379000.0,67821000.0,58691000.0
Net Income Including Noncontrolling Interests,89392000.0,83379000.0,67821000.0,58691000.0
Net Income Continuous Operations,89392000.0,83379000.0,67821000.0,58691000.0
Tax Provision,25592000.0,20058000.0,15745000.0,12643000.0
Pretax Income,114984000.0,103437000.0,83566000.0,71334000.0
Net Non Operating Interest Income Expense,-17680000.0,-10108000.0,-6121000.0,-4555000.0
Total Other Finance Cost,824000.0,209000.0,-32000.0,-8000.0
Interest Expense Non Operating,17796000.0,10261000.0,6353000.0,4567000.0
Interest Income Non Operating,940000.0,362000.0,200000.0,4000.0
Operating Income,134311000.0,114567000.0,91015000.0,76032000.0
Operating Expense,303764000.0,243520000.0,222949000.0,183883000.0
Other Operating Expenses,120862000.0,100685000.0,94264000.0,70018000.0
Depreciation And Amortization In Income Statement,76905000.0,66160000.0,62780000.0,56808000.0
Depreciation Income Statement,76905000.0,66160000.0,62780000.0,56808000.0
Gross Profit,438075000.0,358087000.0,313964000.0,259915000.0
Cost Of Revenue,247668000.0,219029000.0,176386000.0,143933000.0
Total Revenue,685743000.0,577116000.0,490350000.0,403848000.0
Operating Revenue,685743000.0,577116000.0,490350000.0,403848000.0
