,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.350686,0.271841,0.205381
Net Income From Continuing Operation Net Minority Interest,254400000.0,200000000.0,209800000.0
Reconciled Depreciation,97900000.0,84900000.0,66800000.0
Net Interest Income,1120200000.0,960900000.0,921400000.0
Interest Expense,1353700000.0,848300000.0,329000000.0
Interest Income,2473900000.0,1809200000.0,1250400000.0
Normalized Income,254400000.0,200000000.0,209800000.0
Net Income From Continuing And Discontinued Operation,254400000.0,200000000.0,209800000.0
Diluted Average Shares,50000000.0,50000000.0,50000000.0
Basic Average Shares,50000000.0,50000000.0,50000000.0
Diluted EPS,5.088,4.0,4.196
Basic EPS,5.088,4.0,4.196
Diluted NI Availto Com Stockholders,254400000.0,200000000.0,209800000.0
Net Income Common Stockholders,254400000.0,200000000.0,209800000.0
Net Income,254400000.0,200000000.0,209800000.0
Minority Interests,-1200000.0,-800000.0,0.0
Net Income Including Noncontrolling Interests,255600000.0,200800000.0,209800000.0
Net Income Continuous Operations,255700000.0,201700000.0,209700000.0
Tax Provision,138100000.0,75300000.0,54200000.0
Pretax Income,393800000.0,277000000.0,263900000.0
Gain On Sale Of Security,1900000.0,6100000.0,-8000000.0
Operating Expense,695400000.0,673100000.0,617900000.0
Other Operating Expenses,0.0,0.0,0.0
Depreciation And Amortization In Income Statement,97800000.0,84900000.0,66800000.0
Depreciation Income Statement,97800000.0,84900000.0,66800000.0
Selling General And Administration,266100000.0,298200000.0,295600000.0
Selling And Marketing Expense,93800000.0,82300000.0,34900000.0
General And Administrative Expense,172300000.0,215900000.0,260700000.0
Total Revenue,1131800000.0,995900000.0,906200000.0
Operating Revenue,1131800000.0,995900000.0,906200000.0
