,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-34922000.0,-36684000.0,-55665000.0,-77204000.0
Net Income From Continuing Operation Net Minority Interest,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Reconciled Depreciation,293000.0,476000.0,570000.0,576000.0
EBITDA,-34922000.0,-36684000.0,-55665000.0,-77204000.0
EBIT,-35215000.0,-37160000.0,-56235000.0,-77780000.0
Net Interest Income,910000.0,1095000.0,203000.0,145000.0
Interest Expense,19000.0,7000.0,4000.0,1000.0
Interest Income,929000.0,1102000.0,207000.0,146000.0
Normalized Income,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Net Income From Continuing And Discontinued Operation,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Total Expenses,36176000.0,38344000.0,56569000.0,78143000.0
Total Operating Income As Reported,-36144000.0,-38262000.0,-56442000.0,-77926000.0
Diluted Average Shares,77151550.0,62087012.0,54222790.0,43079017.0
Basic Average Shares,77151550.0,62087012.0,53822194.0,42616357.0
Diluted EPS,-0.46,-0.6,-1.045691,-1.825528
Basic EPS,-0.46,-0.6,-1.045691,-1.825528
Diluted NI Availto Com Stockholders,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Net Income Common Stockholders,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Net Income Including Noncontrolling Interests,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Net Income Continuous Operations,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Pretax Income,-35234000.0,-37167000.0,-56239000.0,-77781000.0
Net Non Operating Interest Income Expense,910000.0,1095000.0,203000.0,145000.0
Interest Expense Non Operating,19000.0,7000.0,4000.0,1000.0
Interest Income Non Operating,929000.0,1102000.0,207000.0,146000.0
Operating Income,-36176000.0,-38344000.0,-56569000.0,-78143000.0
Operating Expense,36176000.0,38344000.0,56569000.0,78143000.0
Other Operating Expenses,153000.0,104000.0,230000.0,500000.0
Research And Development,24981000.0,27707000.0,46183000.0,66715000.0
Selling General And Administration,11473000.0,10598000.0,10168000.0,11265000.0
General And Administrative Expense,11473000.0,10598000.0,10168000.0,11265000.0
Total Revenue,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
