,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.206,0.206,0.022456
Normalized EBITDA,189410000.0,165727000.0,151796000.0
Net Income From Continuing Operation Net Minority Interest,62053000.0,57570000.0,69085000.0
Reconciled Depreciation,124917000.0,103203000.0,75245000.0
Reconciled Cost Of Revenue,2259514000.0,1993920000.0,1482843000.0
EBITDA,189410000.0,165727000.0,151796000.0
EBIT,64493000.0,62524000.0,76551000.0
Net Interest Income,-18680000.0,-12399000.0,-7022000.0
Interest Expense,17237000.0,12405000.0,5879000.0
Interest Income,322000.0,33000.0,1000.0
Normalized Income,62053000.0,57570000.0,69085000.0
Net Income From Continuing And Discontinued Operation,62053000.0,57570000.0,69085000.0
Total Expenses,3079901000.0,2694860000.0,2074298000.0
Total Operating Income As Reported,65936000.0,62518000.0,77694000.0
Diluted Average Shares,20000000.0,20000000.0,20000000.0
Basic Average Shares,20000000.0,20000000.0,20000000.0
Diluted EPS,3.10265,2.8785,3.45425
Basic EPS,3.10265,2.8785,3.45425
Diluted NI Availto Com Stockholders,62053000.0,57570000.0,69085000.0
Net Income Common Stockholders,62053000.0,57570000.0,69085000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,62053000.0,57570000.0,69085000.0
Net Income Including Noncontrolling Interests,62053000.0,57571000.0,69085000.0
Net Income Continuous Operations,62053000.0,57571000.0,69085000.0
Tax Provision,-14797000.0,-7452000.0,1587000.0
Pretax Income,47256000.0,50119000.0,70672000.0
Net Non Operating Interest Income Expense,-18680000.0,-12399000.0,-7022000.0
Total Other Finance Cost,1765000.0,27000.0,1144000.0
Interest Expense Non Operating,17237000.0,12405000.0,5879000.0
Interest Income Non Operating,322000.0,33000.0,1000.0
Operating Income,67027000.0,63155000.0,77943000.0
Operating Expense,820387000.0,700940000.0,591455000.0
Other Operating Expenses,183904000.0,152004000.0,145473000.0
Depreciation And Amortization In Income Statement,124917000.0,103203000.0,75245000.0
Amortization,10563000.0,10607000.0,9835000.0
Depreciation Income Statement,114354000.0,92596000.0,65410000.0
Gross Profit,887414000.0,764095000.0,669398000.0
Cost Of Revenue,2259514000.0,1993920000.0,1482843000.0
Total Revenue,3146928000.0,2758015000.0,2152241000.0
Operating Revenue,3146928000.0,2758015000.0,2152241000.0
