,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.126207,0.313017,0.206
Normalized EBITDA,13474000.0,2003000.0,20689000.0
Net Income From Continuing Operation Net Minority Interest,11036000.0,913000.0,15959000.0
Reconciled Depreciation,816000.0,674000.0,
Reconciled Cost Of Revenue,23100000.0,21644000.0,
EBITDA,13474000.0,2003000.0,20689000.0
EBIT,12658000.0,1329000.0,20689000.0
Net Interest Income,-710000.0,0.0,
Interest Expense,28000.0,0.0,
Interest Income,35000.0,0.0,
Normalized Income,11036000.0,913000.0,15959000.0
Net Income From Continuing And Discontinued Operation,11036000.0,913000.0,15959000.0
Total Expenses,59770000.0,63211000.0,
Total Operating Income As Reported,13340000.0,2030000.0,20689000.0
Diluted Average Shares,12500000.0,12500000.0,12500000.0
Basic Average Shares,12500000.0,12500000.0,12500000.0
Diluted EPS,0.88288,0.07304,1.27672
Basic EPS,0.88288,0.07304,1.27672
Diluted NI Availto Com Stockholders,11036000.0,913000.0,15959000.0
Net Income Common Stockholders,11036000.0,913000.0,15959000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,11036000.0,913000.0,15959000.0
Net Income Including Noncontrolling Interests,11036000.0,913000.0,15959000.0
Net Income Continuous Operations,11036000.0,913000.0,15959000.0
Tax Provision,1594000.0,416000.0,
Pretax Income,12630000.0,1329000.0,
Net Non Operating Interest Income Expense,-710000.0,0.0,
Total Other Finance Cost,717000.0,,
Interest Expense Non Operating,28000.0,0.0,
Interest Income Non Operating,35000.0,0.0,
Operating Income,13340000.0,2030000.0,20689000.0
Operating Expense,36670000.0,41567000.0,
Other Operating Expenses,16752000.0,18915000.0,
Depreciation And Amortization In Income Statement,816000.0,674000.0,
Depreciation Income Statement,816000.0,674000.0,
Selling General And Administration,133000.0,48000.0,-7321000.0
General And Administrative Expense,133000.0,48000.0,-7321000.0
Gross Profit,50010000.0,43597000.0,
Cost Of Revenue,23100000.0,21644000.0,
Total Revenue,73110000.0,65241000.0,54945000.0
Operating Revenue,73110000.0,65241000.0,54945000.0
