,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.276316,0.206,0.206,0.140876,
Net Income From Continuing Operation Net Minority Interest,-4514000.0,-10381000.0,-20547000.0,113219000.0,
Reconciled Depreciation,23645000.0,28261000.0,17854000.0,11786000.0,
Net Interest Income,32346000.0,21049000.0,20279000.0,15813000.0,
Interest Expense,20741000.0,13013000.0,2404000.0,2616000.0,
Interest Income,53087000.0,34062000.0,22683000.0,18429000.0,
Normalized Income,-4514000.0,-10381000.0,-20547000.0,113219000.0,
Net Income From Continuing And Discontinued Operation,-4514000.0,-10381000.0,-20547000.0,113219000.0,
Diluted Average Shares,,467900.0,461232.0,458937.0,458937.0
Basic Average Shares,,467900.0,461232.0,458937.0,458937.0
Diluted EPS,,-22.186365,-44.8,246.7,57.6
Basic EPS,,-22.186365,-44.8,246.7,57.6
Diluted NI Availto Com Stockholders,-4514000.0,-10381000.0,-20547000.0,113219000.0,
Net Income Common Stockholders,-4514000.0,-10381000.0,-20547000.0,113219000.0,
Net Income,-4514000.0,-10381000.0,-20547000.0,113219000.0,
Minority Interests,,,0.0,0.0,
Net Income Including Noncontrolling Interests,-4510000.0,-10382000.0,-20545000.0,113218000.0,
Net Income Continuous Operations,-4510000.0,-10382000.0,-20545000.0,113218000.0,
Tax Provision,-1722000.0,666000.0,23000.0,18565000.0,
Pretax Income,-6232000.0,-9716000.0,-20522000.0,131783000.0,
Gain On Sale Of Security,-42088000.0,-42231000.0,-104243000.0,107809000.0,
Operating Expense,178077000.0,178775000.0,148368000.0,239384000.0,
Other Operating Expenses,7731000.0,13731000.0,8444000.0,14106000.0,
Depreciation And Amortization In Income Statement,23645000.0,28261000.0,17854000.0,11786000.0,
Depreciation Income Statement,23645000.0,28261000.0,17854000.0,11786000.0,
Selling General And Administration,48161000.0,44002000.0,44012000.0,43319000.0,
General And Administrative Expense,48161000.0,44002000.0,44012000.0,43319000.0,
Rent And Landing Fees,4150000.0,1893000.0,2658000.0,1932000.0,
Total Revenue,176522000.0,169061000.0,129067000.0,362808000.0,
Operating Revenue,176522000.0,169061000.0,129067000.0,362808000.0,
