,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,48204.0,17384.0,69481534.0,0.0
Tax Rate For Calcs,0.206,0.008,0.206,0.265379
Normalized EBITDA,58727000.0,25658000.0,160357000.0,301481000.0
Total Unusual Items,234000.0,2173000.0,337289000.0,0.0
Total Unusual Items Excluding Goodwill,234000.0,2173000.0,337289000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-93115000.0,-136587000.0,490050000.0,176440000.0
Reconciled Depreciation,34205000.0,53224000.0,27699000.0,20194000.0
Reconciled Cost Of Revenue,310327000.0,328367000.0,227540000.0,124933000.0
EBITDA,58961000.0,27831000.0,497646000.0,301481000.0
EBIT,24756000.0,-25393000.0,469947000.0,281287000.0
Net Interest Income,-94695000.0,-95602000.0,-52835000.0,-40768000.0
Interest Expense,103764000.0,103037000.0,54166000.0,41110000.0
Interest Income,9069000.0,7435000.0,1331000.0,342000.0
Normalized Income,-93300796.0,-138742616.0,222242534.0,176440000.0
Net Income From Continuing And Discontinued Operation,-93115000.0,-136587000.0,490050000.0,176440000.0
Total Expenses,383877000.0,433902000.0,310890000.0,199349000.0
Diluted Average Shares,66510714.0,68293500.0,63642857.0,58813333.0
Basic Average Shares,66510714.0,68293500.0,63642857.0,58813333.0
Diluted EPS,-1.4,-2.0,7.7,3.0
Basic EPS,-1.4,-2.0,7.7,3.0
Diluted NI Availto Com Stockholders,-93115000.0,-136587000.0,490050000.0,176440000.0
Net Income Common Stockholders,-93115000.0,-136587000.0,490050000.0,176440000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-93115000.0,-136587000.0,490050000.0,176440000.0
Minority Interests,-5513000.0,-9196000.0,3500000.0,
Net Income Including Noncontrolling Interests,-87602000.0,-127391000.0,486550000.0,176439000.0
Net Income Continuous Operations,-87602000.0,-127391000.0,486550000.0,176439000.0
Tax Provision,8594000.0,-1039000.0,-70769000.0,63738000.0
Pretax Income,-79008000.0,-128430000.0,415781000.0,240177000.0
Special Income Charges,234000.0,2173000.0,337289000.0,0.0
Other Special Charges,-234000.0,-2173000.0,,
Restructuring And Mergern Acquisition,,0.0,-337289000.0,0.0
Net Non Operating Interest Income Expense,-94695000.0,-95602000.0,-52835000.0,-40768000.0
Interest Expense Non Operating,103764000.0,103037000.0,54166000.0,41110000.0
Interest Income Non Operating,9069000.0,7435000.0,1331000.0,342000.0
Operating Income,-45254000.0,-14688000.0,-14948000.0,-19000.0
Operating Expense,73550000.0,105535000.0,83350000.0,74416000.0
Selling General And Administration,73585000.0,108016000.0,83350000.0,74416000.0
General And Administrative Expense,73585000.0,108016000.0,83350000.0,74416000.0
Gross Profit,28296000.0,90847000.0,68402000.0,74397000.0
Cost Of Revenue,310327000.0,328367000.0,227540000.0,124933000.0
Total Revenue,338623000.0,419214000.0,295942000.0,199330000.0
Operating Revenue,338623000.0,419214000.0,295942000.0,199330000.0
