,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.206
Normalized EBITDA,-15142000.0,-14433000.0,-16700000.0
Net Income From Continuing Operation Net Minority Interest,-15146000.0,-14434000.0,-16608000.0
Reconciled Depreciation,207000.0,195000.0,
Reconciled Cost Of Revenue,-4607000.0,0.0,
EBITDA,-15142000.0,-14433000.0,-16700000.0
EBIT,-15142000.0,-14433000.0,-16700000.0
Net Interest Income,235000.0,412000.0,
Interest Expense,4000.0,1000.0,
Interest Income,239000.0,413000.0,
Normalized Income,-15146000.0,-14434000.0,-16608000.0
Net Income From Continuing And Discontinued Operation,-15146000.0,-14434000.0,-16608000.0
Total Expenses,23061000.0,17285000.0,
Total Operating Income As Reported,-15381000.0,-14846000.0,-16700000.0
Diluted Average Shares,117916199.0,141951941.0,165028294.0
Basic Average Shares,117916199.0,141951941.0,141951941.0
Diluted EPS,-0.130003,-0.101682,-0.116997
Basic EPS,-0.130003,-0.101682,-0.116997
Diluted NI Availto Com Stockholders,-15146000.0,-14434000.0,-16608000.0
Net Income Common Stockholders,-15146000.0,-14434000.0,-16608000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-15146000.0,-14434000.0,-16608000.0
Net Income Including Noncontrolling Interests,-15146000.0,-14434000.0,-16608000.0
Net Income Continuous Operations,-15146000.0,-14434000.0,-16608000.0
Tax Provision,0.0,0.0,
Pretax Income,-15146000.0,-14434000.0,
Net Non Operating Interest Income Expense,235000.0,412000.0,
Interest Expense Non Operating,4000.0,1000.0,
Interest Income Non Operating,239000.0,413000.0,
Operating Income,-15381000.0,-14846000.0,-16700000.0
Operating Expense,23061000.0,17285000.0,
Other Operating Expenses,10008000.0,5517000.0,
Depreciation And Amortization In Income Statement,207000.0,195000.0,
Depreciation Income Statement,207000.0,195000.0,
Selling General And Administration,-10188000.0,-9508000.0,
General And Administrative Expense,-10188000.0,-9508000.0,
Gross Profit,4607000.0,0.0,
Cost Of Revenue,-4607000.0,0.0,
Total Revenue,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0
