,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.241539,0.245666
Net Income From Continuing Operation Net Minority Interest,104401612.060489,149627698.616439
Reconciled Depreciation,14529457.724377,11530455.615868
Net Interest Income,527317316.361205,524885328.218105
Interest Expense,172577844.775033,65058251.510081
Interest Income,699895161.136238,589943579.728185
Normalized Income,104401612.060489,149627698.616439
Net Income From Continuing And Discontinued Operation,104401612.060489,149627698.616439
Diluted Average Shares,95517388.0,95517388.0
Basic Average Shares,95517388.0,95517388.0
Diluted EPS,1.093012,1.566497
Basic EPS,1.093012,1.566497
Diluted NI Availto Com Stockholders,104401612.060489,149627698.616439
Net Income Common Stockholders,104401612.060489,149627698.616439
Net Income,104401612.060489,149627698.616439
Net Income Including Noncontrolling Interests,104402594.710139,149627698.616439
Net Income Continuous Operations,104402594.710139,149627698.616439
Tax Provision,33247950.906552,48729559.586972
Pretax Income,137650545.616692,198357258.203412
Operating Expense,169314465.287501,170991984.144151
Other Operating Expenses,10976196.590105,8564021.590074
Depreciation And Amortization In Income Statement,14529457.724377,11530455.615868
Depreciation Income Statement,14529457.724377,11530455.615868
Selling General And Administration,81075474.66963,84267162.476533
Selling And Marketing Expense,6746872.496657,4132997.245123
General And Administrative Expense,74328602.172973,80134165.23141
Total Revenue,585550117.267757,556646501.999837
Operating Revenue,585550117.267757,556646501.999837
