,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,,0.0,,
Ordinary Shares Number,30867308.0,14710057.0,14710057.0,14710057.0
Share Issued,30867308.0,14710057.0,14710057.0,14710057.0
Tangible Book Value,30289000.0,17259574.0,50237375.0,26498102.0
Invested Capital,,51075802.0,71241586.0,33846334.0
Working Capital,36398000.0,17150685.0,50218077.0,26474516.0
Net Tangible Assets,30289000.0,17259574.0,50237375.0,26498102.0
Common Stock Equity,77624000.0,51075802.0,71241586.0,33846334.0
Total Capitalization,77624000.0,51075802.0,71241586.0,33846334.0
Total Equity Gross Minority Interest,77624000.0,51075802.0,71241586.0,33846334.0
Stockholders Equity,77624000.0,51075802.0,71241586.0,33846334.0
Retained Earnings,,-75277335.0,-42252841.0,-12862036.0
Additional Paid In Capital,,91236071.0,91189378.0,38425954.0
Capital Stock,,1300838.0,1300838.0,934184.0
Common Stock,,1300838.0,1300838.0,934184.0
Total Liabilities Net Minority Interest,9724000.0,8992597.0,4280007.0,2205430.0
Total Non Current Liabilities Net Minority Interest,6167000.0,0.0,0.0,0.0
Other Non Current Liabilities,6167000.0,,,
Current Liabilities,3557000.0,8992597.0,4280007.0,2205430.0
Other Current Liabilities,,1801093.0,392147.0,122042.0
Payables,3557000.0,4373770.0,1782531.0,1663900.0
Total Tax Payable,,507081.0,308868.0,24987.0
Accounts Payable,3557000.0,3866689.0,1473663.0,1638913.0
Total Assets,87348000.0,60068399.0,75521593.0,36051764.0
Total Non Current Assets,47393000.0,33925117.0,21023509.0,7371818.0
Goodwill And Other Intangible Assets,47335000.0,33816228.0,21004211.0,7348232.0
Other Intangible Assets,,33816228.0,21004211.0,7348232.0
Net PPE,58000.0,108889.0,19298.0,23586.0
Accumulated Depreciation,,-61973.0,-10745.0,-6457.0
Gross PPE,,170862.0,30043.0,30043.0
Other Properties,,170862.0,30043.0,30043.0
Current Assets,39955000.0,26143282.0,54498084.0,28679946.0
Other Receivables,1813000.0,1361832.0,379926.0,375194.0
Accounts Receivable,0.0,,,
Cash Cash Equivalents And Short Term Investments,38142000.0,24781450.0,54118158.0,28304752.0
Cash And Cash Equivalents,38142000.0,24781450.0,54118158.0,28304752.0
Cash Financial,,24781450.0,54118158.0,28304752.0
