,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Ordinary Shares Number,130315625.0,106980707.0,86980707.0,76741623.0
Share Issued,130315625.0,106980707.0,86980707.0,76741623.0
Tangible Book Value,12787575.0,10001721.0,8377797.0,7271350.0
Invested Capital,12787575.0,10001721.0,8377797.0,7271350.0
Working Capital,5216155.0,2519080.0,1402862.0,3433382.0
Net Tangible Assets,12787575.0,10001721.0,8377797.0,7271350.0
Common Stock Equity,12787575.0,10001721.0,8377797.0,7271350.0
Total Capitalization,12787575.0,10001721.0,8377797.0,7271350.0
Total Equity Gross Minority Interest,12787575.0,10001721.0,8377797.0,7271350.0
Stockholders Equity,12787575.0,10001721.0,8377797.0,7271350.0
Gains Losses Not Affecting Retained Earnings,3086801.0,2474060.0,2307702.0,1953659.0
Retained Earnings,-63646859.0,-61203762.0,-60288860.0,-58854192.0
Capital Stock,73347633.0,68731423.0,66358955.0,64171883.0
Common Stock,73347633.0,68731423.0,66358955.0,64171883.0
Total Liabilities Net Minority Interest,1217457.0,119242.0,294198.0,592600.0
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0
Current Liabilities,1217457.0,119242.0,294198.0,592600.0
Current Deferred Liabilities,948214.0,0.0,,
Payables And Accrued Expenses,269243.0,119242.0,294198.0,592600.0
Current Accrued Expenses,70225.0,67281.0,240768.0,531377.0
Payables,199018.0,51961.0,53430.0,61223.0
Accounts Payable,199018.0,51961.0,53430.0,61223.0
Total Assets,14005032.0,10120963.0,8671995.0,7863950.0
Total Non Current Assets,7571420.0,7482641.0,6974935.0,3837968.0
Non Current Prepaid Assets,23403.0,122224.0,58851.0,227592.0
Net PPE,7548017.0,7360417.0,6916084.0,3610376.0
Current Assets,6433612.0,2638322.0,1697060.0,4025982.0
Prepaid Assets,171998.0,21656.0,36157.0,30117.0
Receivables,254659.0,50831.0,32625.0,227161.0
Duefrom Related Parties Current,,,0.0,28088.0
Taxes Receivable,254659.0,50831.0,32625.0,199073.0
Cash Cash Equivalents And Short Term Investments,6006955.0,2565835.0,1628278.0,3768704.0
Other Short Term Investments,145000.0,40000.0,120000.0,125000.0
Cash And Cash Equivalents,5861955.0,2525835.0,1508278.0,3643704.0
Cash Equivalents,4801201.0,2023533.0,0.0,800000.0
Cash Financial,1060754.0,502302.0,1508278.0,2843704.0
