,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,200000000.0,200000000.0,200000000.0,200000000.0
Share Issued,200000000.0,200000000.0,200000000.0,200000000.0
Net Debt,11796000000.0,8077000000.0,5464000000.0,3411000000.0
Total Debt,12366000000.0,8444000000.0,8416000000.0,6342000000.0
Tangible Book Value,14769000000.0,13128000000.0,14947000000.0,16120000000.0
Invested Capital,26949000000.0,21598000000.0,23424000000.0,22535000000.0
Working Capital,-329000000.0,1681000000.0,3266000000.0,1722000000.0
Net Tangible Assets,14769000000.0,13128000000.0,14947000000.0,16120000000.0
Capital Lease Obligations,262000000.0,51000000.0,39000000.0,27000000.0
Common Stock Equity,14845000000.0,13205000000.0,15047000000.0,16220000000.0
Total Capitalization,26826000000.0,18946000000.0,23284000000.0,22445000000.0
Total Equity Gross Minority Interest,14845000000.0,13205000000.0,15047000000.0,16220000000.0
Stockholders Equity,14845000000.0,13205000000.0,15047000000.0,16220000000.0
Retained Earnings,-1444000000.0,13205000000.0,15047000000.0,16220000000.0
Additional Paid In Capital,16288000000.0,0.0,,
Capital Stock,1000000.0,0.0,0.0,0.0
Common Stock,1000000.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,14237000000.0,18321000000.0,21505000000.0,17471000000.0
Total Non Current Liabilities Net Minority Interest,13346000000.0,15248000000.0,18273000000.0,13878000000.0
Other Non Current Liabilities,15000000.0,160000000.0,100000000.0,85000000.0
Derivative Product Liabilities,26000000.0,0.0,,
Tradeand Other Payables Non Current,,8265000000.0,8153000000.0,5600000000.0
Non Current Deferred Taxes Liabilities,1062000000.0,1031000000.0,1744000000.0,1941000000.0
Long Term Debt And Capital Lease Obligation,12243000000.0,5792000000.0,8276000000.0,6252000000.0
Long Term Capital Lease Obligation,262000000.0,51000000.0,39000000.0,27000000.0
Long Term Debt,11981000000.0,5741000000.0,8237000000.0,6225000000.0
Current Liabilities,891000000.0,3073000000.0,3232000000.0,3593000000.0
Other Current Liabilities,234000000.0,55000000.0,504000000.0,1115000000.0
Current Debt And Capital Lease Obligation,123000000.0,2652000000.0,140000000.0,90000000.0
Current Debt,123000000.0,2652000000.0,140000000.0,90000000.0
Pensionand Other Post Retirement Benefit Plans Current,5000000.0,4000000.0,1000000.0,1000000.0
Payables,262000000.0,193000000.0,2429000000.0,2248000000.0
Other Payable,77000000.0,108000000.0,2281000000.0,2148000000.0
Total Tax Payable,113000000.0,31000000.0,30000000.0,45000000.0
Accounts Payable,72000000.0,54000000.0,118000000.0,55000000.0
Total Assets,29082000000.0,31526000000.0,36552000000.0,33691000000.0
Total Non Current Assets,28519000000.0,26772000000.0,30054000000.0,28377000000.0
Other Non Current Assets,,1000000.0,2000000.0,
Financial Assets,33000000.0,1000000.0,2000000.0,0.0
Investmentin Financial Assets,0.0,35000000.0,139000000.0,259000000.0
Available For Sale Securities,,35000000.0,139000000.0,259000000.0
Long Term Equity Investment,0.0,1795000000.0,1767000000.0,1526000000.0
Investment Properties,28140000000.0,24786000000.0,26419000000.0,25168000000.0
Goodwill And Other Intangible Assets,76000000.0,77000000.0,100000000.0,100000000.0
Goodwill,76000000.0,77000000.0,100000000.0,100000000.0
Net PPE,264000000.0,51000000.0,39000000.0,37000000.0
Accumulated Depreciation,-5000000.0,-4000000.0,-3000000.0,-1000000.0
Gross PPE,269000000.0,55000000.0,42000000.0,38000000.0
Other Properties,7000000.0,4000000.0,3000000.0,11000000.0
Land And Improvements,262000000.0,51000000.0,39000000.0,27000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,562000000.0,4754000000.0,6498000000.0,5315000000.0
Other Current Assets,,-1000000.0,-2000000.0,-22000000.0
Assets Held For Sale Current,102000000.0,13000000.0,16000000.0,3000000.0
Prepaid Assets,20000000.0,26000000.0,37000000.0,27000000.0
Other Receivables,83000000.0,4321000000.0,3503000000.0,2078000000.0
Taxes Receivable,40000000.0,41000000.0,16000000.0,16000000.0
Accounts Receivable,9000000.0,38000000.0,15000000.0,309000000.0
Cash Cash Equivalents And Short Term Investments,308000000.0,316000000.0,2913000000.0,2904000000.0
Cash And Cash Equivalents,308000000.0,316000000.0,2913000000.0,2904000000.0
Cash Financial,308000000.0,316000000.0,2913000000.0,2904000000.0
