,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,56479561.0,56479561.0,56479561.0,56479561.0
Share Issued,56479561.0,56479561.0,56479561.0,56479561.0
Total Debt,78964.0,0.0,79900.0,78334.0
Tangible Book Value,33009521.0,26597544.0,17448953.0,11346222.0
Invested Capital,47220048.0,40232502.0,31268315.0,25169467.0
Working Capital,32591927.0,26100987.0,17032295.0,10926087.0
Net Tangible Assets,33009521.0,26597544.0,17448953.0,11346222.0
Common Stock Equity,47141084.0,40232502.0,31188415.0,25091133.0
Total Capitalization,47220048.0,40232502.0,31268315.0,25169467.0
Total Equity Gross Minority Interest,47141084.0,40232502.0,31188415.0,25091133.0
Stockholders Equity,47141084.0,40232502.0,31188415.0,25091133.0
Retained Earnings,27359256.0,20947279.0,11798688.0,15501296.0
Capital Stock,5630265.0,5630265.0,5630265.0,5630265.0
Common Stock,5630265.0,5630265.0,5630265.0,5630265.0
Total Liabilities Net Minority Interest,4454917.0,3174304.0,2468546.0,2839595.0
Total Non Current Liabilities Net Minority Interest,78964.0,1.0,79900.0,78334.0
Other Non Current Liabilities,,1.0,,
Long Term Debt And Capital Lease Obligation,78964.0,0.0,79900.0,78334.0
Long Term Debt,78964.0,0.0,79900.0,78334.0
Current Liabilities,4375953.0,3174303.0,2388646.0,2761261.0
Other Current Liabilities,288968.0,217363.0,186964.0,331493.0
Payables,1436762.0,1217829.0,1049196.0,790007.0
Total Tax Payable,186942.0,161224.0,239148.0,
Accounts Payable,1249820.0,1056605.0,810048.0,790007.0
Total Assets,51596001.0,43406806.0,33656961.0,27930728.0
Total Non Current Assets,14628121.0,14131516.0,14236020.0,14243380.0
Long Term Equity Investment,104558.0,104558.0,104558.0,104558.0
Goodwill And Other Intangible Assets,14131563.0,13634958.0,13739462.0,13744911.0
Other Intangible Assets,14131563.0,13634958.0,13739462.0,13744911.0
Net PPE,0.0,0.0,0.0,1911.0
Accumulated Depreciation,-997074.0,-997074.0,-997074.0,-995163.0
Gross PPE,997074.0,997074.0,997074.0,997074.0
Other Properties,997074.0,997074.0,997074.0,
Properties,0.0,,,
Current Assets,36967880.0,29275290.0,19420941.0,13687348.0
Other Receivables,858401.0,760794.0,1087448.0,1239019.0
Taxes Receivable,223099.0,185863.0,205825.0,144356.0
Accounts Receivable,8478027.0,5501188.0,3482848.0,2110226.0
Cash Cash Equivalents And Short Term Investments,27408353.0,22827445.0,14644820.0,10193747.0
Cash And Cash Equivalents,27408353.0,22827445.0,14644820.0,10193747.0
Cash Financial,27408353.0,22827445.0,14644820.0,10193747.0
