,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,1693025.0,375000.0,375000.0,
Ordinary Shares Number,250183540.0,251159101.0,249625000.0,250000000.0
Share Issued,251876565.0,251534101.0,250000000.0,250000000.0
Total Debt,217500000.0,170800000.0,163600000.0,195200000.0
Tangible Book Value,6941800000.0,6690800000.0,5082600000.0,5069400000.0
Net Tangible Assets,6941800000.0,6690800000.0,5082600000.0,5069400000.0
Common Stock Equity,7935700000.0,7702400000.0,6050100000.0,5990100000.0
Total Equity Gross Minority Interest,7935700000.0,7702400000.0,6050100000.0,5990100000.0
Stockholders Equity,7935700000.0,7702400000.0,6050100000.0,5990100000.0
Other Equity Interest,8014000000.0,8727000000.0,8186700000.0,8225900000.0
Retained Earnings,26300000.0,-893800000.0,-1976600000.0,-2175600000.0
Capital Stock,1300000.0,1300000.0,1200000.0,1200000.0
Common Stock,1300000.0,1300000.0,1200000.0,1200000.0
Total Liabilities Net Minority Interest,265287200000.0,214547300000.0,200857700000.0,226554100000.0
Long Term Debt And Capital Lease Obligation,217500000.0,170800000.0,163600000.0,195200000.0
Payables,203000000.0,329300000.0,232700000.0,359000000.0
Total Tax Payable,154300000.0,299800000.0,151100000.0,327600000.0
Accounts Payable,48700000.0,29500000.0,81600000.0,31400000.0
Total Assets,273222900000.0,222249700000.0,206907800000.0,232544200000.0
Investments And Advances,40672900000.0,36948700000.0,50832000000.0,45733800000.0
Investmentin Financial Assets,40672900000.0,36948700000.0,50832000000.0,45733800000.0
Available For Sale Securities,39303500000.0,36097100000.0,7810100000.0,7694000000.0
Trading Securities,2300000.0,4300000.0,19800000.0,5200000.0
Goodwill And Other Intangible Assets,993900000.0,1011600000.0,967500000.0,920700000.0
Other Intangible Assets,646300000.0,596700000.0,538400000.0,498100000.0
Goodwill,347600000.0,414900000.0,429100000.0,422600000.0
Net PPE,311500000.0,254600000.0,244000000.0,285300000.0
Accumulated Depreciation,-339300000.0,-295900000.0,-306500000.0,-239400000.0
Gross PPE,650700000.0,550500000.0,550500000.0,524700000.0
Other Properties,650700000.0,550500000.0,550500000.0,
Prepaid Assets,221000000.0,204000000.0,164300000.0,114200000.0
Receivables,3780400000.0,2365000000.0,2420100000.0,2880400000.0
Taxes Receivable,54600000.0,69300000.0,28800000.0,600000.0
Cash And Cash Equivalents,3784900000.0,4192900000.0,3726500000.0,4249800000.0
Cash Cash Equivalents And Federal Funds Sold,3784900000.0,4192900000.0,3726500000.0,4249800000.0
