,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,35093268.0,19782000.0,19782000.0,19782000.0,
Share Issued,35093268.0,19782000.0,19782000.0,19782000.0,
Tangible Book Value,20770437.0,16389682.0,32775883.0,52202738.0,
Invested Capital,20770437.0,16401458.0,32799435.0,52238066.0,
Working Capital,20769437.0,16388682.0,32291711.0,51713300.0,
Net Tangible Assets,20770437.0,16389682.0,32775883.0,52202738.0,
Common Stock Equity,20770437.0,16401458.0,32799435.0,52238066.0,
Total Capitalization,20770437.0,16401458.0,32799435.0,52238066.0,
Total Equity Gross Minority Interest,20770437.0,16401458.0,32799435.0,52238066.0,
Stockholders Equity,20770437.0,16401458.0,32799435.0,52238066.0,
Retained Earnings,-67326404.0,-51216077.0,-34818100.0,-15379469.0,
Additional Paid In Capital,86622924.0,66786691.0,66786691.0,66786691.0,
Capital Stock,1473917.0,830844.0,830844.0,830844.0,
Common Stock,1473917.0,830844.0,830844.0,830844.0,
Total Liabilities Net Minority Interest,6796308.0,13778561.0,13508536.0,2500139.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,-1.0,-1.0,
Current Liabilities,6796308.0,13778561.0,13508537.0,2500140.0,
Other Current Liabilities,354399.0,399453.0,236541.0,138870.0,
Payables,2043872.0,883015.0,737370.0,2051413.0,
Total Tax Payable,0.0,0.0,5437.0,3269.0,
Accounts Payable,2043872.0,883015.0,731933.0,2048144.0,
Total Assets,27566745.0,30180019.0,46307971.0,54738205.0,
Total Non Current Assets,1000.0,12776.0,507723.0,519515.0,
Other Non Current Assets,,,-16.0,,
Investmentin Financial Assets,1000.0,1000.0,484187.0,484187.0,
Available For Sale Securities,1000.0,1000.0,484187.0,484187.0,
Goodwill And Other Intangible Assets,0.0,11776.0,23552.0,35328.0,
Other Intangible Assets,,11776.0,23552.0,35328.0,47104.0
Current Assets,27565745.0,30167243.0,45800248.0,54213440.0,
Other Current Assets,,,-1.0,-5250.0,
Prepaid Assets,284770.0,446986.0,1647373.0,1621217.0,
Other Receivables,881867.0,337290.0,1977940.0,1825561.0,
Accounts Receivable,,,,,445665.0
Cash Cash Equivalents And Short Term Investments,26399108.0,29382967.0,43822309.0,52393129.0,
Cash And Cash Equivalents,26399108.0,29382967.0,43822309.0,52393129.0,
Cash Financial,26399108.0,29382967.0,43822309.0,52393129.0,
