Ticker,Year,Total Revenue,EBIT,Net Income,EBITDA,ROIC,ROE,Net Margin,Stockholders Equity,Net Debt,Total Liabilities,Operating Cash Flow,Free Cash Flow,Capital Expenditure,Debt/Equity Ratio,Net Debt/EBITDA,Interest Coverage,Basic EPS,Diluted EPS
2CUREX,2021-12-31,0.0,-22375000.0,-18937000.0,-22022000.0,-0.25354290359679327,-0.2547212955988378,,74344000.0,-72942000.0,4816000.0,-18426000.0,-18458000.0,-32000.0,0.0,3.3122332213241306,-215.14423076923077,-1.15,-1.15
2CUREX,2022-12-31,90000.0,-29770000.0,-29770000.0,-29459000.0,-0.6917785936701213,-0.6917785936701213,-330.77777777777777,43034000.0,-44894000.0,4623000.0,-27984000.0,-28525000.0,-541000.0,0.0,1.523948538646933,,-1.69,-1.69
2CUREX,2023-12-31,0.0,-2828000.0,-2471000.0,-2828000.0,-0.23414472594800464,-0.20458685212783573,,12078000.0,-1459000.0,4200000.0,-1952000.0,-1952000.0,-17000.0,0.0,0.5159123055162659,-1.748917748917749,-0.14,-0.14
2CUREX,2024-12-31,0.0,-4744000.0,-4128000.0,-4744000.0,-0.9303785055893312,-0.8095705040203962,,5099000.0,-5140000.0,2648000.0,-4626000.0,-4626000.0,,0.0,1.0834738617200674,,,
4C,2021-12-31,261238000.0,51960000.0,38989000.0,78052000.0,0.29595416657598644,0.3623748756889389,0.14924704675430067,107593000.0,-25996000.0,136302000.0,75486000.0,55292000.0,-20194000.0,0.3720502263158384,-0.33306001127453494,22.571676802780193,1.255199,1.149469
4C,2022-12-31,331282000.0,33947000.0,26291000.0,63341000.0,0.10589114001070578,0.1134425861682114,0.07936138999402322,231756000.0,-106958000.0,159892000.0,24623000.0,-3999000.0,-28622000.0,0.17193513868033622,-1.688606116101735,24.688727272727274,0.79,0.74
4C,2023-12-31,332101000.0,-5611000.0,-9343000.0,31921000.0,-0.018649623669867634,-0.04124944812362031,-0.028133007729576245,226500000.0,-30439000.0,159940000.0,-17746000.0,-54821000.0,-37075000.0,0.14034437086092716,-0.9535728830550422,-1.9281786941580756,-0.27,-0.27
4C,2024-12-31,343648000.0,980000.0,-3468000.0,43746000.0,0.0027418479601401015,-0.014613673139158576,-0.010091721761802775,237312000.0,43343000.0,200265000.0,-25704000.0,-66826000.0,-41122000.0,0.2844862459546926,0.9907877291638093,0.242754520683676,-0.1,-0.1
8TRA,2021-12-31,30620000000.0,996000000.0,457000000.0,3725000000.0,0.05408211841713775,0.03399285926807498,0.014924885695623776,13444000000.0,,41674000000.0,1534000000.0,-65000000.0,-1599000000.0,,,2.8620689655172415,0.91,0.91
8TRA,2022-12-31,40336000000.0,2019000000.0,1141000000.0,5001000000.0,0.10258003897550111,0.07941258351893096,0.028287385957953194,14368000000.0,,43882000000.0,-660000000.0,-2569000000.0,-1909000000.0,,,4.398692810457517,2.28,2.28
8TRA,2023-12-31,46874000000.0,4140000000.0,2451000000.0,7003000000.0,0.18838733163451038,0.14870768110666183,0.05228911550113069,16482000000.0,,45211000000.0,2583000000.0,374000000.0,-2209000000.0,,,4.667418263810598,4.9,4.9
8TRA,2024-12-31,47472000000.0,4446000000.0,2804000000.0,7416000000.0,0.19690211907164482,0.15719251037111784,0.05906639703404112,17838000000.0,,47703000000.0,2340000000.0,-401000000.0,-2741000000.0,,,5.069555302166477,5.61,5.61
AAC,2021-12-31,179950000.0,-41789000.0,-39483000.0,-18125000.0,-0.05678536633590505,-0.058164852713269655,-0.21941094748541262,678812000.0,-90385000.0,195595000.0,-35461000.0,-64678000.0,-29217000.0,0.008433852082756346,4.986758620689655,-42.55498981670061,-11.26873,-11.26873
AAC,2022-12-31,196718000.0,-47978000.0,-46548000.0,-19571000.0,-0.06842787026021128,-0.07015460297269353,-0.23662298315354977,663506000.0,-45928000.0,217895000.0,6435000.0,-34439000.0,-40874000.0,0.009302101262083537,2.346737519799704,-41.32472006890612,-11.82,-11.82
AAC,2023-12-31,276605000.0,-36982000.0,-41363000.0,830000.0,-0.042635375633242684,-0.06233451131388786,-0.1495381500695938,663565000.0,-28893000.0,275618000.0,4883000.0,-46088000.0,-50971000.0,0.046194419536895404,-34.810843373493974,-9.070885454991416,-8.73,-8.73
AAC,2024-12-31,352857000.0,-2052000.0,-5582000.0,48664000.0,-0.0022854722123640567,-0.007928695713930614,-0.015819439603011985,704025000.0,-34129000.0,285619000.0,56789000.0,16736000.0,-40053000.0,0.02208302261993537,-0.7013192503698833,-0.6231399939265108,-1.0,-1.0
AAK,2021-12-31,35452000000.0,2084000000.0,1437000000.0,3042000000.0,0.09673300693075602,0.12195535941610795,0.040533679341080896,11783000000.0,3071000000.0,15335000000.0,508000000.0,-111000000.0,-619000000.0,0.3455826190274124,1.0095332018408942,21.484536082474225,5.59,5.58
AAK,2022-12-31,50425000000.0,2553000000.0,1770000000.0,3371000000.0,0.0899986084697806,0.11771747805267359,0.03510163609320773,15036000000.0,5170000000.0,18907000000.0,-73000000.0,-1299000000.0,-1226000000.0,0.4445996275605214,1.53366953426283,12.576354679802956,6.84,6.84
AAK,2023-12-31,46028000000.0,4104000000.0,2946000000.0,4981000000.0,0.15241089178404885,0.1721095986446223,0.06400451898844182,17117000000.0,2352000000.0,13378000000.0,5314000000.0,4069000000.0,-1245000000.0,0.2252146988374131,0.47219433848624776,14.657142857142857,11.35,11.35
AAK,2024-12-31,45052000000.0,4895000000.0,3536000000.0,5757000000.0,0.16099883152291514,0.1760342510081147,0.0784870815946018,20087000000.0,1249000000.0,14237000000.0,2352000000.0,1107000000.0,-1245000000.0,0.15731567680589437,0.2169532742747959,20.829787234042552,,
ABB,2021-12-31,28945000000.0,5935000000.0,4546000000.0,6828000000.0,0.22937062440870387,0.2918030682328776,0.1570564864397996,15579000000.0,1302000000.0,24303000000.0,3330000000.0,2510000000.0,-820000000.0,0.371718338789396,0.19068541300527242,40.101351351351354,2.27,2.25
ABB,2022-12-31,29446000000.0,3524000000.0,2475000000.0,4338000000.0,0.13386203862136398,0.19370744306175158,0.08405216328193982,12777000000.0,3724000000.0,25876000000.0,1287000000.0,525000000.0,-762000000.0,0.6181419738592784,0.8584601198709082,27.107692307692307,1.3,1.3
ABB,2023-12-31,32235000000.0,5053000000.0,3745000000.0,5833000000.0,0.19152768622280816,0.27926920208799405,0.11617806731813246,13410000000.0,4168000000.0,26794000000.0,4290000000.0,3520000000.0,-770000000.0,0.6023117076808352,0.714555117435282,18.374545454545455,2.02,2.01
