Instrument,earningsGrowth_rank,revenueGrowth_rank,profitMargins_rank,grossMargins_rank,returnOnEquity_rank,returnOnAssets_rank,priceToBook_rank,forwardPE_rank,dividendYield_rank,Close_10_%_D_rank,10_50_%_D_rank,50_200_%_D_rank
MIPS,80.0,81.0,90.0,82.0,89.0,97.0,7.0,10.0,19.0,39.0,70.0,35.0
NEWA-B,63.0,57.0,73.0,57.0,78.0,88.0,44.0,47.0,47.0,15.0,59.0,82.0
THULE,39.0,57.0,77.0,50.0,80.0,88.0,30.0,29.0,51.0,83.0,72.0,21.0
VOLCAR-B,10.0,24.0,53.0,19.0,68.0,68.0,92.0,74.0,,54.0,56.0,18.0
ANOD-B,31.0,10.0,61.0,22.0,82.0,74.0,19.0,15.0,12.0,37.0,90.0,56.0
BETCO,15.0,22.0,71.0,43.0,57.0,67.0,10.0,3.0,,81.0,65.0,48.0
FNOX,76.0,70.0,92.0,71.0,95.0,98.0,5.0,8.0,1.0,52.0,46.0,86.0
HACK,70.0,89.0,97.0,98.0,,,0.0,,,42.0,,
HEXA-B,34.0,44.0,85.0,74.0,67.0,76.0,4.0,32.0,21.0,73.0,47.0,32.0
LAGR-B,70.0,65.0,76.0,41.0,92.0,91.0,10.0,11.0,8.0,67.0,62.0,71.0
MYCR,69.0,75.0,88.0,63.0,92.0,96.0,20.0,48.0,18.0,80.0,72.0,43.0
NCAB,21.0,42.0,63.0,37.0,81.0,85.0,17.0,25.0,45.0,60.0,85.0,19.0
SINCH,,47.0,20.0,18.0,29.0,49.0,73.0,13.0,,50.0,86.0,73.0
TIETOS,,33.0,28.0,25.0,40.0,70.0,6.0,66.0,96.0,66.0,60.0,33.0
TRUE-B,32.0,66.0,88.0,85.0,93.0,98.0,10.0,16.0,3.0,18.0,41.0,76.0
VIT-B,41.0,72.0,78.0,54.0,71.0,75.0,35.0,17.0,6.0,2.0,38.0,27.0
YUBICO,27.0,73.0,82.0,89.0,90.0,96.0,18.0,24.0,,22.0,10.0,8.0
ERIC-A,80.0,46.0,43.0,54.0,51.0,59.0,41.0,,58.0,4.0,25.0,49.0
ERIC-B,80.0,46.0,43.0,54.0,51.0,59.0,42.0,56.0,58.0,4.0,23.0,49.0
HMS,48.0,82.0,73.0,70.0,75.0,88.0,20.0,15.0,13.0,11.0,34.0,55.0
TEL2-A,53.0,40.0,81.0,49.0,84.0,81.0,28.0,,69.0,32.0,29.0,83.0
TEL2-B,53.0,40.0,81.0,49.0,84.0,81.0,28.0,27.0,68.0,33.0,30.0,83.0
TELIA,38.0,47.0,70.0,53.0,69.0,69.0,44.0,37.0,79.0,26.0,15.0,72.0
ENITY,56.0,47.0,74.0,99.0,,,,,,88.0,,
NORION,71.0,69.0,95.0,6.0,82.0,56.0,62.0,62.0,,93.0,89.0,83.0
TFBANK,70.0,66.0,93.0,6.0,91.0,60.0,33.0,46.0,,94.0,79.0,68.0
APOTEA,77.0,64.0,54.0,27.0,,,10.0,15.0,,83.0,21.0,
CLA-B,88.0,37.0,67.0,35.0,74.0,78.0,54.0,34.0,55.0,25.0,45.0,89.0
DUNI,36.0,54.0,52.0,24.0,61.0,72.0,61.0,54.0,75.0,38.0,23.0,58.0
HUMBLE,17.0,48.0,45.0,32.0,51.0,56.0,82.0,64.0,,11.0,39.0,14.0
SCST,43.0,53.0,48.0,43.0,73.0,73.0,41.0,33.0,41.0,47.0,67.0,77.0
EOLU-B,,99.0,74.0,31.0,84.0,93.0,77.0,72.0,66.0,33.0,81.0,63.0
MER,98.0,,40.0,33.0,26.0,40.0,14.0,4.0,92.0,51.0,,
ORRON,,16.0,13.0,69.0,41.0,37.0,29.0,100.0,,37.0,71.0,14.0
BESQAB,,3.0,44.0,10.0,49.0,41.0,76.0,37.0,,55.0,79.0,37.0
BESQAB-PREF-B,,3.0,44.0,10.0,49.0,41.0,35.0,,93.0,70.0,65.0,72.0
BRIN-B,,54.0,96.0,70.0,70.0,54.0,87.0,61.0,,75.0,37.0,22.0
CIBUS,,77.0,86.0,89.0,55.0,65.0,9.0,2.0,78.0,39.0,61.0,67.0
DIOS,23.0,46.0,87.0,77.0,59.0,66.0,78.0,63.0,54.0,37.0,44.0,34.0
EAST,95.0,89.0,95.0,96.0,59.0,62.0,12.0,3.0,38.0,59.0,52.0,67.0
EMIL-B,84.0,75.0,95.0,88.0,68.0,68.0,53.0,28.0,70.0,71.0,73.0,66.0
EMIL-PREF,84.0,75.0,95.0,88.0,68.0,68.0,69.0,,86.0,48.0,58.0,62.0
GPG,92.0,72.0,88.0,84.0,56.0,55.0,84.0,45.0,31.0,48.0,12.0,42.0
HEBA-B,,85.0,91.0,82.0,53.0,53.0,78.0,25.0,23.0,37.0,25.0,59.0
INTEA-B,64.0,71.0,96.0,90.0,64.0,58.0,49.0,25.0,5.0,89.0,70.0,
INTEA-D,64.0,71.0,96.0,90.0,64.0,58.0,71.0,,74.0,74.0,73.0,
JOMA,99.0,49.0,98.0,80.0,69.0,52.0,79.0,22.0,,43.0,49.0,59.0
KFAST-B,,78.0,51.0,50.0,48.0,50.0,84.0,22.0,,43.0,66.0,15.0
KLARA-B,100.0,60.0,97.0,65.0,70.0,54.0,88.0,39.0,,63.0,59.0,36.0
LOGI-A,16.0,94.0,93.0,92.0,63.0,69.0,70.0,48.0,6.0,78.0,78.0,51.0
LOGI-B,16.0,94.0,93.0,92.0,63.0,69.0,70.0,41.0,5.0,76.0,78.0,48.0
NEOBO,,43.0,23.0,62.0,43.0,53.0,90.0,,,82.0,57.0,30.0
NIVI-B,33.0,63.0,88.0,79.0,,,82.0,45.0,20.0,77.0,63.0,54.0
PLAZ-B,35.0,57.0,85.0,87.0,52.0,59.0,83.0,54.0,42.0,15.0,26.0,35.0
PRISMA,,70.0,91.0,86.0,55.0,57.0,73.0,43.0,,75.0,36.0,62.0
SBB-B,,15.0,8.0,76.0,34.0,45.0,85.0,56.0,99.0,66.0,30.0,78.0
SBB-D,,15.0,8.0,76.0,34.0,45.0,74.0,,100.0,28.0,34.0,81.0
STEF-B,86.0,59.0,93.0,87.0,64.0,61.0,66.0,46.0,,59.0,47.0,43.0
SFAST,,34.0,84.0,85.0,53.0,64.0,81.0,65.0,24.0,49.0,66.0,50.0
SVEAF,,86.0,20.0,75.0,43.0,51.0,88.0,34.0,,60.0,83.0,
SLP-B,65.0,81.0,98.0,92.0,72.0,63.0,59.0,27.0,,41.0,55.0,65.0
TRIAN-B,81.0,61.0,91.0,74.0,58.0,56.0,81.0,33.0,,64.0,39.0,34.0
CAT-A,,18.0,27.0,25.0,35.0,43.0,59.0,,51.0,52.0,21.0,70.0
CAT-B,,18.0,27.0,25.0,35.0,43.0,58.0,65.0,51.0,28.0,35.0,70.0
CS,20.0,70.0,99.0,92.0,90.0,24.0,7.0,78.0,64.0,87.0,89.0,88.0
CRED-A,,,98.0,100.0,80.0,92.0,71.0,,32.0,68.0,40.0,64.0
FLERIE,,4.0,40.0,6.0,37.0,,74.0,99.0,,41.0,56.0,54.0
HOFI,49.0,46.0,87.0,78.0,83.0,55.0,62.0,68.0,37.0,52.0,20.0,66.0
INTRUM,,35.0,21.0,50.0,36.0,51.0,83.0,59.0,,89.0,98.0,94.0
LINC,,,99.0,100.0,62.0,66.0,66.0,,,60.0,80.0,39.0
RATO-A,98.0,35.0,46.0,48.0,62.0,62.0,67.0,,55.0,25.0,31.0,82.0
RATO-B,98.0,35.0,46.0,48.0,62.0,62.0,69.0,53.0,57.0,29.0,35.0,83.0
RESURS,,79.0,52.0,6.0,49.0,42.0,79.0,67.0,,78.0,59.0,69.0
SVOL-A,1.0,23.0,20.0,100.0,42.0,92.0,61.0,,34.0,57.0,15.0,44.0
SVOL-B,1.0,23.0,20.0,100.0,42.0,92.0,71.0,,51.0,67.0,28.0,63.0
TRAC-B,14.0,7.0,99.0,100.0,70.0,82.0,73.0,,57.0,57.0,36.0,57.0
VEFAB,30.0,83.0,40.0,6.0,27.0,23.0,22.0,89.0,,74.0,50.0,43.0
VNV,,,40.0,6.0,31.0,27.0,26.0,68.0,,65.0,81.0,35.0
ORES,23.0,12.0,98.0,100.0,63.0,73.0,67.0,,82.0,87.0,74.0,66.0
AMBEA,57.0,49.0,59.0,27.0,77.0,74.0,51.0,45.0,28.0,69.0,73.0,76.0
ARJO-B,26.0,47.0,57.0,49.0,60.0,70.0,63.0,48.0,46.0,70.0,77.0,33.0
ATT,87.0,54.0,51.0,35.0,70.0,69.0,52.0,40.0,26.0,80.0,60.0,80.0
BACTI-B,,52.0,26.0,92.0,38.0,38.0,35.0,1.0,,24.0,10.0,26.0
BICO,,20.0,26.0,63.0,35.0,36.0,73.0,98.0,,21.0,50.0,51.0
BIOG-B,24.0,39.0,87.0,81.0,83.0,94.0,20.0,22.0,25.0,62.0,56.0,40.0
BINV,,96.0,40.0,100.0,18.0,12.0,36.0,89.0,,41.0,57.0,53.0
CEVI,73.0,63.0,86.0,77.0,87.0,95.0,24.0,26.0,19.0,33.0,20.0,33.0
CINPHA,,,40.0,100.0,11.0,9.0,57.0,84.0,,89.0,84.0,17.0
