,Category,Values,Ticker
1,Trend_clusterAvg,55.09138381201044,NP3
2,Latest_clusterRank,67.36292428198433,NP3
3,Trend_clusterRank,60.574412532637076,NP3
0,Latest_clusterAvg,65.43080939947781,NP3-PREF
1,Trend_clusterAvg,47.806788511749346,NP3-PREF
2,Latest_clusterRank,84.20365535248042,NP3-PREF
3,Trend_clusterRank,44.64751958224543,NP3-PREF
0,Latest_clusterAvg,46.00522193211488,NYF
1,Trend_clusterAvg,30.156657963446474,NYF
2,Latest_clusterRank,38.642297650130544,NYF
3,Trend_clusterRank,16.840731070496084,NYF
0,Latest_clusterAvg,54.83028720626633,PNDX-B
1,Trend_clusterAvg,67.44125326370758,PNDX-B
2,Latest_clusterRank,65.66579634464752,PNDX-B
3,Trend_clusterRank,79.11227154046998,PNDX-B
0,Latest_clusterAvg,71.77545691906005,SAGA-A
1,Trend_clusterAvg,37.96344647519582,SAGA-A
2,Latest_clusterRank,92.68929503916449,SAGA-A
3,Trend_clusterRank,28.98172323759791,SAGA-A
0,Latest_clusterAvg,62.40208877284594,SAGA-B
1,Trend_clusterAvg,39.791122715404704,SAGA-B
2,Latest_clusterRank,81.0704960835509,SAGA-B
3,Trend_clusterRank,31.723237597911226,SAGA-B
0,Latest_clusterAvg,73.57702349869452,SAGA-D
1,Trend_clusterAvg,35.45691906005222,SAGA-D
2,Latest_clusterRank,95.03916449086162,SAGA-D
3,Trend_clusterRank,24.934725848563968,SAGA-D
0,Latest_clusterAvg,49.84334203655352,WALL-B
1,Trend_clusterAvg,25.848563968668408,WALL-B
2,Latest_clusterRank,53.45953002610966,WALL-B
3,Trend_clusterRank,11.488250652741515,WALL-B
0,Latest_clusterAvg,53.60313315926893,WIHL
1,Trend_clusterAvg,33.94255874673629,WIHL
2,Latest_clusterRank,63.9686684073107,WIHL
3,Trend_clusterRank,21.93211488250653,WIHL
0,Latest_clusterAvg,89.1644908616188,BURE
1,Trend_clusterAvg,49.00783289817232,BURE
2,Latest_clusterRank,99.86945169712794,BURE
3,Trend_clusterRank,46.73629242819843,BURE
0,Latest_clusterAvg,62.03655352480418,EQT
1,Trend_clusterAvg,31.853785900783286,EQT
2,Latest_clusterRank,80.67885117493474,EQT
3,Trend_clusterRank,19.451697127937337,EQT
0,Latest_clusterAvg,69.30809399477806,INDU-A
1,Trend_clusterAvg,51.17493472584856,INDU-A
2,Latest_clusterRank,89.68668407310705,INDU-A
3,Trend_clusterRank,51.82767624020887,INDU-A
0,Latest_clusterAvg,69.75195822454307,INDU-C
1,Trend_clusterAvg,51.018276762402095,INDU-C
2,Latest_clusterRank,90.46997389033943,INDU-C
3,Trend_clusterRank,51.43603133159269,INDU-C
0,Latest_clusterAvg,70.6396866840731,INVE-A
1,Trend_clusterAvg,44.67362924281984,INVE-A
2,Latest_clusterRank,91.12271540469973,INVE-A
3,Trend_clusterRank,39.947780678851174,INVE-A
0,Latest_clusterAvg,69.64751958224542,INVE-B
1,Trend_clusterAvg,45.300261096605745,INVE-B
2,Latest_clusterRank,90.2088772845953,INVE-B
3,Trend_clusterRank,41.38381201044387,INVE-B
0,Latest_clusterAvg,68.04177545691905,KINV-A
1,Trend_clusterAvg,45.53524804177546,KINV-A
2,Latest_clusterRank,87.53263707571801,KINV-A
3,Trend_clusterRank,41.90600522193211,KINV-A
0,Latest_clusterAvg,67.0757180156658,KINV-B
1,Trend_clusterAvg,43.94255874673629,KINV-B
2,Latest_clusterRank,86.48825065274151,KINV-B
3,Trend_clusterRank,38.38120104438642,KINV-B
0,Latest_clusterAvg,61.6710182767624,LATO-B
1,Trend_clusterAvg,68.09399477806788,LATO-B
2,Latest_clusterRank,80.15665796344648,LATO-B
3,Trend_clusterRank,80.93994778067885,LATO-B
0,Latest_clusterAvg,69.71279373368147,LUND-B
1,Trend_clusterAvg,48.929503916449086,LUND-B
2,Latest_clusterRank,90.33942558746736,LUND-B
3,Trend_clusterRank,46.47519582245431,LUND-B
0,Latest_clusterAvg,62.45430809399478,SAVE
1,Trend_clusterAvg,54.543080939947785,SAVE
2,Latest_clusterRank,81.20104438642298,SAVE
3,Trend_clusterRank,59.00783289817232,SAVE
0,Latest_clusterAvg,63.5248041775457,ROKO-B
1,Trend_clusterAvg,90.0261096605744,ROKO-B
2,Latest_clusterRank,82.63707571801567,ROKO-B
3,Trend_clusterRank,99.86945169712794,ROKO-B
0,Latest_clusterAvg,43.838120104438644,STOR-B
1,Trend_clusterAvg,46.762402088772845,STOR-B
2,Latest_clusterRank,31.59268929503917,STOR-B
3,Trend_clusterRank,42.95039164490861,STOR-B
0,Latest_clusterAvg,53.02872062663185,SAMPO-SDB
1,Trend_clusterAvg,35.0130548302872,SAMPO-SDB
