Ticker,Basic_EPS_TTM,Total_Revenue_TTM
BONAV-A,-1.37,7846000000.0
BONAV-B,-1.37,7846000000.0
BONEX,2.25,1062482000.0
BONG,-0.12,1857700000.0
BOOZT,5.300000000000001,8282000000.0
BORG,3.4799999999999995,1012938000.0
BOTX,1.36,184225000.0
BOUL,-6.380000000000001,515900000.0
BRAIN,-0.170649,43178000.0
BRAV,5.45,28545000000.0
BRAVE,-1.35,770000.0
BRE2,0.1159999999999999,1808961000.0
BRIGHT,-0.989512,59723000.0
BRILL,-0.43,84611000.0
BRIN-B,0.2,684600000.0
BTS-B,18.53,2830422000.0
BUFAB,3.124,7966000000.0
BULTEN,2.67,5576000000.0
BURE,1.5599999999999952,244000000.0
BUSER,-0.563591,99266000.0
BUY,-0.5299999999999999,84572000.0
BYGGP,1.58,4782261000.0
CAG,6.619999999999999,854662000.0
CALVIK,1.98,456942000.0
CAMX,12.21,2266571000.0
CANDLE-B,-0.74,179035075.0
CANTA,-0.87,0.0
CARA,-0.488851,310565833.308708
CARE,1.82,840100000.0
CASE,0.66969,182848000.0
CAST,5.38,9660000000.0
CAT-A,-2.02,2111000000.0
CAT-B,-2.02,2111000000.0
CATE,23.2,2461000000.0
CCC,0.0119999999999999,163886000.0
CDMIL,0.6399999999999999,88254000.0
CDON,-8.629999999999999,423200000.0
CEDER,2.54,1688186000.0
CEVI,6.34,751474000.0
CFISH,-0.523404,1552961.0
CHARGE,-0.39,11357000.0
CHECK,-0.75,75019000.0
CHEF,3.3400000000000003,1105735000.0
CI,-0.16,33455000.0
CIBUS,0.51,162837000.0
CINIS,-2.66,123200000.0
CINPHA,-4.09,4580000.0
CINT,0.009511,162937000.0
CIRCHE,0.03,22702000.0
CIRCLE-B,-0.0124,0.0
CLA-B,2.3000000000000003,8598000000.0
CLAS-B,13.91,11626600000.0
CLAV,-0.12,207408000.0
CLBIO,-1.09,8092000.0
CLEM,0.61,269918000.0
CLEMO,-0.2165059999999999,1114000.0
CLIME-B,-3.6,35487000.0
CLS-B,-2.28,20139000.0
CMH,-22.30453,1003115.0
CMOTEC-B,-0.4600000000000001,9853000.0
CNCJO-B,-2.55,561800000.0
COMPDM,-0.5996980000000001,14673000.0
COOR,1.2599999999999998,12386000000.0
CORE-A,-1.84,3605000000.0
CORE-B,-1.84,3605000000.0
CORE-D,-1.84,3605000000.0
CORE-PREF,,3605000000.0
CRAD-B,0.76,445600000.0
CRED-A,9.2,1331000000.0
CRNO-B,-0.39,0.0
CS,8.947241,116604761.088268
CTEK,-0.6100000000000001,911300000.0
CTM,-0.5700000000000001,40245000.0
CTT,4.4,273400000.0
CX,2.54,928000000.0
DE,103.00082,324501000.0
DEDI,3.9,1553100000.0
DEVP-B,2.0700000000000003,503297000.0
DIAH,-0.29,60068000.0
DICOT,-0.04,0.0
DIOS,3.41,2581000000.0
DIST,-1.24,1500200000.0
DIVIO-B,-0.012802,31718000.0
DLAB,-0.4399999999999999,46269000.0
DMXSE-SDB,-0.013439,0.0
DMYD-B,-1.198144,130000.0
DOM,-7.789999999999999,22531000000.0
DONE,22.23,322240000.0
DORO,3.1500000000000004,908000000.0
DOXA,-1.7635,7400000.0
DRIL,0.11,393308000.0
DSNO,-0.07,814700000.0
DUG,-0.2921,1696000.0
DUNI,4.7,7714000000.0
DURC-B,-0.1699999999999999,3048200000.0
DUST,-3.547045,20338500000.0
DVYSR,-2.76,235100000.0
DYVOX,1.44,2252000000.0
EAST,0.3,42609000.0
EFFH,-0.34,8104000.0
EG7,-3.05,1957500000.0
EGTX,-1.0,46800000.0
EKTA-B,0.6100000000000001,18017000000.0
ELAN-B,2.34,13648000000.0
ELIC,-0.52,0.0
ELLWEE,8.79,248342869.0
ELON,1.83,4772300000.0
ELTEL,-0.0199999999999999,807100000.0
ELUX-A,0.5100000000000001,135106000000.0
ELUX-B,0.5100000000000001,135106000000.0
EMB,-0.06,113733000.0
EMBELL,2.88,767000000.0
EMBRAC-B,36.96,24657000000.0
EMIL-B,2.63,769000000.0
ENEA,2.5600000000000005,919500000.0
ENERS,-0.000352,259809.0
ENGCON-B,1.5499999999999998,1781000000.0
ENITY,1.878,577900000.0
ENRO,0.1,948000000.0
ENVAR,1.23952,77416000.0
ENZY,-0.22,50288000.0
EOLU-B,11.12,2782000000.0
EPEN,4.39,2177062000.0
EPI-A,7.439999999999999,63616000000.0
EPI-B,7.439999999999999,63616000000.0
EPIS-B,-0.11,13700000.0
EPRO-B,2.99,12865000000.0
EQL,1.4700000000000002,397941000.0
ERIC-A,5.2,245864000000.0
ERIC-B,5.2,245864000000.0
ERMA,-0.96,16227000.0
ESGR-B,-1.6999999999999995,240867000.0
ESSITY-A,17.68,143240000000.0
ESSITY-B,17.68,143240000000.0
EVO,5.86,2098437000.0
EWRK,6.8100000000000005,14499484000.0
EXPRS2,-14.65,3422000.0
EXS,4.449999999999999,856069000.0
FABG,0.64,3644000000.0
FAG,1.28,7746900000.0
FASTAT,-3.89,272599000.0
FERRO,-5.369771,113256000.0
FG,0.1799999999999999,5054800000.0
FING-B,-0.056154,178300000.0
FIRE,9.17,501362000.0
FIRST-B,-0.465,28090000.0
FLAT-B,2.0940890000000003,4793000.0
FLERIE,-3.32,0.0
FLEXM,-0.046,75309214.0
FLEXQ,-2.1,122118000.0
FLOWS,-0.0669999999999999,45189000.0
FLUI,-6.221568,1762000.0
FLUO,-2.27,0.0
FMM-B,2.73,1911300000.0
FNM,-21.3,4754000000.0
FNMC-SDB,-0.05,0.0
FNOVA-B,0.8,371500000.0
FOI-B,0.4309999999999999,674700000.0
FPAR-A,1.76,2272400000.0
FPAR-D,1.76,2272400000.0
FPIP,0.37,542724000.0
FRACTL,1.4,731500000.0
FRAG,-17.34,198519000.0
FRAM-B,-1.4,5508000.0
FREEM,-0.8172,38800000.0
FREJA,-0.76,46187000.0
FSPORT,-0.112883,2878000.0
G2M,-0.44,121351000.0
G5EN,9.84,1041160000.0
GABA,-0.065053,0.0
GAPW-B,-1.313768,82831000.0
