,Total_Revenue_AvgGrowth,Total_Revenue_year_2021,Total_Revenue_year_2022,Total_Revenue_year_2023,Total_Revenue_year_2024,Basic_EPS_AvgGrowth,Basic_EPS_year_2021,Basic_EPS_year_2022,Basic_EPS_year_2023,Basic_EPS_year_2024,Total_Revenue_year_2025,Basic_EPS_year_2025,Total_Revenue_year_2020,Basic_EPS_year_2020,Total_Revenue_AvgGrowth_Rank,Basic_EPS_AvgGrowth_Rank
IPCO,0.1554462991810319,712833000.0,1241814000.0,960203000.0,913182000.0,0.21410930883429483,0.94,2.3,1.31,0.82,,,,,54.91071428571429,67.47503566333809
ATRLJ-B,0.049855346196846055,3084000000.0,2806000000.0,3233000000.0,3516000000.0,0.27156163822906615,5.93,6.794,-1.512,1.348,,,,,26.785714285714285,69.90014265335235
BALD-B,0.129342434096787,8956000000.0,10521000000.0,11944000000.0,12876000000.0,-0.2039787636097811,16.54,9.09,-5.85,2.82,,,,,47.470238095238095,32.382310984308134
CAST,0.16713969688070499,6353000000.0,8928000000.0,9806000000.0,9784000000.0,-2.15694726278735,35.122271,4.44,-25.68,4.79,,,,,58.333333333333336,8.559201141226819
CATE,0.16570695919939127,1387000000.0,1544000000.0,1808000000.0,2193000000.0,-0.3022910083491173,66.63,44.68,19.74,19.36,,,,,57.886904761904766,27.674750356633382
CORE-A,0.11929367637786122,2912000000.0,4491000000.0,4244000000.0,3695000000.0,-1.03043433303089,5.52,-2.25,-7.88,-1.43,,,,,44.27083333333333,14.407988587731813
CORE-B,0.11929367637786122,2912000000.0,4491000000.0,4244000000.0,3695000000.0,-1.03043433303089,5.52,-2.25,-7.88,-1.43,,,,,44.27083333333333,14.407988587731813
CORE-D,0.11929367637786122,2912000000.0,4491000000.0,4244000000.0,3695000000.0,-1.03043433303089,5.52,-2.25,-7.88,-1.43,,,,,44.27083333333333,14.407988587731813
CORE-PREF,0.11929367637786122,2912000000.0,4491000000.0,4244000000.0,3695000000.0,-1.0,5.52,0.0,0.0,0.0,,,,,44.27083333333333,14.835948644793154
FABG,0.08091849739619807,2951000000.0,3327000000.0,3930000000.0,3671000000.0,-0.9776196121253161,16.73,7.49,-17.54,-0.68,,,,,34.82142857142857,15.263908701854492
FPAR-A,0.07338193536169645,1856300000.0,1997500000.0,2208700000.0,2293400000.0,-291.8801949404762,17.92,0.01,-8.75,3.14,,,,,31.919642857142854,0.4992867332382311
FPAR-D,0.07338193536169645,1856300000.0,1997500000.0,2208700000.0,2293400000.0,-291.8801949404762,17.92,0.01,-8.75,3.14,,,,,31.919642857142854,0.4992867332382311
HEM,0.24640963206951938,728100000.0,889200000.0,1004700000.0,1394600000.0,0.5061423188414074,1.55,2.93,3.47,5.01,,,,,71.27976190476191,82.02567760342369
HUFV-A,0.08524276017883908,2487900000.0,2745800000.0,2961600000.0,3179200000.0,-1.078745791520892,14.61,3.57,-9.53,1.8,,,,,36.75595238095239,13.69472182596291
NP3,0.17331622698772672,1238000000.0,1551000000.0,1797000000.0,1992000000.0,1.7677209249290364,35.82,21.04,-2.43,14.17,,,,,60.639880952380956,91.44079885877318
NP3-PREF,0.17331622698772672,1238000000.0,1551000000.0,1797000000.0,1992000000.0,,,,,,,,,,60.639880952380956,50.0
NYF,0.14754541869092952,2457000000.0,3150000000.0,3553000000.0,3669000000.0,-0.2758893382803971,16.52,8.62,-3.67,0.28,,,,,53.57142857142857,29.101283880171184
PNDX-B,0.3269086253874474,3273000000.0,5654000000.0,6849000000.0,7136000000.0,2.8712611187843833,3.32,22.94,-3.18,9.04,,,,,78.57142857142857,94.72182596291013
SAGA-A,0.1748366457536061,3123000000.0,3727000000.0,4318000000.0,5063000000.0,5.725537709504404,30.09,7.76,-0.82,14.78,,,,,61.904761904761905,96.86162624821684
SAGA-B,0.1748366457536061,3123000000.0,3727000000.0,4318000000.0,5063000000.0,5.725537709504404,30.09,7.76,-0.82,14.78,,,,,61.904761904761905,96.86162624821684
SAGA-D,0.1748366457536061,3123000000.0,3727000000.0,4318000000.0,5063000000.0,5.725537709504404,30.09,7.76,-0.82,14.78,,,,,61.904761904761905,96.86162624821684
WALL-B,0.12037588517826014,2324000000.0,2490000000.0,3336000000.0,3169000000.0,0.1795440398381576,7.2,1.7,-0.7,1.2,,,,,45.23809523809524,63.195435092724686
WIHL,0.10957579269459321,3061000000.0,3335000000.0,3881000000.0,4174000000.0,20.445921828253205,10.89,7.44,-0.09,5.55,,,,,41.81547619047619,99.57203994293866
BURE,0.06465692496003496,201000000.0,227000000.0,220000000.0,241000000.0,-0.2439073465226762,85.67,-124.66,64.0,77.44,,,,,29.464285714285715,30.385164051355208
EQT,,,,,,,,,,,,,,,50.0,50.0
INDU-A,0.2939863476258715,26687000000.0,-13964000000.0,27000000000.0,12735000000.0,0.2893176551480638,61.57,-32.34,62.15,29.3,,,,,76.11607142857143,71.96861626248217
INDU-C,0.2939863476258715,26687000000.0,-13964000000.0,27000000000.0,12735000000.0,0.2893176551480638,61.57,-32.34,62.15,29.3,,,,,76.11607142857143,71.96861626248217
INVE-A,2.1475684520142795,264794000000.0,-27305000000.0,180485000000.0,168909000000.0,0.42197420968327354,74.45,-24.38,41.48,37.0,,,,,95.90773809523809,79.10128388017118
INVE-B,2.1475684520142795,264794000000.0,-27305000000.0,180485000000.0,168909000000.0,0.42197420968327354,74.45,-24.38,41.48,37.0,,,,,95.90773809523809,79.10128388017118
KINV-A,-0.37032073880987326,14796000000.0,-19504000000.0,-4718000000.0,-2599000000.0,-0.370370531374938,53.12,-69.83,-17.22,-9.47,,,,,3.199404761904762,25.46362339514979
KINV-B,-0.37032073880987326,14796000000.0,-19504000000.0,-4718000000.0,-2599000000.0,-0.370370531374938,53.12,-69.83,-17.22,-9.47,,,,,3.199404761904762,25.46362339514979
LATO-B,0.12031248403177734,18567000000.0,22611000000.0,25550000000.0,25886000000.0,0.1377617832091502,6.85,6.51,9.22,9.65,,,,,45.089285714285715,58.77318116975749
LUND-B,0.06605378855449061,26200000000.0,31414000000.0,30640000000.0,31369000000.0,0.9322904897198949,45.84,6.1,29.25,25.41,,,,,29.910714285714285,87.58915834522111
SAVE,0.14808432285754003,3523300000.0,3362900000.0,4582100000.0,5165100000.0,0.15598680100463055,7.79,6.35,9.83,10.86,,,,,53.720238095238095,60.05706134094151
ROKO-B,,,,,,,,,,,,,,,50.0,50.0
STOR-B,0.3194007185730147,17496000000.0,34250000000.0,36006000000.0,34182000000.0,-0.3613282753312442,0.6,0.86,0.47,-0.03,,,,,78.125,25.962910128388017
SAMPO-SDB,-0.0038858751693509517,10114000000.0,7698000000.0,8511000000.0,9546000000.0,-0.20794011599728857,0.926,0.794,0.524,0.45,,,,,15.476190476190476,31.81169757489301
ALIF-B,0.08823647941413966,7993000000.0,9084000000.0,9685000000.0,10286000000.0,-0.20961045587911262,6.03,3.96,1.56,2.06,,,,,37.351190476190474,31.669044222539227
ALVO-SDB,,,,,,,,,,,,,,,50.0,50.0
ASKER,,,,,,,,,,,,,,,50.0,50.0
AZN,0.13286191496978383,37417000000.0,44351000000.0,45811000000.0,54073000000.0,8.831204140461216,0.08,2.12,3.84,4.54,,,,,49.25595238095239,98.71611982881598
BIOA-B,3.326385898036568,23146000.0,228291000.0,615995000.0,257352000.0,6.711726998491705,-1.36,-0.13,2.6,-2.0,,,,,97.61904761904762,97.71754636233952
BONEX,0.6208840006913355,212885000.0,328818000.0,591077000.0,898727000.0,1.435557685273647,-1.34,-1.06,3.77,2.04,,,,,87.94642857142857,90.72753209700429
CAMX,0.49180401732886314,600570000.0,956340000.0,1716850000.0,1867581000.0,2.7537584990883643,-1.66,1.01,7.78,7.39,,,,,84.375,94.57917261055636
EKTA-B,0.07598553693746123,,14548000000.0,16869000000.0,18119000000.0,-0.20657807395346606,,3.02,2.47,3.41,18016000000.0,0.62,,,32.88690476190476,32.09700427960057
GETI-B,0.08767548494490207,27049000000.0,28291000000.0,31827000000.0,34759000000.0,-0.17130495889351327,10.9,9.15,8.86,6.01,,,,,37.05357142857143,34.52211126961483
MCOV-B,0.15019831497267963,1377400000.0,1510200000.0,1746400000.0,2091800000.0,-0.14733874056564733,0.686,0.079,0.118,0.112,,,,,54.31547619047619,35.805991440798856
SECT-B,0.18707634365503836,,1949140000.0,2350752000.0,2965539000.0,0.21669862406058726,,1.63,1.95,2.22,3243278000.0,2.92,,,64.73214285714286,67.76034236804564
SOBI,0.1879479065487001,15529000000.0,18790000000.0,22123000000.0,26027000000.0,0.1270709064388914,8.672958,8.52,7.47,11.37,,,,,65.17857142857143,57.63195435092725
VIMIAN,0.3106153456653428,173350000.0,281308000.0,331700000.0,374800000.0,0.344245929291886,0.019366,-0.019366,0.02,0.04,,,,,76.93452380952381,75.320970042796
VITR,0.3458120318906768,1681000000.0,3234000000.0,3512000000.0,3609000000.0,-3.220044962215131,2.97,2.91,-28.44,3.79,,,,,79.01785714285714,5.2781740370898715
ABB,0.043701026995732646,28945000000.0,29446000000.0,32235000000.0,32850000000.0,0.0603296080201039,2.27,1.3,2.02,2.13,,,,,25.44642857142857,50.78459343794579
ADDT-B,0.16386514809412925,,14038000000.0,18714000000.0,20019000000.0,0.21153829449283998,,4.0,5.55,6.05,21796000000.0,7.0,,,56.845238095238095,67.04707560627675
AFRY,0.10790658283886441,20104000000.0,23552000000.0,26978000000.0,27160000000.0,0.03635408937195669,9.97,8.6,9.71,10.85,,,,,41.36904761904761,48.93009985734665
ALFA,0.1823254533619831,40911000000.0,52135000000.0,63598000000.0,66953000000.0,0.17689436531023126,11.38,10.89,15.31,17.88,,,,,63.83928571428571,62.76747503566333
ASSA-B,0.16782491686288267,95007000000.0,120793000000.0,140716000000.0,150162000000.0,0.13092013510294132,9.81,11.97,12.27,14.08,,,,,58.63095238095239,58.059914407988586
ATCO-A,0.17324858185423161,110912000000.0,141325000000.0,172664000000.0,176771000000.0,0.1838278535026795,3.72,4.82,5.76,6.11,,,,,60.342261904761905,63.552068473609125
ATCO-B,0.17324858185423161,110912000000.0,141325000000.0,172664000000.0,176771000000.0,0.1838278535026795,3.72,4.82,5.76,6.11,,,,,60.342261904761905,63.552068473609125
BEIJ-B,0.28951561430008593,16905000000.0,22638000000.0,32150000000.0,35662000000.0,0.26538215906360135,2.36241,3.0,4.88,4.39,,,,,74.85119047619048,69.472182596291
BRAV,0.10960085127707463,21876000000.0,26303000000.0,29423000000.0,29653000000.0,-0.024803474932142522,5.66,6.22,6.02,5.17,,,,,41.964285714285715,43.36661911554921
EPRO-B,0.17978572024849312,7862000000.0,11037000000.0,11848000000.0,12583000000.0,0.1924138765786658,1.69,2.39,2.7,2.79,,,,,63.095238095238095,65.04992867332382
ENGCON-B,0.05019626429208357,1488000000.0,1938000000.0,1898000000.0,1649000000.0,-0.1720545720915688,2.516248,2.01,1.81,1.42,,,,,27.083333333333332,34.37945791726106
EPI-A,0.17393570532038463,39645000000.0,49694000000.0,60343000000.0,63604000000.0,0.0792864126006379,5.85,6.96,7.82,7.23,,,,,61.235119047619044,52.99572039942939
EPI-B,0.17393570532038463,39645000000.0,49694000000.0,60343000000.0,63604000000.0,0.0792864126006379,5.85,6.96,7.82,7.23,,,,,61.235119047619044,52.99572039942939
INDT,0.14825461081238564,21715000000.0,27016000000.0,31835000000.0,32544000000.0,0.10209078560804419,5.76,7.36,7.86,7.55,,,,,53.86904761904761,54.63623395149786
LIFCO-B,0.14547537265741844,17480000000.0,21552000000.0,24454000000.0,26137000000.0,0.11663457428308917,5.26,6.13,7.21,7.27,,,,,53.422619047619044,55.777460770328105
LIAB,0.1193806734439342,9648000000.0,12366000000.0,13114000000.0,13323000000.0,0.017786685107973432,7.02,12.73,11.07,4.1,,,,,44.79166666666667,47.50356633380884
LOOMIS,0.15931892399821151,19723000000.0,25315000000.0,28707000000.0,30442000000.0,0.18830149328566956,14.74,21.93,21.0,23.51,,,,,56.398809523809526,64.62196861626248
MTRS,0.2880022628995182,7348000000.0,10386000000.0,13930000000.0,15453000000.0,0.2411362464824447,2.81,3.18,4.3,5.33,,,,,74.70238095238095,68.47360912981455
NCC-A,0.049091033842953956,53414000000.0,54198000000.0,56932000000.0,61609000000.0,0.09922898936858669,14.02,10.29,16.11,16.08,,,,,26.413690476190478,54.279600570613404
NCC-B,0.049091033842953956,53414000000.0,54198000000.0,56932000000.0,61609000000.0,0.09922898936858669,14.02,10.29,16.11,16.08,,,,,26.413690476190478,54.279600570613404
NIBE-B,0.11081693447462204,30832000000.0,40071000000.0,46649000000.0,40521000000.0,-0.11632037676341468,1.65,2.16,2.37,0.58,,,,,42.410714285714285,36.947218259629096
NOLA-B,-0.05787459587290648,11610000000.0,10774000000.0,9546000000.0,9664000000.0,-0.08777113034359414,4.32,2.59,1.61,2.44,,,,,11.011904761904761,38.23109843081313
OEM-B,0.11980100665552292,3773800000.0,4731100000.0,5144800000.0,5238900000.0,0.10357144643330485,3.3,4.15,4.38,4.37,,,,,44.94047619047619,54.77888730385164
PEAB-B,0.01352604157109233,58923000000.0,61933000000.0,61350000000.0,61283000000.0,0.027965344348554855,8.06,6.27,6.92,8.32,,,,,18.303571428571427,48.35948644793152
SAAB-B,0.17890660633131275,39154000000.0,42006000000.0,51609000000.0,63751000000.0,0.29986953786730397,3.6425,4.1525,6.36,7.81,,,,,62.797619047619044,73.1811697574893
SAND,0.13608528183715493,85700000000.0,112332000000.0,126503000000.0,122878000000.0,-0.020211867349526208,11.53,8.95,12.2,9.76,,,,,50.89285714285714,43.794579172610554
SECU-B,0.1490144663291528,107700000000.0,133237000000.0,157249000000.0,161921000000.0,0.8514383652011528,7.14,9.2,2.24,9.01,,,,,54.01785714285714,87.44650499286733
SKA-B,0.07146782238400838,143865000000.0,163174000000.0,167168000000.0,176481000000.0,-0.026093609244019628,16.64,20.04,12.17,13.51,,,,,31.69642857142857,43.22396576319544
SWEC-A,0.1214555838543964,21792000000.0,24296000000.0,28523000000.0,30676000000.0,0.11675242680144553,4.18,4.61,4.65,5.76,,,,,45.610119047619044,55.99144079885877
SWEC-B,0.1214555838543964,21792000000.0,24296000000.0,28523000000.0,30676000000.0,0.11675242680144553,4.18,4.61,4.65,5.76,,,,,45.610119047619044,55.99144079885877
SYSR,0.090558568906992,,9634500000.0,12057900000.0,12256600000.0,0.1968491739793186,,2.61,5.0,3.1,12301500000.0,3.27,,,38.095238095238095,65.62054208273894
8TRA,0.1640516702856153,30620000000.0,40336000000.0,46874000000.0,47472000000.0,0.9331717572319076,0.91,2.28,4.9,5.61,,,,,56.99404761904761,87.7318116975749
TREL-B,0.13365206912548486,23789000000.0,30095000000.0,34286000000.0,34170000000.0,0.2874371682437917,13.72,19.94,40.24,15.73,,,,,49.702380952380956,71.61198288159771
VOLV-A,0.1307887820588742,372216000000.0,473479000000.0,552252000000.0,526816000000.0,0.17741747556559398,16.12,16.09,24.5,24.78,,,,,48.4375,62.981455064194016
VOLV-B,0.1307887820588742,372216000000.0,473479000000.0,552252000000.0,526816000000.0,0.17741747556559398,16.12,16.09,24.5,24.78,,,,,48.4375,62.981455064194016
ALLEI,0.13495386208650761,13847000000.0,18405000000.0,20669000000.0,19691000000.0,0.022925289182156344,4.803147,5.86,6.28,4.88,,,,,50.44642857142857,47.93152639087018
BILL,0.21573250785642292,26206000000.0,42590000000.0,41224000000.0,43453000000.0,1.1668305042294722,7.18,20.13,1.95,7.02,,,,,67.85714285714286,89.30099857346647
BOL,0.10125601308406125,68636000000.0,86437000000.0,78554000000.0,89207000000.0,0.188656385716477,31.81,45.37,22.21,36.65,,,,,40.17857142857143,64.76462196861627
GRNG,0.1047128084119494,18130000000.0,24492000000.0,22519000000.0,23505000000.0,0.20717391924424108,5.6,6.59,9.5,9.53,,,,,40.922619047619044,66.61911554921541
HPOL-B,0.10263757397668155,16005000000.0,22243000000.0,22046000000.0,20437000000.0,-0.01695209170317602,6.85,7.21,7.33,6.45,,,,,40.625,43.93723252496434
HOLM-A,0.05991589145484929,19479000000.0,23952000000.0,22795000000.0,22759000000.0,0.1261265577471111,18.5,36.3,23.0,18.0,,,,,28.050595238095237,57.41797432239658
