Ticker,Metric,Values
CAST,PB_tal_ttm,0.7048097369813019
CAST,EV_EBITDA_ttm,22.9103054639598
CAST,Rörelseflödesmarginal_ttm,0.4334368530020704
CAST,Kassaflöde_till_Skuld_ttm,0.07059755850812706
CATE,ROE_ttm,0.06001298982463737
CATE,ROIC_ttm,0.045670144506432725
CATE,Soliditet_ttm,0.5173495217401044
CATE,Skuldsättningsgrad_ttm,0.736263260445984
CATE,Bruttomarginal_ttm,0.8317757009345794
CATE,Rörelsemarginal_ttm,0.8118650954896384
CATE,Vinstmarginal_ttm,0.5631856968711906
CATE,PE_tal_ttm,19.53448275862069
CATE,PB_tal_ttm,1.1844640536912752
CATE,EV_EBITDA_ttm,19.37101203524229
CATE,Rörelseflödesmarginal_ttm,0.5245835026412028
CATE,Kassaflöde_till_Skuld_ttm,0.07592331216184427
CORE-A,ROE_ttm,-0.08170064644455495
CORE-A,ROIC_ttm,0.029451556039352327
CORE-A,Soliditet_ttm,0.351468969012706
CORE-A,Skuldsättningsgrad_ttm,1.4892093485827946
CORE-A,Bruttomarginal_ttm,0.6393897364771152
CORE-A,Rörelsemarginal_ttm,0.5986130374479889
CORE-A,Vinstmarginal_ttm,-0.45575589459084603
CORE-A,PE_tal_ttm,-2.8913043478260874
CORE-A,PB_tal_ttm,0.02386471049229239
CORE-A,EV_EBITDA_ttm,16.010669163363684
CORE-A,Rörelseflödesmarginal_ttm,0.2665742024965326
CORE-A,Kassaflöde_till_Skuld_ttm,0.03208895418725791
CORE-B,ROE_ttm,-0.08170064644455495
CORE-B,ROIC_ttm,0.029451556039352327
CORE-B,Soliditet_ttm,0.351468969012706
CORE-B,Skuldsättningsgrad_ttm,1.4892093485827946
CORE-B,Bruttomarginal_ttm,0.6393897364771152
CORE-B,Rörelsemarginal_ttm,0.5986130374479889
CORE-B,Vinstmarginal_ttm,-0.45575589459084603
CORE-B,PE_tal_ttm,-2.561956521739131
CORE-B,PB_tal_ttm,0.2824063288775734
CORE-B,EV_EBITDA_ttm,18.79549612947402
CORE-B,Rörelseflödesmarginal_ttm,0.2665742024965326
CORE-B,Kassaflöde_till_Skuld_ttm,0.03208895418725791
CORE-D,ROE_ttm,-0.08170064644455495
CORE-D,ROIC_ttm,0.029451556039352327
CORE-D,Soliditet_ttm,0.351468969012706
CORE-D,Skuldsättningsgrad_ttm,1.4892093485827946
CORE-D,Bruttomarginal_ttm,0.6393897364771152
CORE-D,Rörelsemarginal_ttm,0.5986130374479889
CORE-D,Vinstmarginal_ttm,-0.45575589459084603
CORE-D,PE_tal_ttm,-133.42391304347828
CORE-D,PB_tal_ttm,0.09160543784186972
CORE-D,EV_EBITDA_ttm,16.740324239421533
CORE-D,Rörelseflödesmarginal_ttm,0.2665742024965326
CORE-D,Kassaflöde_till_Skuld_ttm,0.03208895418725791
CORE-PREF,ROE_ttm,-0.08170064644455495
