,Category,Values,Ticker
8,Kassaflöde_latest_catAvg,36.9529499626587,NDA-SE
9,Kassaflöde_trend_catAvg,15.335907458607428,NDA-SE
10,Kvalitet_latest_catRank,69.45169712793734,NDA-SE
11,Kvalitet_trend_catRank,67.49347258485639,NDA-SE
12,Finansiell_Hälsa_latest_catRank,0.7832898172323759,NDA-SE
13,Finansiell_Hälsa_trend_catRank,24.673629242819846,NDA-SE
14,Lönsamhet_latest_catRank,74.80417754569191,NDA-SE
15,Lönsamhet_trend_catRank,64.75195822454309,NDA-SE
16,Värdering_latest_catRank,7.963446475195822,NDA-SE
17,Värdering_trend_catRank,62.14099216710183,NDA-SE
18,Kassaflöde_latest_catRank,32.375979112271544,NDA-SE
19,Kassaflöde_trend_catRank,6.527415143603134,NDA-SE
0,Kvalitet_latest_catAvg,64.56151832460733,SEB-A
1,Kvalitet_trend_catAvg,60.74705111402359,SEB-A
2,Finansiell_Hälsa_latest_catAvg,4.03808397100282,SEB-A
3,Finansiell_Hälsa_trend_catAvg,44.307656059021895,SEB-A
4,Lönsamhet_latest_catAvg,64.51687471104947,SEB-A
5,Lönsamhet_trend_catAvg,53.81944444444445,SEB-A
6,Värdering_latest_catAvg,50.92662503944998,SEB-A
7,Värdering_trend_catAvg,56.36992137004156,SEB-A
8,Kassaflöde_latest_catAvg,20.96764885599837,SEB-A
9,Kassaflöde_trend_catAvg,14.7411233537175,SEB-A
10,Kvalitet_latest_catRank,69.12532637075718,SEB-A
11,Kvalitet_trend_catRank,65.46997389033943,SEB-A
12,Finansiell_Hälsa_latest_catRank,1.8929503916449086,SEB-A
13,Finansiell_Hälsa_trend_catRank,41.31853785900783,SEB-A
14,Lönsamhet_latest_catRank,75.26109660574413,SEB-A
15,Lönsamhet_trend_catRank,58.942558746736296,SEB-A
16,Värdering_latest_catRank,47.65013054830287,SEB-A
17,Värdering_trend_catRank,66.84073107049609,SEB-A
18,Kassaflöde_latest_catRank,13.511749347258487,SEB-A
19,Kassaflöde_trend_catRank,5.939947780678851,SEB-A
0,Kvalitet_latest_catAvg,64.56151832460733,SEB-C
1,Kvalitet_trend_catAvg,60.74705111402359,SEB-C
2,Finansiell_Hälsa_latest_catAvg,4.03808397100282,SEB-C
3,Finansiell_Hälsa_trend_catAvg,44.307656059021895,SEB-C
4,Lönsamhet_latest_catAvg,64.51687471104947,SEB-C
5,Lönsamhet_trend_catAvg,53.81944444444445,SEB-C
6,Värdering_latest_catAvg,64.48043880359704,SEB-C
7,Värdering_trend_catAvg,50.02564020383962,SEB-C
8,Kassaflöde_latest_catAvg,20.96764885599837,SEB-C
9,Kassaflöde_trend_catAvg,14.7411233537175,SEB-C
10,Kvalitet_latest_catRank,69.12532637075718,SEB-C
11,Kvalitet_trend_catRank,65.46997389033943,SEB-C
12,Finansiell_Hälsa_latest_catRank,1.8929503916449086,SEB-C
13,Finansiell_Hälsa_trend_catRank,41.31853785900783,SEB-C
14,Lönsamhet_latest_catRank,75.26109660574413,SEB-C
15,Lönsamhet_trend_catRank,58.942558746736296,SEB-C
16,Värdering_latest_catRank,76.37075718015666,SEB-C
17,Värdering_trend_catRank,54.699738903394255,SEB-C
18,Kassaflöde_latest_catRank,13.511749347258487,SEB-C
19,Kassaflöde_trend_catRank,5.939947780678851,SEB-C
0,Kvalitet_latest_catAvg,64.92146596858639,SWED-A
1,Kvalitet_trend_catAvg,61.435124508519,SWED-A
2,Finansiell_Hälsa_latest_catAvg,4.212394281111559,SWED-A
3,Finansiell_Hälsa_trend_catAvg,78.46245600600821,SWED-A
4,Lönsamhet_latest_catAvg,64.86361534905224,SWED-A
5,Lönsamhet_trend_catAvg,57.4537037037037,SWED-A
6,Värdering_latest_catAvg,51.94493382391128,SWED-A
7,Värdering_trend_catAvg,59.36428319605142,SWED-A
8,Kassaflöde_latest_catAvg,68.92796523864484,SWED-A
9,Kassaflöde_trend_catAvg,22.18889176416109,SWED-A
10,Kvalitet_latest_catRank,69.84334203655352,SWED-A
11,Kvalitet_trend_catRank,66.71018276762402,SWED-A
12,Finansiell_Hälsa_latest_catRank,2.088772845953003,SWED-A
13,Finansiell_Hälsa_trend_catRank,86.55352480417756,SWED-A
14,Lönsamhet_latest_catRank,76.2402088772846,SWED-A
15,Lönsamhet_trend_catRank,65.66579634464752,SWED-A
16,Värdering_latest_catRank,49.73890339425587,SWED-A
17,Värdering_trend_catRank,71.27937336814621,SWED-A
18,Kassaflöde_latest_catRank,77.02349869451697,SWED-A
19,Kassaflöde_trend_catRank,12.27154046997389,SWED-A
0,Kvalitet_latest_catAvg,85.34878638154082,AAK
1,Kvalitet_trend_catAvg,81.14053098389638,AAK
2,Finansiell_Hälsa_latest_catAvg,64.13654517384884,AAK
