Ticker,market_cap
VISC,1831152128.0
ACAD,9584335872.0
ALLIGO-B,6040599040.0
BHG,4749689344.0
BONAV-A,3600863232.0
BONAV-B,3647205120.0
BOOZT,6184765952.0
BMAX,3259552256.0
CLAS-B,22373459968.0
G2M,942955776.0
KABE-B,2034000000.0
MEKO,4027792384.0
MTG-A,13067740160.0
MTG-B,13184940032.0
NOBI,3312561408.0
PRFO,722000000.0
RVRC,5448770048.0
RUSTA,9138860032.0
SHOT,19092547584.0
SKIS-B,12367741952.0
SF,3092271872.0
SYNSAM,8496793088.0
VBG-B,8091310080.0
VESTUM,3149283328.0
CINT,2085486208.0
DUST,2427076352.0
DYVOX,11315207168.0
ENEA,1472610048.0
IAR-B,2265047040.0
KNOW,2839886336.0
LIME,4250713856.0
NOTE,5634056192.0
PRIC-B,851336704.0
PACT,2451381504.0
HTRO,4039743488.0
NETI-B,1410858496.0
VPLAY-A,5804643328.0
VPLAY-B,5914970624.0
MSON-A,1156207616.0
MSON-B,1188243584.0
MAHA-A,1700116096.0
ACRI-A,819403264.0
ACRI-B,802999168.0
ANNE-B,1525547264.0
FASTAT,62014692.0
K2A-B,449075488.0
K2A-PREF,93695896.0
HAV-B,182194400.0
MANG,922848384.0
NAXS,498491328.0
QLIRO,537253568.0
SEAF,273361120.0
STWK,132531864.0
SFAB,1352091648.0
ACTI,202977184.0
ATORX,155225376.0
ACE,417222848.0
BOUL,189505552.0
CRAD-B,1082904576.0
CANTA,692383488.0
CARA,1898525568.0
DEDI,448009760.0
EGTX,1871630592.0
EPIS-B,58589580.0
EQL,1940095232.0
IMMNOV,158446928.0
IBT-B,898543680.0
IRLAB-A,242073344.0
ISOFOL,220669184.0
KDEV,245008640.0
MVIR,160175632.0
IMMU,348966656.0
MOB,411255488.0
NICA,107369336.0
ONCO,1487297920.0
ORX,1335352192.0
QLINEA,180223232.0
SANION,1595628288.0
SEZI,979449728.0
SYNACT,1221262592.0
VICO,2998312960.0
VIVE,122942928.0
XBRANE,672764608.0
XSPRAY,2487843328.0
ARPL,1246212096.0
BALCO,541008704.0
BERNER-B,1411135488.0
BONG,136860880.0
CNCJO-B,580211008.0
CTEK,885899584.0
ELTEL,1413765888.0
FNM,672125056.0
HAKI-A,584254720.0
HAKI-B,570796288.0
IS,152099328.0
INFREA,386788288.0
INISS-B,915078144.0
KARNEL-B,3080001792.0
MEAB-B,268000000.0
NETEL,279913504.0
NGS,78904976.0
PION-B,295798976.0
RAIL,670651840.0
SINT,774654016.0
SVIK,1956029440.0
SVED-B,2823787008.0
WISE,108645640.0
WBGR-B,478116992.0
BEGR,505371232.0
DURC-B,641550016.0
NORB-B,672544960.0
PROF-B,898951168.0
ATIC,618955328.0
BORG,1546625664.0
BULTEN,1169031168.0
CTM,149182064.0
ELON,273048032.0
EG7,1396391680.0
ENRO,286834784.0
G5EN,747698560.0
LAMM-B,338242176.0
MOMENT,164553216.0
NELLY,2312412160.0
NIL-B,590622976.0
PIERCE,940583040.0
STAR-A,276951072.0
STAR-B,276951072.0
ANOT,56992152.0
B3,434625632.0
FING-B,136473296.0
FPIP,1508375680.0
GARO,909000000.0
MSAB-B,1023149632.0
SAFETY-B,368326400.0
NTEK-B,860719936.0
PREC,235233152.0
PREV-B,864598912.0
SGG,455449152.0
SIVE,977801216.0
SLEEP,564730176.0
SOF-B,1236870912.0
TOBII,828176704.0
TRAD,452134880.0
DORO,972846016.0
OVZON,4628516352.0
TRANS,511118784.0
CHEF,897107264.0
VIVA,3146079232.0
CLIME-B,160268864.0
HEXI,78217576.0
MIDS,914241536.0
AGROUP,1998876416.0
STUDBO,1259252096.0
NAVIGO-STAM,9482190848.0
NAVIGO-PREF,9709009920.0
VER,5046830592.0
ACARIX,353845856.0
ADDV-A,650205952.0
ADDV-B,678872384.0
ALZCUR,318313056.0
BIOVIC-B,180780928.0
DVYSR,2349506560.0
NANOFS,1129383680.0
