Metric,Date,Value,Ticker,Segment,CAGR_Dimension
Total Revenue,2022-12-31,29875000000.0,RATO-B,income_statement,Total Revenue
Total Revenue,2023-12-31,33747000000.0,RATO-B,income_statement,Total Revenue
Total Revenue,2024-12-31,32124000000.0,RATO-B,income_statement,Total Revenue
Basic EPS,2021-12-31,8.17,RATO-B,income_statement,Basic EPS
Basic EPS,2022-12-31,1.69,RATO-B,income_statement,Basic EPS
Basic EPS,2023-12-31,3.73,RATO-B,income_statement,Basic EPS
Basic EPS,2024-12-31,0.76,RATO-B,income_statement,Basic EPS
Total Revenue,2021-12-31,3069146000.0,RESURS,income_statement,Total Revenue
Total Revenue,2022-12-31,3200523000.0,RESURS,income_statement,Total Revenue
Total Revenue,2023-12-31,3488935000.0,RESURS,income_statement,Total Revenue
Total Revenue,2024-12-31,3562547000.0,RESURS,income_statement,Total Revenue
Basic EPS,2021-12-31,7.5,RESURS,income_statement,Basic EPS
Basic EPS,2022-12-31,3.89,RESURS,income_statement,Basic EPS
Basic EPS,2023-12-31,1.14,RESURS,income_statement,Basic EPS
Basic EPS,2024-12-31,0.64,RESURS,income_statement,Basic EPS
Total Revenue,2021-08-31,3506776000.0,SVOL-A,income_statement,Total Revenue
Total Revenue,2022-08-31,-1161486000.0,SVOL-A,income_statement,Total Revenue
Total Revenue,2023-08-31,-493479000.0,SVOL-A,income_statement,Total Revenue
Total Revenue,2024-08-31,894461000.0,SVOL-A,income_statement,Total Revenue
Basic EPS,2021-08-31,34.0,SVOL-A,income_statement,Basic EPS
Basic EPS,2022-08-31,-11.6,SVOL-A,income_statement,Basic EPS
Basic EPS,2023-08-31,-5.1,SVOL-A,income_statement,Basic EPS
Basic EPS,2024-08-31,8.6,SVOL-A,income_statement,Basic EPS
Total Revenue,2021-08-31,3506776000.0,SVOL-B,income_statement,Total Revenue
Total Revenue,2022-08-31,-1161486000.0,SVOL-B,income_statement,Total Revenue
Total Revenue,2023-08-31,-493479000.0,SVOL-B,income_statement,Total Revenue
Total Revenue,2024-08-31,894461000.0,SVOL-B,income_statement,Total Revenue
Basic EPS,2021-08-31,34.0,SVOL-B,income_statement,Basic EPS
Basic EPS,2022-08-31,-11.6,SVOL-B,income_statement,Basic EPS
Basic EPS,2023-08-31,-5.1,SVOL-B,income_statement,Basic EPS
Basic EPS,2024-08-31,8.6,SVOL-B,income_statement,Basic EPS
Total Revenue,2021-12-31,1353700000.0,TRAC-B,income_statement,Total Revenue
Total Revenue,2022-12-31,-362100000.0,TRAC-B,income_statement,Total Revenue
Total Revenue,2023-12-31,284400000.0,TRAC-B,income_statement,Total Revenue
Total Revenue,2024-12-31,490400000.0,TRAC-B,income_statement,Total Revenue
Basic EPS,2021-12-31,90.85,TRAC-B,income_statement,Basic EPS
Basic EPS,2022-12-31,-25.54,TRAC-B,income_statement,Basic EPS
Basic EPS,2023-12-31,18.24,TRAC-B,income_statement,Basic EPS
Basic EPS,2024-12-31,32.26,TRAC-B,income_statement,Basic EPS
Total Revenue,2021-12-31,-33640000.0,VEFAB,income_statement,Total Revenue
Total Revenue,2022-12-31,431000.0,VEFAB,income_statement,Total Revenue
Total Revenue,2023-12-31,2190000.0,VEFAB,income_statement,Total Revenue
Total Revenue,2024-12-31,-290000.0,VEFAB,income_statement,Total Revenue
Basic EPS,2021-12-31,0.3,VEFAB,income_statement,Basic EPS
Basic EPS,2022-12-31,-0.36,VEFAB,income_statement,Basic EPS
Basic EPS,2023-12-31,0.06,VEFAB,income_statement,Basic EPS
Basic EPS,2024-12-31,-0.09,VEFAB,income_statement,Basic EPS
Total Revenue,2021-12-31,77738000.0,VNV,income_statement,Total Revenue
Total Revenue,2022-12-31,-771717000.0,VNV,income_statement,Total Revenue
Total Revenue,2023-12-31,35824000.0,VNV,income_statement,Total Revenue
Total Revenue,2024-12-31,-77784000.0,VNV,income_statement,Total Revenue
Basic EPS,2021-12-31,0.605346,VNV,income_statement,Basic EPS
Basic EPS,2022-12-31,-6.8,VNV,income_statement,Basic EPS
Basic EPS,2023-12-31,0.18,VNV,income_statement,Basic EPS
Basic EPS,2024-12-31,-0.65,VNV,income_statement,Basic EPS
Total Revenue,2021-12-31,1269144000.0,ORES,income_statement,Total Revenue
Total Revenue,2022-12-31,-1672994000.0,ORES,income_statement,Total Revenue
Total Revenue,2023-12-31,247936000.0,ORES,income_statement,Total Revenue
Total Revenue,2024-12-31,422013000.0,ORES,income_statement,Total Revenue
Basic EPS,2021-12-31,27.78,ORES,income_statement,Basic EPS
Basic EPS,2022-12-31,-36.88,ORES,income_statement,Basic EPS
Basic EPS,2023-12-31,5.42,ORES,income_statement,Basic EPS
Basic EPS,2024-12-31,9.32,ORES,income_statement,Basic EPS
Total Revenue,2021-12-31,11478000000.0,AMBEA,income_statement,Total Revenue
Total Revenue,2022-12-31,12635000000.0,AMBEA,income_statement,Total Revenue
Total Revenue,2023-12-31,13312000000.0,AMBEA,income_statement,Total Revenue
Total Revenue,2024-12-31,14195000000.0,AMBEA,income_statement,Total Revenue
Basic EPS,2021-12-31,2.51,AMBEA,income_statement,Basic EPS
Basic EPS,2022-12-31,3.89,AMBEA,income_statement,Basic EPS
Basic EPS,2023-12-31,5.07,AMBEA,income_statement,Basic EPS
Basic EPS,2024-12-31,0.0,AMBEA,income_statement,Basic EPS
Total Revenue,2021-12-31,9070000000.0,ARJO-B,income_statement,Total Revenue
Total Revenue,2022-12-31,9979000000.0,ARJO-B,income_statement,Total Revenue
Total Revenue,2023-12-31,10980000000.0,ARJO-B,income_statement,Total Revenue
Total Revenue,2024-12-31,11292000000.0,ARJO-B,income_statement,Total Revenue
Basic EPS,2021-12-31,2.72,ARJO-B,income_statement,Basic EPS
Basic EPS,2022-12-31,1.65,ARJO-B,income_statement,Basic EPS
Basic EPS,2023-12-31,1.76,ARJO-B,income_statement,Basic EPS
Basic EPS,2024-12-31,1.83,ARJO-B,income_statement,Basic EPS
Total Revenue,2021-12-31,12867000000.0,ATT,income_statement,Total Revenue
Total Revenue,2022-12-31,14496000000.0,ATT,income_statement,Total Revenue
Total Revenue,2023-12-31,17287000000.0,ATT,income_statement,Total Revenue
Total Revenue,2024-12-31,18980000000.0,ATT,income_statement,Total Revenue
Basic EPS,2021-12-31,0.35,ATT,income_statement,Basic EPS
Basic EPS,2022-12-31,-0.28,ATT,income_statement,Basic EPS
Basic EPS,2023-12-31,2.33,ATT,income_statement,Basic EPS
Basic EPS,2024-12-31,2.86,ATT,income_statement,Basic EPS
Total Revenue,2021-12-31,169486000.0,BACTI-B,income_statement,Total Revenue
Total Revenue,2022-12-31,226721000.0,BACTI-B,income_statement,Total Revenue
Total Revenue,2023-12-31,203990000.0,BACTI-B,income_statement,Total Revenue
Total Revenue,2024-12-31,243680000.0,BACTI-B,income_statement,Total Revenue
Basic EPS,2021-12-31,-1.68,BACTI-B,income_statement,Basic EPS
Basic EPS,2022-12-31,-1.51,BACTI-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-3.95,BACTI-B,income_statement,Basic EPS
Basic EPS,2024-12-31,-0.85,BACTI-B,income_statement,Basic EPS
Total Revenue,2021-12-31,1257300000.0,BICO,income_statement,Total Revenue
Total Revenue,2022-12-31,2120800000.0,BICO,income_statement,Total Revenue
Total Revenue,2023-12-31,2010400000.0,BICO,income_statement,Total Revenue
Total Revenue,2024-12-31,1946300000.0,BICO,income_statement,Total Revenue
Basic EPS,2021-12-31,-3.97,BICO,income_statement,Basic EPS
Basic EPS,2022-12-31,-12.94,BICO,income_statement,Basic EPS
Basic EPS,2023-12-31,-16.62,BICO,income_statement,Basic EPS
Basic EPS,2024-12-31,-0.08,BICO,income_statement,Basic EPS
Total Revenue,2021-12-31,785111000.0,BIOG-B,income_statement,Total Revenue
Total Revenue,2022-12-31,1103958000.0,BIOG-B,income_statement,Total Revenue
Total Revenue,2023-12-31,1296505000.0,BIOG-B,income_statement,Total Revenue
Total Revenue,2024-12-31,1422719000.0,BIOG-B,income_statement,Total Revenue
Basic EPS,2021-12-31,1.94,BIOG-B,income_statement,Basic EPS
Basic EPS,2022-12-31,3.7,BIOG-B,income_statement,Basic EPS
Basic EPS,2023-12-31,3.62,BIOG-B,income_statement,Basic EPS
Basic EPS,2024-12-31,3.48,BIOG-B,income_statement,Basic EPS
Total Revenue,2021-12-31,19384000.0,BINV,income_statement,Total Revenue
Total Revenue,2022-12-31,326126000.0,BINV,income_statement,Total Revenue
Total Revenue,2023-12-31,71461000.0,BINV,income_statement,Total Revenue
Total Revenue,2024-12-31,44686000.0,BINV,income_statement,Total Revenue
Basic EPS,2021-12-31,-5.14,BINV,income_statement,Basic EPS
Basic EPS,2022-12-31,-0.69,BINV,income_statement,Basic EPS
Basic EPS,2023-12-31,-5.02,BINV,income_statement,Basic EPS
Basic EPS,2024-12-31,-6.53,BINV,income_statement,Basic EPS
Total Revenue,2021-12-31,565552000.0,CEVI,income_statement,Total Revenue
Total Revenue,2022-12-31,639340000.0,CEVI,income_statement,Total Revenue
Total Revenue,2023-12-31,677292000.0,CEVI,income_statement,Total Revenue
Total Revenue,2024-12-31,723217000.0,CEVI,income_statement,Total Revenue
Basic EPS,2021-12-31,5.25,CEVI,income_statement,Basic EPS
Basic EPS,2022-12-31,4.96,CEVI,income_statement,Basic EPS
Basic EPS,2023-12-31,5.46,CEVI,income_statement,Basic EPS
Basic EPS,2024-12-31,5.9,CEVI,income_statement,Basic EPS
Total Revenue,2021-12-31,0.0,CINPHA,income_statement,Total Revenue
Total Revenue,2022-12-31,10571000.0,CINPHA,income_statement,Total Revenue
Total Revenue,2023-12-31,5959000.0,CINPHA,income_statement,Total Revenue
Total Revenue,2024-12-31,4580000.0,CINPHA,income_statement,Total Revenue
Basic EPS,2021-12-31,-1.763341,CINPHA,income_statement,Basic EPS
Basic EPS,2022-12-31,-5.758823,CINPHA,income_statement,Basic EPS
Basic EPS,2023-12-31,-4.973729,CINPHA,income_statement,Basic EPS
Basic EPS,2024-12-31,-4.54,CINPHA,income_statement,Basic EPS
Total Revenue,2021-12-31,33878000.0,HNSA,income_statement,Total Revenue
Total Revenue,2022-12-31,154525000.0,HNSA,income_statement,Total Revenue
Total Revenue,2023-12-31,134094000.0,HNSA,income_statement,Total Revenue
Total Revenue,2024-12-31,171316000.0,HNSA,income_statement,Total Revenue
Basic EPS,2021-12-31,-12.33,HNSA,income_statement,Basic EPS
Basic EPS,2022-12-31,-13.6,HNSA,income_statement,Basic EPS
Basic EPS,2023-12-31,-15.83,HNSA,income_statement,Basic EPS
Basic EPS,2024-12-31,-12.85,HNSA,income_statement,Basic EPS
Total Revenue,2021-12-31,8186000000.0,HUM,income_statement,Total Revenue
Total Revenue,2022-12-31,9203000000.0,HUM,income_statement,Total Revenue
Total Revenue,2023-12-31,9642000000.0,HUM,income_statement,Total Revenue
Total Revenue,2024-12-31,10296000000.0,HUM,income_statement,Total Revenue
Basic EPS,2021-12-31,5.67,HUM,income_statement,Basic EPS
Basic EPS,2022-12-31,4.37,HUM,income_statement,Basic EPS
Basic EPS,2023-12-31,3.72,HUM,income_statement,Basic EPS
Basic EPS,2024-12-31,2.87,HUM,income_statement,Basic EPS
Total Revenue,2021-12-31,916300000.0,MCAP,income_statement,Total Revenue
Total Revenue,2022-12-31,1111400000.0,MCAP,income_statement,Total Revenue
Total Revenue,2023-12-31,1587400000.0,MCAP,income_statement,Total Revenue
Total Revenue,2024-12-31,1806800000.0,MCAP,income_statement,Total Revenue
Basic EPS,2021-12-31,6.5,MCAP,income_statement,Basic EPS
Basic EPS,2022-12-31,7.9,MCAP,income_statement,Basic EPS
Basic EPS,2023-12-31,11.6,MCAP,income_statement,Basic EPS
Basic EPS,2024-12-31,14.0,MCAP,income_statement,Basic EPS
Total Revenue,2021-12-31,641673000.0,RAY-B,income_statement,Total Revenue
Total Revenue,2022-12-31,843648000.0,RAY-B,income_statement,Total Revenue
Total Revenue,2023-12-31,1022159000.0,RAY-B,income_statement,Total Revenue
Total Revenue,2024-12-31,1192029000.0,RAY-B,income_statement,Total Revenue
Basic EPS,2021-12-31,-1.38,RAY-B,income_statement,Basic EPS
Basic EPS,2022-12-31,0.69,RAY-B,income_statement,Basic EPS
Basic EPS,2023-12-31,2.38,RAY-B,income_statement,Basic EPS
Basic EPS,2024-12-31,0.0,RAY-B,income_statement,Basic EPS
Total Revenue,2021-12-31,159152000.0,SEDANA,income_statement,Total Revenue
Total Revenue,2022-12-31,122865000.0,SEDANA,income_statement,Total Revenue
Total Revenue,2023-12-31,153867000.0,SEDANA,income_statement,Total Revenue
Total Revenue,2024-12-31,178754000.0,SEDANA,income_statement,Total Revenue
Basic EPS,2021-12-31,-0.62,SEDANA,income_statement,Basic EPS
Basic EPS,2022-12-31,-0.74,SEDANA,income_statement,Basic EPS
Basic EPS,2023-12-31,-0.6,SEDANA,income_statement,Basic EPS
Basic EPS,2024-12-31,-0.11,SEDANA,income_statement,Basic EPS
Total Revenue,2021-12-31,258386000.0,XVIVO,income_statement,Total Revenue
Total Revenue,2022-12-31,415292000.0,XVIVO,income_statement,Total Revenue
Total Revenue,2023-12-31,597542000.0,XVIVO,income_statement,Total Revenue
Total Revenue,2024-12-31,822415000.0,XVIVO,income_statement,Total Revenue
Basic EPS,2021-12-31,0.28,XVIVO,income_statement,Basic EPS
Basic EPS,2022-12-31,0.62,XVIVO,income_statement,Basic EPS
Basic EPS,2023-12-31,3.07,XVIVO,income_statement,Basic EPS
Basic EPS,2024-12-31,5.47,XVIVO,income_statement,Basic EPS
Total Revenue,2021-12-31,3728000000.0,ALIG,income_statement,Total Revenue
Total Revenue,2022-12-31,4512000000.0,ALIG,income_statement,Total Revenue
Total Revenue,2023-12-31,7097000000.0,ALIG,income_statement,Total Revenue
Total Revenue,2024-12-31,7099000000.0,ALIG,income_statement,Total Revenue
Basic EPS,2021-12-31,4.240548,ALIG,income_statement,Basic EPS
Basic EPS,2022-12-31,5.26,ALIG,income_statement,Basic EPS
Basic EPS,2023-12-31,5.25,ALIG,income_statement,Basic EPS
Basic EPS,2024-12-31,5.89,ALIG,income_statement,Basic EPS
Total Revenue,2021-12-31,5471000000.0,AQ,income_statement,Total Revenue
Total Revenue,2022-12-31,7053000000.0,AQ,income_statement,Total Revenue
Total Revenue,2023-12-31,8968000000.0,AQ,income_statement,Total Revenue
Total Revenue,2024-12-31,8554000000.0,AQ,income_statement,Total Revenue
Basic EPS,2021-12-31,3.998,AQ,income_statement,Basic EPS
Basic EPS,2022-12-31,4.486,AQ,income_statement,Basic EPS
Basic EPS,2023-12-31,6.91,AQ,income_statement,Basic EPS
Basic EPS,2024-12-31,7.27,AQ,income_statement,Basic EPS
Total Revenue,2022-03-31,4574000000.0,BERG-B,income_statement,Total Revenue
Total Revenue,2023-03-31,4747000000.0,BERG-B,income_statement,Total Revenue
Total Revenue,2024-03-31,4717000000.0,BERG-B,income_statement,Total Revenue
Total Revenue,2025-03-31,4963000000.0,BERG-B,income_statement,Total Revenue
Basic EPS,2022-03-31,7.55,BERG-B,income_statement,Basic EPS
Basic EPS,2023-03-31,7.8,BERG-B,income_statement,Basic EPS
Basic EPS,2024-03-31,7.15,BERG-B,income_statement,Basic EPS
Basic EPS,2025-03-31,-1.95,BERG-B,income_statement,Basic EPS
Total Revenue,2021-12-31,1916762000.0,BTS-B,income_statement,Total Revenue
Total Revenue,2022-12-31,2529634000.0,BTS-B,income_statement,Total Revenue
Total Revenue,2023-12-31,2682892000.0,BTS-B,income_statement,Total Revenue
Total Revenue,2024-12-31,2802054000.0,BTS-B,income_statement,Total Revenue
Basic EPS,2021-12-31,11.11,BTS-B,income_statement,Basic EPS
Basic EPS,2022-12-31,10.24,BTS-B,income_statement,Basic EPS
Basic EPS,2023-12-31,11.08,BTS-B,income_statement,Basic EPS
Basic EPS,2024-12-31,19.95,BTS-B,income_statement,Basic EPS
Total Revenue,2021-12-31,5878000000.0,BUFAB,income_statement,Total Revenue
Total Revenue,2022-12-31,8431000000.0,BUFAB,income_statement,Total Revenue
Total Revenue,2023-12-31,8680000000.0,BUFAB,income_statement,Total Revenue
Total Revenue,2024-12-31,8035000000.0,BUFAB,income_statement,Total Revenue
Basic EPS,2021-12-31,2.514,BUFAB,income_statement,Basic EPS
Basic EPS,2022-12-31,3.246,BUFAB,income_statement,Basic EPS
Basic EPS,2023-12-31,3.029993,BUFAB,income_statement,Basic EPS
Basic EPS,2024-12-31,2.914,BUFAB,income_statement,Basic EPS
Total Revenue,2021-12-31,876342000.0,AJA-B,income_statement,Total Revenue
Total Revenue,2022-12-31,1012704000.0,AJA-B,income_statement,Total Revenue
Total Revenue,2023-12-31,985641000.0,AJA-B,income_statement,Total Revenue
Total Revenue,2024-12-31,14000.0,AJA-B,income_statement,Total Revenue
Basic EPS,2021-12-31,86.18,AJA-B,income_statement,Basic EPS
Basic EPS,2022-12-31,45.03,AJA-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-68.027489,AJA-B,income_statement,Basic EPS
Basic EPS,2024-12-31,83.17,AJA-B,income_statement,Basic EPS
Total Revenue,2021-12-31,115794000.0,CCC,income_statement,Total Revenue
Total Revenue,2022-12-31,147849000.0,CCC,income_statement,Total Revenue
Total Revenue,2023-12-31,180734000.0,CCC,income_statement,Total Revenue
Total Revenue,2024-12-31,174952000.0,CCC,income_statement,Total Revenue
Basic EPS,2021-12-31,-0.394,CCC,income_statement,Basic EPS
Basic EPS,2022-12-31,-0.156,CCC,income_statement,Basic EPS
Basic EPS,2023-12-31,0.002,CCC,income_statement,Basic EPS
Basic EPS,2024-12-31,0.036,CCC,income_statement,Basic EPS
Total Revenue,2021-12-31,10104000000.0,COOR,income_statement,Total Revenue
Total Revenue,2022-12-31,11789000000.0,COOR,income_statement,Total Revenue
Total Revenue,2023-12-31,12443000000.0,COOR,income_statement,Total Revenue
Total Revenue,2024-12-31,12439000000.0,COOR,income_statement,Total Revenue
Basic EPS,2021-12-31,2.78,COOR,income_statement,Basic EPS
Basic EPS,2022-12-31,2.7,COOR,income_statement,Basic EPS
Basic EPS,2023-12-31,1.64,COOR,income_statement,Basic EPS
Basic EPS,2024-12-31,1.33,COOR,income_statement,Basic EPS
Total Revenue,2021-12-31,151300000.0,CTT,income_statement,Total Revenue
Total Revenue,2022-12-31,240600000.0,CTT,income_statement,Total Revenue
Total Revenue,2023-12-31,308900000.0,CTT,income_statement,Total Revenue
Total Revenue,2024-12-31,300100000.0,CTT,income_statement,Total Revenue
Basic EPS,2021-12-31,1.13,CTT,income_statement,Basic EPS
Basic EPS,2022-12-31,5.29,CTT,income_statement,Basic EPS
Basic EPS,2023-12-31,7.62,CTT,income_statement,Basic EPS
Basic EPS,2024-12-31,6.82,CTT,income_statement,Basic EPS
Total Revenue,2021-12-31,11733100000.0,ELAN-B,income_statement,Total Revenue
Total Revenue,2022-12-31,14974500000.0,ELAN-B,income_statement,Total Revenue
Total Revenue,2023-12-31,13867000000.0,ELAN-B,income_statement,Total Revenue
Total Revenue,2024-12-31,14143000000.0,ELAN-B,income_statement,Total Revenue
Basic EPS,2021-12-31,9.12,ELAN-B,income_statement,Basic EPS
Basic EPS,2022-12-31,13.29,ELAN-B,income_statement,Basic EPS
Basic EPS,2023-12-31,7.02,ELAN-B,income_statement,Basic EPS
Basic EPS,2024-12-31,4.99,ELAN-B,income_statement,Basic EPS
Total Revenue,2021-12-31,1618797000.0,EPEN,income_statement,Total Revenue
Total Revenue,2022-12-31,2128386000.0,EPEN,income_statement,Total Revenue
Total Revenue,2023-12-31,2470647000.0,EPEN,income_statement,Total Revenue
Total Revenue,2024-12-31,2258125000.0,EPEN,income_statement,Total Revenue
Basic EPS,2021-12-31,1.24,EPEN,income_statement,Basic EPS
Basic EPS,2022-12-31,5.07,EPEN,income_statement,Basic EPS
Basic EPS,2023-12-31,6.93,EPEN,income_statement,Basic EPS
Basic EPS,2024-12-31,5.45,EPEN,income_statement,Basic EPS
Total Revenue,2021-12-31,13188655000.0,EWRK,income_statement,Total Revenue
Total Revenue,2022-12-31,16069954000.0,EWRK,income_statement,Total Revenue
Total Revenue,2023-12-31,17209323000.0,EWRK,income_statement,Total Revenue
Total Revenue,2024-12-31,15764103000.0,EWRK,income_statement,Total Revenue
Basic EPS,2021-12-31,5.68,EWRK,income_statement,Basic EPS
Basic EPS,2022-12-31,8.07,EWRK,income_statement,Basic EPS
Basic EPS,2023-12-31,7.46,EWRK,income_statement,Basic EPS
Basic EPS,2024-12-31,8.01,EWRK,income_statement,Basic EPS
Total Revenue,2021-12-31,7087500000.0,FAG,income_statement,Total Revenue
Total Revenue,2022-12-31,8269600000.0,FAG,income_statement,Total Revenue
Total Revenue,2023-12-31,8560400000.0,FAG,income_statement,Total Revenue
Total Revenue,2024-12-31,8305300000.0,FAG,income_statement,Total Revenue
Basic EPS,2021-12-31,2.64,FAG,income_statement,Basic EPS
Basic EPS,2022-12-31,3.27,FAG,income_statement,Basic EPS
Basic EPS,2023-12-31,3.09,FAG,income_statement,Basic EPS
Basic EPS,2024-12-31,2.01,FAG,income_statement,Basic EPS
Total Revenue,2021-12-31,2676300000.0,FG,income_statement,Total Revenue
Total Revenue,2022-12-31,4547700000.0,FG,income_statement,Total Revenue
Total Revenue,2023-12-31,5109700000.0,FG,income_statement,Total Revenue
Total Revenue,2024-12-31,4926800000.0,FG,income_statement,Total Revenue
Basic EPS,2021-12-31,4.11,FG,income_statement,Basic EPS
Basic EPS,2022-12-31,5.62,FG,income_statement,Basic EPS
Basic EPS,2023-12-31,4.42,FG,income_statement,Basic EPS
Basic EPS,2024-12-31,0.05,FG,income_statement,Basic EPS
Total Revenue,2021-12-31,1824824000.0,FMM-B,income_statement,Total Revenue
Total Revenue,2022-12-31,1925600000.0,FMM-B,income_statement,Total Revenue
Total Revenue,2023-12-31,1938607000.0,FMM-B,income_statement,Total Revenue
Total Revenue,2024-12-31,1881141000.0,FMM-B,income_statement,Total Revenue
Basic EPS,2021-12-31,5.62,FMM-B,income_statement,Basic EPS
Basic EPS,2022-12-31,4.57,FMM-B,income_statement,Basic EPS
Basic EPS,2023-12-31,3.48,FMM-B,income_statement,Basic EPS
Basic EPS,2024-12-31,3.48,FMM-B,income_statement,Basic EPS
Total Revenue,2021-12-31,3139000000.0,GREEN,income_statement,Total Revenue
Total Revenue,2022-12-31,4810000000.0,GREEN,income_statement,Total Revenue
Total Revenue,2023-12-31,5831000000.0,GREEN,income_statement,Total Revenue
Total Revenue,2024-12-31,6352000000.0,GREEN,income_statement,Total Revenue
Basic EPS,2021-12-31,1.84,GREEN,income_statement,Basic EPS
Basic EPS,2022-12-31,3.41,GREEN,income_statement,Basic EPS
Basic EPS,2023-12-31,3.85,GREEN,income_statement,Basic EPS
Basic EPS,2024-12-31,3.48,GREEN,income_statement,Basic EPS
Total Revenue,2021-12-31,2515000000.0,HANZA,income_statement,Total Revenue
Total Revenue,2022-12-31,3549000000.0,HANZA,income_statement,Total Revenue
Total Revenue,2023-12-31,4143000000.0,HANZA,income_statement,Total Revenue
Total Revenue,2024-12-31,4851000000.0,HANZA,income_statement,Total Revenue
Basic EPS,2021-12-31,2.26,HANZA,income_statement,Basic EPS
Basic EPS,2022-12-31,3.35,HANZA,income_statement,Basic EPS
Basic EPS,2023-12-31,5.36,HANZA,income_statement,Basic EPS
Basic EPS,2024-12-31,2.55,HANZA,income_statement,Basic EPS
Total Revenue,2021-12-31,8890000000.0,INSTAL,income_statement,Total Revenue
Total Revenue,2022-12-31,12063000000.0,INSTAL,income_statement,Total Revenue
Total Revenue,2023-12-31,14279000000.0,INSTAL,income_statement,Total Revenue
Total Revenue,2024-12-31,13690000000.0,INSTAL,income_statement,Total Revenue
Basic EPS,2021-12-31,2.1,INSTAL,income_statement,Basic EPS
Basic EPS,2022-12-31,1.99,INSTAL,income_statement,Basic EPS
Basic EPS,2023-12-31,2.29,INSTAL,income_statement,Basic EPS
Basic EPS,2024-12-31,1.31,INSTAL,income_statement,Basic EPS
Total Revenue,2021-12-31,593000000.0,IVSO,income_statement,Total Revenue
Total Revenue,2022-12-31,775500000.0,IVSO,income_statement,Total Revenue
Total Revenue,2023-12-31,1238500000.0,IVSO,income_statement,Total Revenue
Total Revenue,2024-12-31,1806700000.0,IVSO,income_statement,Total Revenue
Basic EPS,2021-12-31,0.33,IVSO,income_statement,Basic EPS
Basic EPS,2022-12-31,0.99,IVSO,income_statement,Basic EPS
Basic EPS,2023-12-31,3.91,IVSO,income_statement,Basic EPS
Basic EPS,2024-12-31,6.72,IVSO,income_statement,Basic EPS
Total Revenue,2021-12-31,7724900000.0,INWI,income_statement,Total Revenue
Total Revenue,2022-12-31,9546800000.0,INWI,income_statement,Total Revenue
Total Revenue,2023-12-31,8970400000.0,INWI,income_statement,Total Revenue
Total Revenue,2024-12-31,8838400000.0,INWI,income_statement,Total Revenue
Basic EPS,2021-12-31,12.29,INWI,income_statement,Basic EPS
Basic EPS,2022-12-31,13.74,INWI,income_statement,Basic EPS
Basic EPS,2023-12-31,11.72,INWI,income_statement,Basic EPS
Basic EPS,2024-12-31,9.29,INWI,income_statement,Basic EPS
Total Revenue,2021-12-31,6087000000.0,ITAB,income_statement,Total Revenue
Total Revenue,2022-12-31,6868000000.0,ITAB,income_statement,Total Revenue
Total Revenue,2023-12-31,6139000000.0,ITAB,income_statement,Total Revenue
Total Revenue,2024-12-31,6585000000.0,ITAB,income_statement,Total Revenue
Basic EPS,2021-12-31,0.5,ITAB,income_statement,Basic EPS
Basic EPS,2022-12-31,0.78,ITAB,income_statement,Basic EPS
Basic EPS,2023-12-31,1.24,ITAB,income_statement,Basic EPS
Basic EPS,2024-12-31,1.38,ITAB,income_statement,Basic EPS
Total Revenue,2021-12-31,878072000.0,KAR,income_statement,Total Revenue
Total Revenue,2022-12-31,1113500000.0,KAR,income_statement,Total Revenue
Total Revenue,2023-12-31,2474600000.0,KAR,income_statement,Total Revenue
Total Revenue,2024-12-31,2592700000.0,KAR,income_statement,Total Revenue
Basic EPS,2021-12-31,0.87,KAR,income_statement,Basic EPS
Basic EPS,2022-12-31,0.555418,KAR,income_statement,Basic EPS
Basic EPS,2023-12-31,0.354158,KAR,income_statement,Basic EPS
Basic EPS,2024-12-31,-0.306834,KAR,income_statement,Basic EPS
Total Revenue,2021-12-31,469600000.0,MILDEF,income_statement,Total Revenue
Total Revenue,2022-12-31,738800000.0,MILDEF,income_statement,Total Revenue
Total Revenue,2023-12-31,1151300000.0,MILDEF,income_statement,Total Revenue
Total Revenue,2024-12-31,1200900000.0,MILDEF,income_statement,Total Revenue
Basic EPS,2021-12-31,-0.03,MILDEF,income_statement,Basic EPS
Basic EPS,2022-12-31,0.38,MILDEF,income_statement,Basic EPS
Basic EPS,2023-12-31,1.73,MILDEF,income_statement,Basic EPS
Basic EPS,2024-12-31,-5.43,MILDEF,income_statement,Basic EPS
Total Revenue,2021-12-31,1491000000.0,MMGR-B,income_statement,Total Revenue
Total Revenue,2022-12-31,1739000000.0,MMGR-B,income_statement,Total Revenue
Total Revenue,2023-12-31,2298000000.0,MMGR-B,income_statement,Total Revenue
Total Revenue,2024-12-31,2873000000.0,MMGR-B,income_statement,Total Revenue
Basic EPS,2021-12-31,2.297899,MMGR-B,income_statement,Basic EPS
Basic EPS,2022-12-31,2.7,MMGR-B,income_statement,Basic EPS
Basic EPS,2023-12-31,3.45,MMGR-B,income_statement,Basic EPS
Basic EPS,2024-12-31,3.6,MMGR-B,income_statement,Basic EPS
Total Revenue,2021-12-31,4041800000.0,NMAN,income_statement,Total Revenue
Total Revenue,2022-12-31,5178900000.0,NMAN,income_statement,Total Revenue
Total Revenue,2023-12-31,6187800000.0,NMAN,income_statement,Total Revenue
Total Revenue,2024-12-31,5899900000.0,NMAN,income_statement,Total Revenue
