Metric,Date,Value,Ticker,Segment,CAGR_Dimension
Basic EPS,2023-12-31,18.2,SEB-A,income_statement,Basic EPS
Basic EPS,2024-12-31,17.51,SEB-A,income_statement,Basic EPS
Total Revenue,2021-12-31,55606000000.0,SEB-C,income_statement,Total Revenue
Total Revenue,2022-12-31,64466000000.0,SEB-C,income_statement,Total Revenue
Total Revenue,2023-12-31,79960000000.0,SEB-C,income_statement,Total Revenue
Total Revenue,2024-12-31,81610000000.0,SEB-C,income_statement,Total Revenue
Basic EPS,2021-12-31,11.75,SEB-C,income_statement,Basic EPS
Basic EPS,2022-12-31,12.58,SEB-C,income_statement,Basic EPS
Basic EPS,2023-12-31,18.2,SEB-C,income_statement,Basic EPS
Basic EPS,2024-12-31,17.51,SEB-C,income_statement,Basic EPS
Total Revenue,2021-12-31,46705000000.0,SWED-A,income_statement,Total Revenue
Total Revenue,2022-12-31,51289000000.0,SWED-A,income_statement,Total Revenue
Total Revenue,2023-12-31,72254000000.0,SWED-A,income_statement,Total Revenue
Total Revenue,2024-12-31,73332000000.0,SWED-A,income_statement,Total Revenue
Basic EPS,2021-12-31,18.62,SWED-A,income_statement,Basic EPS
Basic EPS,2022-12-31,19.03,SWED-A,income_statement,Basic EPS
Basic EPS,2023-12-31,30.35,SWED-A,income_statement,Basic EPS
Basic EPS,2024-12-31,30.99,SWED-A,income_statement,Basic EPS
Total Revenue,2021-12-31,35452000000.0,AAK,income_statement,Total Revenue
Total Revenue,2022-12-31,50425000000.0,AAK,income_statement,Total Revenue
Total Revenue,2023-12-31,46028000000.0,AAK,income_statement,Total Revenue
Total Revenue,2024-12-31,45052000000.0,AAK,income_statement,Total Revenue
Basic EPS,2021-12-31,5.59,AAK,income_statement,Basic EPS
Basic EPS,2022-12-31,6.84,AAK,income_statement,Basic EPS
Basic EPS,2023-12-31,11.35,AAK,income_statement,Basic EPS
Basic EPS,2024-12-31,13.62,AAK,income_statement,Basic EPS
Total Revenue,2021-12-31,57891000000.0,AXFO,income_statement,Total Revenue
Total Revenue,2022-12-31,73474000000.0,AXFO,income_statement,Total Revenue
Total Revenue,2023-12-31,81111000000.0,AXFO,income_statement,Total Revenue
Total Revenue,2024-12-31,84057000000.0,AXFO,income_statement,Total Revenue
Basic EPS,2021-12-31,10.2,AXFO,income_statement,Basic EPS
Basic EPS,2022-12-31,11.04,AXFO,income_statement,Basic EPS
Basic EPS,2023-12-31,10.92,AXFO,income_statement,Basic EPS
Basic EPS,2024-12-31,10.16,AXFO,income_statement,Basic EPS
Total Revenue,2021-12-31,101466000000.0,ESSITY-A,income_statement,Total Revenue
Total Revenue,2022-12-31,131320000000.0,ESSITY-A,income_statement,Total Revenue
Total Revenue,2023-12-31,147147000000.0,ESSITY-A,income_statement,Total Revenue
Total Revenue,2024-12-31,145546000000.0,ESSITY-A,income_statement,Total Revenue
Basic EPS,2021-12-31,12.27,ESSITY-A,income_statement,Basic EPS
Basic EPS,2022-12-31,7.93,ESSITY-A,income_statement,Basic EPS
Basic EPS,2023-12-31,13.6,ESSITY-A,income_statement,Basic EPS
Basic EPS,2024-12-31,29.83,ESSITY-A,income_statement,Basic EPS
Total Revenue,2021-12-31,101466000000.0,ESSITY-B,income_statement,Total Revenue
Total Revenue,2022-12-31,131320000000.0,ESSITY-B,income_statement,Total Revenue
Total Revenue,2023-12-31,147147000000.0,ESSITY-B,income_statement,Total Revenue
Total Revenue,2024-12-31,145546000000.0,ESSITY-B,income_statement,Total Revenue
Basic EPS,2021-12-31,12.27,ESSITY-B,income_statement,Basic EPS
Basic EPS,2022-12-31,7.93,ESSITY-B,income_statement,Basic EPS
Basic EPS,2023-12-31,13.6,ESSITY-B,income_statement,Basic EPS
Basic EPS,2024-12-31,29.83,ESSITY-B,income_statement,Basic EPS
Total Revenue,2021-12-31,712833000.0,IPCO,income_statement,Total Revenue
Total Revenue,2022-12-31,1241814000.0,IPCO,income_statement,Total Revenue
Total Revenue,2023-12-31,960203000.0,IPCO,income_statement,Total Revenue
Total Revenue,2024-12-31,913182000.0,IPCO,income_statement,Total Revenue
Basic EPS,2021-12-31,0.94,IPCO,income_statement,Basic EPS
Basic EPS,2022-12-31,2.3,IPCO,income_statement,Basic EPS
Basic EPS,2023-12-31,1.31,IPCO,income_statement,Basic EPS
Basic EPS,2024-12-31,0.82,IPCO,income_statement,Basic EPS
Total Revenue,2021-12-31,3084000000.0,ATRLJ-B,income_statement,Total Revenue
Total Revenue,2022-12-31,2806000000.0,ATRLJ-B,income_statement,Total Revenue
Total Revenue,2023-12-31,3233000000.0,ATRLJ-B,income_statement,Total Revenue
Total Revenue,2024-12-31,3516000000.0,ATRLJ-B,income_statement,Total Revenue
Basic EPS,2021-12-31,5.93,ATRLJ-B,income_statement,Basic EPS
Basic EPS,2022-12-31,6.794,ATRLJ-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-1.512,ATRLJ-B,income_statement,Basic EPS
Basic EPS,2024-12-31,1.348,ATRLJ-B,income_statement,Basic EPS
Total Revenue,2021-12-31,8956000000.0,BALD-B,income_statement,Total Revenue
Total Revenue,2022-12-31,10521000000.0,BALD-B,income_statement,Total Revenue
Total Revenue,2023-12-31,11944000000.0,BALD-B,income_statement,Total Revenue
Total Revenue,2024-12-31,12876000000.0,BALD-B,income_statement,Total Revenue
Basic EPS,2021-12-31,16.54,BALD-B,income_statement,Basic EPS
Basic EPS,2022-12-31,9.09,BALD-B,income_statement,Basic EPS
Basic EPS,2023-12-31,-5.85,BALD-B,income_statement,Basic EPS
