,Key,Values,Ticker
0,Bruttomarginal_long_trend_ratioRank,46.947194719471945,FPAR-A
1,Bruttomarginal_ttm_current_ratioRank,73.87312186978298,FPAR-A
2,Bruttomarginal_ttm_momentum_ratioRank,47.00342465753425,FPAR-A
3,EV_EBITDA_long_trend_ratioRank,71.96261682242991,FPAR-A
4,EV_EBITDA_ttm_current_ratioRank,25.64102564102564,FPAR-A
5,EV_EBITDA_ttm_momentum_ratioRank,77.04918032786885,FPAR-A
6,Försäljning_long_trend_ratioRank,40.93701996927803,FPAR-A
7,Försäljning_ttm_current_ratioRank,50.0,FPAR-A
8,Försäljning_ttm_momentum_ratioRank,57.488299531981276,FPAR-A
9,Kassaflöde_till_Skuld_long_trend_ratioRank,51.822916666666664,FPAR-A
10,Kassaflöde_till_Skuld_ttm_current_ratioRank,29.51582867783985,FPAR-A
11,Kassaflöde_till_Skuld_ttm_momentum_ratioRank,30.539499036608863,FPAR-A
12,PB_tal_long_trend_ratioRank,46.3855421686747,FPAR-A
13,PB_tal_ttm_current_ratioRank,80.52708638360176,FPAR-A
14,PB_tal_ttm_momentum_ratioRank,63.213213213213216,FPAR-A
15,PE_tal_long_trend_ratioRank,71.01669195751138,FPAR-A
16,PE_tal_ttm_current_ratioRank,32.40469208211144,FPAR-A
17,PE_tal_ttm_momentum_ratioRank,83.98791540785498,FPAR-A
18,ROE_long_trend_ratioRank,4.978354978354979,FPAR-A
19,ROE_ttm_current_ratioRank,52.604920405209846,FPAR-A
20,ROE_ttm_momentum_ratioRank,80.99112426035504,FPAR-A
21,ROIC_long_trend_ratioRank,13.817097415506957,FPAR-A
22,ROIC_ttm_current_ratioRank,43.38235294117647,FPAR-A
23,ROIC_ttm_momentum_ratioRank,83.47921225382933,FPAR-A
24,Rörelseflödesmarginal_long_trend_ratioRank,53.01857585139319,FPAR-A
25,Rörelseflödesmarginal_ttm_current_ratioRank,86.79389312977099,FPAR-A
26,Rörelseflödesmarginal_ttm_momentum_ratioRank,26.808176100628934,FPAR-A
27,Rörelsemarginal_long_trend_ratioRank,55.86816720257235,FPAR-A
