Rank,Values,Ticker
Räntetäckningsgrad_trend_ratioRank,50.0,AZA
Bruttomarginal_latest_ratioRank,50.0,AZA
Bruttomarginal_trend_ratioRank,50.0,AZA
Rörelsemarginal_latest_ratioRank,50.0,AZA
Rörelsemarginal_trend_ratioRank,50.0,AZA
Vinstmarginal_latest_ratioRank,95.42302357836338,AZA
Vinstmarginal_trend_ratioRank,44.44444444444444,AZA
PE_tal_latest_ratioRank,50.0,AZA
PE_tal_trend_ratioRank,50.0,AZA
PB_tal_latest_ratioRank,50.0,AZA
PB_tal_trend_ratioRank,50.0,AZA
EV_EBITDA_latest_ratioRank,50.0,AZA
EV_EBITDA_trend_ratioRank,50.0,AZA
Rörelseflödesmarginal_latest_ratioRank,98.88111888111888,AZA
Rörelseflödesmarginal_trend_ratioRank,11.904761904761903,AZA
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,AZA
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,AZA
Kassaflode_till_Skuld_latest_ratioRank,98.2200647249191,AZA
Kassaflode_till_Skuld_trend_ratioRank,3.403565640194489,AZA
ROE_latest_ratioRank,74.28010471204189,SHB-A
ROE_trend_ratioRank,70.05242463958061,SHB-A
ROIC_latest_ratioRank,50.0,SHB-A
ROIC_trend_ratioRank,50.0,SHB-A
Soliditet_latest_ratioRank,5.039267015706806,SHB-A
Soliditet_trend_ratioRank,59.82961992136304,SHB-A
Skuldsättningsgrad_latest_ratioRank,0.7211538461538461,SHB-A
Skuldsättningsgrad_trend_ratioRank,6.340288924558587,SHB-A
Räntetäckningsgrad_latest_ratioRank,50.0,SHB-A
Räntetäckningsgrad_trend_ratioRank,50.0,SHB-A
Bruttomarginal_latest_ratioRank,50.0,SHB-A
Bruttomarginal_trend_ratioRank,50.0,SHB-A
Rörelsemarginal_latest_ratioRank,50.0,SHB-A
Rörelsemarginal_trend_ratioRank,50.0,SHB-A
Vinstmarginal_latest_ratioRank,93.82801664355063,SHB-A
Vinstmarginal_trend_ratioRank,62.291666666666664,SHB-A
PE_tal_latest_ratioRank,50.0,SHB-A
PE_tal_trend_ratioRank,50.0,SHB-A
PB_tal_latest_ratioRank,50.0,SHB-A
PB_tal_trend_ratioRank,50.0,SHB-A
EV_EBITDA_latest_ratioRank,50.0,SHB-A
EV_EBITDA_trend_ratioRank,50.0,SHB-A
Rörelseflödesmarginal_latest_ratioRank,97.27272727272728,SHB-A
Rörelseflödesmarginal_trend_ratioRank,33.12324929971989,SHB-A
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,SHB-A
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,SHB-A
Kassaflode_till_Skuld_latest_ratioRank,28.883495145631066,SHB-A
Kassaflode_till_Skuld_trend_ratioRank,38.6547811993517,SHB-A
ROE_latest_ratioRank,74.28010471204189,SHB-B
ROE_trend_ratioRank,70.05242463958061,SHB-B
ROIC_latest_ratioRank,50.0,SHB-B
ROIC_trend_ratioRank,50.0,SHB-B
Soliditet_latest_ratioRank,5.039267015706806,SHB-B
Soliditet_trend_ratioRank,59.82961992136304,SHB-B
Skuldsättningsgrad_latest_ratioRank,0.7211538461538461,SHB-B
Skuldsättningsgrad_trend_ratioRank,6.340288924558587,SHB-B
Räntetäckningsgrad_latest_ratioRank,50.0,SHB-B
Räntetäckningsgrad_trend_ratioRank,50.0,SHB-B
Bruttomarginal_latest_ratioRank,50.0,SHB-B
Bruttomarginal_trend_ratioRank,50.0,SHB-B
Rörelsemarginal_latest_ratioRank,50.0,SHB-B
Rörelsemarginal_trend_ratioRank,50.0,SHB-B
Vinstmarginal_latest_ratioRank,93.82801664355063,SHB-B
Vinstmarginal_trend_ratioRank,62.291666666666664,SHB-B
PE_tal_latest_ratioRank,50.0,SHB-B
PE_tal_trend_ratioRank,50.0,SHB-B
PB_tal_latest_ratioRank,50.0,SHB-B
PB_tal_trend_ratioRank,50.0,SHB-B
EV_EBITDA_latest_ratioRank,50.0,SHB-B
EV_EBITDA_trend_ratioRank,50.0,SHB-B
Rörelseflödesmarginal_latest_ratioRank,97.27272727272728,SHB-B
Rörelseflödesmarginal_trend_ratioRank,33.12324929971989,SHB-B
Fritt_Kassaflode_per_Aktie_latest_ratioRank,50.0,SHB-B
Fritt_Kassaflode_per_Aktie_trend_ratioRank,50.0,SHB-B
Kassaflode_till_Skuld_latest_ratioRank,28.883495145631066,SHB-B
Kassaflode_till_Skuld_trend_ratioRank,38.6547811993517,SHB-B
ROE_latest_ratioRank,79.31937172774869,NDA-SE
ROE_trend_ratioRank,74.70511140235911,NDA-SE
ROIC_latest_ratioRank,50.0,NDA-SE
ROIC_trend_ratioRank,50.0,NDA-SE
Soliditet_latest_ratioRank,4.5811518324607325,NDA-SE
Soliditet_trend_ratioRank,53.473132372214934,NDA-SE
