Ticker,LatestReportDate_Y
CINT,2024-12-31
DUST,2024-08-31
DYVOX,2024-12-31
ENEA,2024-12-31
IAR-B,2024-12-31
KNOW,2024-12-31
LIME,2024-12-31
NOTE,2024-12-31
PRIC-B,2024-12-31
PACT,2024-12-31
HTRO,2024-12-31
NETI-B,2024-12-31
VPLAY-A,2024-12-31
VPLAY-B,2024-12-31
MSON-A,2024-12-31
MSON-B,2024-12-31
MAHA-A,2024-12-31
ACRI-A,2024-12-31
ACRI-B,2024-12-31
ANNE-B,2024-12-31
FASTAT,2024-12-31
K2A-B,2024-12-31
K2A-PREF,2024-12-31
HAV-B,2024-12-31
MANG,2024-12-31
NAXS,2024-12-31
QLIRO,2024-12-31
SEAF,2024-12-31
STWK,2024-12-31
SFAB,2024-12-31
ACTI,2024-12-31
ATORX,2024-12-31
ACE,2024-12-31
BOUL,2024-12-31
CRAD-B,2024-12-31
CANTA,2024-12-31
CARA,2024-12-31
DEDI,2024-12-31
EGTX,2024-12-31
EPIS-B,2024-12-31
EQL,2025-03-31
IMMNOV,2024-12-31
IBT-B,2024-12-31
IRLAB-A,2024-12-31
ISOFOL,2024-12-31
KDEV,2024-12-31
MVIR,2024-12-31
IMMU,2024-12-31
MOB,2024-12-31
NICA,2024-12-31
ONCO,2024-12-31
ORX,2024-12-31
QLINEA,2024-12-31
SANION,2024-12-31
SEZI,2024-12-31
SYNACT,2024-12-31
VICO,2024-12-31
VIVE,2024-12-31
XBRANE,2024-12-31
XSPRAY,2024-12-31
ARPL,2024-12-31
BALCO,2024-12-31
BERNER-B,2024-12-31
BONG,2024-12-31
CNCJO-B,2024-12-31
CTEK,2024-12-31
ELTEL,2024-12-31
FNM,2024-12-31
HAKI-A,2024-12-31
HAKI-B,2024-12-31
IS,2024-12-31
INFREA,2024-12-31
INISS-B,2024-12-31
KARNEL-B,2024-12-31
MEAB-B,2024-12-31
NETEL,2024-12-31
NGS,2024-12-31
PION-B,2024-12-31
RAIL,2024-12-31
SINT,2024-12-31
SVIK,2024-12-31
SVED-B,2024-12-31
WISE,2024-12-31
WBGR-B,2024-12-31
BEGR,2024-12-31
DURC-B,2025-06-30
NORB-B,2024-12-31
PROF-B,2024-12-31
ATIC,2024-12-31
BORG,2024-12-31
BULTEN,2024-12-31
CTM,2024-12-31
ELON,2024-12-31
EG7,2024-12-31
ENRO,2024-12-31
G5EN,2024-12-31
LAMM-B,2024-12-31
MOMENT,2024-12-31
NELLY,2024-12-31
NIL-B,2024-12-31
PIERCE,2024-12-31
STAR-A,2024-12-31
STAR-B,2024-12-31
ANOT,2024-12-31
B3,2024-12-31
FING-B,2024-12-31
FPIP,2024-12-31
GARO,2024-12-31
MSAB-B,2024-12-31
SAFETY-B,2024-12-31
NTEK-B,2024-12-31
PREC,2024-12-31
PREV-B,2024-12-31
SGG,2024-12-31
SIVE,2024-12-31
SLEEP,2024-12-31
SOF-B,2024-12-31
TOBII,2024-12-31
TRAD,2024-12-31
DORO,2024-12-31
OVZON,2024-12-31
TRANS,2024-12-31
CHEF,2024-12-31
VIVA,2024-12-31
CLIME-B,2024-12-31
HEXI,2024-12-31
MIDS,2024-12-31
AGROUP,2024-12-31
STUDBO,2024-12-31
NAVIGO-STAM,2024-12-31
NAVIGO-PREF,2024-12-31
VER,2024-12-31
ACARIX,2024-12-31
ADDV-A,2024-12-31
ADDV-B,2024-12-31
ALZCUR,2024-12-31
BIOVIC-B,2025-04-30
DVYSR,2024-12-31
NANOFS,2024-12-31
NOVKAN,2024-12-31
PTRK,2024-12-31
SPEC,2024-12-31
SPRINT,2024-12-31
BYGGP,2024-12-31
NYAB,2024-12-31
QAIR,2024-12-31
SALT-B,2024-12-31
TAGM-B,2024-12-31
TSEC,2024-12-31
NEXAM,2024-12-31
AGES-B,2024-12-31
DRIL,2024-12-31
GRANGX,2024-12-31
ACROUD,2024-12-31
BOKUS,2024-12-31
EMBELL,2024-12-31
LYKO-A,2024-12-31
MAGI,2024-08-31
