,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,24482000.0,53565000.0,59690000.0,45146000.0
Issuance Of Debt,76740000.0,0.0,,
Capital Expenditure,-46085000.0,-29320000.0,-51591000.0,-21557000.0
End Cash Position,103570000.0,129363000.0,144722000.0,135280000.0
Beginning Cash Position,129363000.0,144722000.0,135280000.0,110118000.0
Effect Of Exchange Rate Changes,3492000.0,1912000.0,9909000.0,2872000.0
Changes In Cash,-29285000.0,-17271000.0,-467000.0,22290000.0
Financing Cash Flow,-67541000.0,-80490000.0,-72880000.0,-37405000.0
Net Other Financing Charges,-91738000.0,-31689000.0,,
Net Issuance Payments Of Debt,76740000.0,0.0,-26332000.0,2337000.0
Net Long Term Debt Issuance,76740000.0,0.0,-26332000.0,2337000.0
Long Term Debt Issuance,76740000.0,0.0,,
Investing Cash Flow,-32311000.0,-19666000.0,-38868000.0,-7008000.0
Net Intangibles Purchase And Sale,-32311000.0,-19666000.0,-38868000.0,-7008000.0
Sale Of Intangibles,13774000.0,9654000.0,12723000.0,14549000.0
Purchase Of Intangibles,-46085000.0,-29320000.0,-51591000.0,-21557000.0
Operating Cash Flow,70567000.0,82885000.0,111281000.0,66703000.0
Taxes Refund Paid,-16260000.0,-10732000.0,-7063000.0,-3820000.0
Interest Received Cfo,1702000.0,333000.0,29000.0,37000.0
Interest Paid Cfo,-39136000.0,-35856000.0,-32187000.0,-33244000.0
Change In Working Capital,13425000.0,5344000.0,618000.0,-12191000.0
Change In Other Current Liabilities,-57204000.0,-63892000.0,57284000.0,17659000.0
Change In Inventory,7070000.0,63444000.0,-57799000.0,-22854000.0
Change In Receivables,63559000.0,5792000.0,1133000.0,-6996000.0
Other Non Cash Items,-8300000.0,-11100000.0,,
Provisionand Write Offof Assets,-5741000.0,-3973000.0,-7404000.0,-4214000.0
Depreciation And Amortization,75734000.0,78172000.0,66338000.0,81598000.0
Amortization Cash Flow,-1824000.0,1484000.0,1773000.0,
Depreciation,77558000.0,76688000.0,64565000.0,81598000.0
Net Foreign Currency Exchange Gain Loss,4740000.0,-5648000.0,4115000.0,-447000.0
Gain Loss On Sale Of PPE,-7292000.0,-1516000.0,-11454000.0,-6960000.0
Net Income From Continuing Operations,43396000.0,43562000.0,98289000.0,45927000.0
