,2024-12-31,2023-12-31
Free Cash Flow,-16515000.0,-20388000.0
End Cash Position,12355000.0,14039000.0
Beginning Cash Position,14039000.0,7598000.0
Changes In Cash,-1684000.0,6441000.0
Financing Cash Flow,18276000.0,30815000.0
Investing Cash Flow,-3445000.0,-3986000.0
Operating Cash Flow,-16515000.0,-20388000.0
Change In Working Capital,-1137000.0,3301000.0
Net Income From Continuing Operations,-17717000.0,-25375000.0
