,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-55015000.0,-42555000.0,-41708000.0,-28350000.0,
Repurchase Of Capital Stock,,,,0.0,-484000.0
Issuance Of Capital Stock,52938000.0,31144000.0,51893000.0,53515000.0,
Capital Expenditure,-29000.0,-459000.0,-607000.0,-47000.0,
End Cash Position,3170000.0,19981000.0,20332000.0,18172000.0,
Other Cash Adjustment Outside Changein Cash,1000.0,-1000.0,,,
Beginning Cash Position,19981000.0,20332000.0,18171000.0,685000.0,
Effect Of Exchange Rate Changes,265000.0,61000.0,-24000.0,366000.0,
Changes In Cash,-17077000.0,-411000.0,2185000.0,17121000.0,
Financing Cash Flow,37938000.0,42144000.0,43893000.0,45471000.0,
Net Other Financing Charges,,,,-20044000.0,9976000.0
Net Common Stock Issuance,52938000.0,31144000.0,51893000.0,53515000.0,
Common Stock Payments,,,,0.0,-484000.0
Common Stock Issuance,52938000.0,31144000.0,51893000.0,53515000.0,
Net Issuance Payments Of Debt,-15000000.0,11000000.0,-8000000.0,12000000.0,
Net Short Term Debt Issuance,-15000000.0,11000000.0,,,
Net Long Term Debt Issuance,,11000000.0,-8000000.0,12000000.0,
Investing Cash Flow,-29000.0,-459000.0,-607000.0,-47000.0,
Net Intangibles Purchase And Sale,,,,,0.0
Purchase Of Intangibles,,,,,0.0
Net PPE Purchase And Sale,-29000.0,-459000.0,-607000.0,-47000.0,
Purchase Of PPE,-29000.0,-459000.0,-607000.0,-47000.0,
Operating Cash Flow,-54986000.0,-42096000.0,-41101000.0,-28303000.0,
Change In Working Capital,708000.0,4874000.0,-2377000.0,-1651000.0,
Change In Other Current Liabilities,2498000.0,213000.0,528000.0,-346000.0,
Change In Other Current Assets,161000.0,-420000.0,,,
Change In Accrued Expense,-1925000.0,1359000.0,475000.0,240000.0,
Change In Payable,593000.0,-794000.0,967000.0,922000.0,
Change In Prepaid Assets,161000.0,-420000.0,146000.0,-1409000.0,
Change In Receivables,-619000.0,4516000.0,-4493000.0,-1058000.0,
Other Non Cash Items,-9620000.0,,,,
Depreciation And Amortization,582000.0,545000.0,354000.0,295000.0,
Depreciation,582000.0,545000.0,354000.0,295000.0,
Net Income From Continuing Operations,-46655000.0,-47517000.0,-39079000.0,-26947000.0,
