,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,14304089.0,7201863.0,8979482.0,54251849.0,
Issuance Of Capital Stock,30349379.0,224798.0,0.0,,8000000.0
Capital Expenditure,-1714959.0,,-222899.0,,
End Cash Position,23721642.0,11223140.0,7683004.0,1939455.0,
Beginning Cash Position,11223140.0,7683004.0,8768453.0,1778861.0,
Changes In Cash,12498502.0,3540136.0,-1085449.0,160594.0,
Financing Cash Flow,25135252.0,-16566020.0,-48087680.0,-54091255.0,
Net Other Financing Charges,-4132036.0,-16268914.0,-48027808.0,,
Interest Paid Cff,-1082091.0,-521904.0,-59872.0,,
Cash Dividends Paid,,,-63500584.0,-54091255.0,-7451704.0
Common Stock Dividend Paid,,,-63500584.0,-54091255.0,-7451704.0
Net Common Stock Issuance,30349379.0,224798.0,0.0,,8000000.0
Common Stock Issuance,30349379.0,224798.0,0.0,,8000000.0
Investing Cash Flow,-28655798.0,12904293.0,37799850.0,0.0,
Net Other Investing Changes,,12024409.0,36040086.0,,
Net Investment Purchase And Sale,-97802.0,18812.0,1276417.0,,
Sale Of Investment,,18812.0,1276417.0,,
Purchase Of Investment,-97802.0,,,,
Net Business Purchase And Sale,-26843037.0,0.0,706246.0,,
Sale Of Business,,0.0,706246.0,,
Purchase Of Business,-26843037.0,0.0,,,
Net Intangibles Purchase And Sale,-1447918.0,0.0,,,
Purchase Of Intangibles,-1447918.0,0.0,,,
Net PPE Purchase And Sale,-267041.0,861072.0,-222899.0,,
Sale Of PPE,0.0,861072.0,0.0,,
Purchase Of PPE,-267041.0,0.0,-222899.0,,
Operating Cash Flow,16019048.0,7201863.0,9202381.0,54251849.0,
Taxes Refund Paid,-4357955.0,-5608740.0,-3376729.0,0.0,
Interest Received Cfo,242772.0,86831.0,81405.0,27874183.0,
Interest Paid Cfo,,,-30348.0,-1167555.0,
Change In Working Capital,-29517269.0,-20099722.0,-7859145.0,-138227.0,
Change In Other Current Liabilities,,,-1585531.0,-9261261.0,-1187920.0
Change In Payable,-18328612.0,6999927.0,-5634852.0,,
Change In Inventory,17738490.0,-1101419.0,-460017.0,8585119.0,
Change In Receivables,-28927147.0,-25998230.0,-1764276.0,537915.0,
Other Non Cash Items,839319.0,435073.0,-21533.0,,
Deferred Tax,-1128148.0,3652958.0,2804032.0,,
Depreciation And Amortization,254552.0,598476.0,932919.0,,
Depreciation,254552.0,598476.0,932919.0,,
Net Income From Continuing Operations,24593389.0,28335232.0,16566587.0,27683448.0,
