,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,358619000.0,596751000.0,99294000.0,-148370000.0
Repurchase Of Capital Stock,-76000.0,0.0,,
Issuance Of Capital Stock,1311525000.0,32692000.0,58492000.0,106046000.0
Capital Expenditure,-29371000.0,-10127000.0,-1905000.0,-4943000.0
End Cash Position,2852699000.0,1189840000.0,565539000.0,411575000.0
Beginning Cash Position,1189840000.0,565539000.0,411575000.0,461793000.0
Effect Of Exchange Rate Changes,3572000.0,-1213000.0,3678000.0,-752000.0
Changes In Cash,1659287000.0,625514000.0,150286000.0,-49466000.0
Financing Cash Flow,1300668000.0,28763000.0,43705000.0,98904000.0
Net Other Financing Charges,-157000.0,5591000.0,-7001000.0,
Net Common Stock Issuance,1311449000.0,32692000.0,58492000.0,106046000.0
Common Stock Payments,-76000.0,0.0,,
Common Stock Issuance,1311525000.0,32692000.0,58492000.0,106046000.0
Investing Cash Flow,-29371000.0,-10127000.0,5382000.0,-4943000.0
Net Intangibles Purchase And Sale,-1758000.0,-937000.0,7287000.0,-952000.0
Sale Of Intangibles,,0.0,7287000.0,
Purchase Of Intangibles,-1758000.0,-937000.0,0.0,-952000.0
Net PPE Purchase And Sale,-27613000.0,-9190000.0,-1905000.0,-3991000.0
Purchase Of PPE,-27613000.0,-9190000.0,-1905000.0,-3991000.0
Operating Cash Flow,387990000.0,606878000.0,101199000.0,-143427000.0
Taxes Refund Paid,-12068000.0,-10316000.0,-6535000.0,-3540000.0
Interest Received Cfo,84427000.0,24743000.0,2695000.0,171000.0
Interest Paid Cfo,-1084000.0,-1339000.0,-1526000.0,-1365000.0
Change In Working Capital,-205092000.0,-44446000.0,-17639000.0,-53323000.0
Change In Other Current Liabilities,37492000.0,24638000.0,27566000.0,2993000.0
Change In Payable,18353000.0,13552000.0,32118000.0,32145000.0
Change In Inventory,-39032000.0,5855000.0,374000.0,4147000.0
Change In Receivables,-221905000.0,-88491000.0,-77697000.0,-92608000.0
Stock Based Compensation,34826000.0,102717000.0,39312000.0,12523000.0
Depreciation And Amortization,14637000.0,13987000.0,12936000.0,12681000.0
Depreciation,14637000.0,13987000.0,12936000.0,12681000.0
Gain Loss On Investment Securities,3179000.0,-4371000.0,,
Net Income From Continuing Operations,469165000.0,525903000.0,71956000.0,-110574000.0
