,2025-04-30,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Free Cash Flow,-22376000.0,-39472000.0,-27064000.0,-15756000.0,
Repayment Of Debt,-1183000.0,-1275000.0,-875000.0,-2302000.0,
Issuance Of Debt,,,0.0,3000000.0,0.0
Issuance Of Capital Stock,,0.0,67000.0,85556000.0,28355000.0
Capital Expenditure,-8222000.0,-22523000.0,-19015000.0,-8950000.0,
End Cash Position,5258000.0,28619000.0,69732000.0,97969000.0,
Other Cash Adjustment Outside Changein Cash,,-1000.0,1000.0,-2000.0,1000.0
Beginning Cash Position,28619000.0,69732000.0,97969000.0,27559000.0,
Effect Of Exchange Rate Changes,198000.0,-366000.0,-366000.0,-87000.0,
Changes In Cash,-23559000.0,-40746000.0,-27872000.0,70499000.0,
Financing Cash Flow,-1183000.0,-1275000.0,-808000.0,86254000.0,
Net Common Stock Issuance,,0.0,67000.0,85556000.0,28355000.0
Common Stock Issuance,,0.0,67000.0,85556000.0,28355000.0
Net Issuance Payments Of Debt,-1183000.0,-1275000.0,-875000.0,698000.0,
Net Long Term Debt Issuance,-1183000.0,-1275000.0,-875000.0,698000.0,
Long Term Debt Payments,-1183000.0,-1275000.0,-875000.0,-2302000.0,
Long Term Debt Issuance,,,0.0,3000000.0,0.0
Investing Cash Flow,-8222000.0,-22522000.0,-19015000.0,-8949000.0,
Net Other Investing Changes,,1000.0,,1000.0,
Net Intangibles Purchase And Sale,-8222000.0,-22331000.0,-18781000.0,-8381000.0,
Purchase Of Intangibles,-8222000.0,-22331000.0,-18781000.0,-8381000.0,
Net PPE Purchase And Sale,0.0,-192000.0,-234000.0,-569000.0,
Purchase Of PPE,0.0,-192000.0,-234000.0,-569000.0,
Operating Cash Flow,-14154000.0,-16949000.0,-8049000.0,-6806000.0,
Taxes Refund Paid,-24000.0,-27000.0,-35000.0,-31000.0,
Change In Working Capital,2069000.0,-5727000.0,3738000.0,1168000.0,
Change In Other Current Liabilities,3574000.0,-252000.0,1378000.0,471000.0,
Change In Payable,-1802000.0,-2202000.0,2789000.0,490000.0,
Change In Receivables,297000.0,-3273000.0,-428000.0,208000.0,
Other Non Cash Items,-308000.0,423000.0,409000.0,190000.0,
Depreciation And Amortization,4620000.0,4036000.0,3740000.0,3499000.0,
Depreciation,4620000.0,4036000.0,3740000.0,3499000.0,
Net Income From Continuing Operations,-20511000.0,-15654000.0,-15901000.0,-11632000.0,
