,2024-12-31,2023-12-31,2022-12-31,2020-09-30
Free Cash Flow,28719000.0,-14592000.0,6155000.0,5084000.0
Repurchase Of Capital Stock,-36350000.0,0.0,,
Repayment Of Debt,0.0,-16250000.0,-5417000.0,-6590000.0
Issuance Of Debt,16080000.0,261743000.0,0.0,0.0
Issuance Of Capital Stock,,0.0,6000000.0,23509000.0
Capital Expenditure,-11584000.0,-7614000.0,-16836000.0,-2870000.0
End Cash Position,34911000.0,49249000.0,48282000.0,30838000.0
Other Cash Adjustment Outside Changein Cash,-1000.0,1000.0,,1000.0
Beginning Cash Position,49249000.0,48282000.0,36601000.0,10321000.0
Effect Of Exchange Rate Changes,3056000.0,-1883000.0,4943000.0,-1487000.0
Changes In Cash,-17393000.0,2849000.0,6738000.0,22003000.0
Financing Cash Flow,-23920000.0,243364000.0,583000.0,16919000.0
Net Other Financing Charges,-3650000.0,-2129000.0,,
Net Common Stock Issuance,-36350000.0,0.0,6000000.0,23509000.0
Common Stock Payments,-36350000.0,0.0,,
Common Stock Issuance,,0.0,6000000.0,23509000.0
Net Issuance Payments Of Debt,16080000.0,245493000.0,-5417000.0,-6590000.0
Net Long Term Debt Issuance,16080000.0,245493000.0,-5417000.0,-6590000.0
Long Term Debt Payments,0.0,-16250000.0,-5417000.0,-6590000.0
Long Term Debt Issuance,16080000.0,261743000.0,0.0,0.0
Investing Cash Flow,-33776000.0,-233537000.0,-16836000.0,-2870000.0
Net Other Investing Changes,,-1000.0,,
Net Investment Purchase And Sale,-36350000.0,0.0,,
Purchase Of Investment,-36350000.0,0.0,,
Net Business Purchase And Sale,-22192000.0,-225922000.0,0.0,0.0
Purchase Of Business,-22192000.0,-225922000.0,0.0,0.0
Net Intangibles Purchase And Sale,-11584000.0,-7614000.0,-16836000.0,-2870000.0
Purchase Of Intangibles,-11584000.0,-7614000.0,-16836000.0,-2870000.0
Operating Cash Flow,40303000.0,-6978000.0,22991000.0,7954000.0
Taxes Refund Paid,-3065000.0,-6091000.0,-3744000.0,-4268000.0
Interest Received Cfo,4402000.0,1625000.0,0.0,289000.0
Interest Paid Cfo,-40461000.0,-23746000.0,-531000.0,-501000.0
Change In Working Capital,12850000.0,-14051000.0,-4837000.0,-2198000.0
Change In Other Current Liabilities,-12234000.0,35171000.0,-223000.0,64000.0
Change In Payable,17448000.0,-37073000.0,-9576000.0,222000.0
Change In Receivables,7636000.0,-12149000.0,4962000.0,-2484000.0
Other Non Cash Items,-84777000.0,-55016000.0,4790000.0,89000.0
Depreciation And Amortization,114270000.0,52523000.0,4816000.0,1635000.0
Depreciation,114270000.0,52523000.0,4816000.0,1635000.0
Net Foreign Currency Exchange Gain Loss,-1133000.0,501000.0,,
Net Income From Continuing Operations,38217000.0,37277000.0,27314000.0,12908000.0
