,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,51765000.0,74108000.0,48170000.0,-89377000.0,
Repayment Of Debt,-63477000.0,-74379000.0,-83341000.0,-63439000.0,
Issuance Of Debt,67593000.0,52767000.0,65447000.0,104173000.0,
Issuance Of Capital Stock,8169000.0,-397000.0,0.0,1824000.0,
Capital Expenditure,-47199000.0,-69225000.0,-54345000.0,-67284000.0,
End Cash Position,14253000.0,12137000.0,11720000.0,7961000.0,
Beginning Cash Position,12137000.0,11720000.0,7961000.0,5457000.0,
Effect Of Exchange Rate Changes,229000.0,-649000.0,1545000.0,631000.0,
Changes In Cash,1887000.0,1066000.0,2214000.0,1873000.0,
Financing Cash Flow,-24859000.0,-49330000.0,-45956000.0,88347000.0,
Net Other Financing Charges,-14000000.0,1000.0,,,
Cash Dividends Paid,-10679000.0,,,,
Net Common Stock Issuance,8169000.0,-397000.0,0.0,1824000.0,
Common Stock Issuance,8169000.0,-397000.0,0.0,1824000.0,
Net Issuance Payments Of Debt,-14610000.0,-42911000.0,-41872000.0,95185000.0,
Net Short Term Debt Issuance,-18726000.0,-21299000.0,-23978000.0,54451000.0,
Short Term Debt Payments,,,,-30156000.0,-71092000.0
Short Term Debt Issuance,,,,102248000.0,2918000.0
Net Long Term Debt Issuance,4116000.0,-21612000.0,-17894000.0,40734000.0,
Long Term Debt Payments,-63477000.0,-74379000.0,-83341000.0,-63439000.0,
Long Term Debt Issuance,67593000.0,52767000.0,65447000.0,104173000.0,
Investing Cash Flow,-72218000.0,-92937000.0,-54345000.0,-64381000.0,
Net Investment Purchase And Sale,0.0,20000.0,,,
Sale Of Investment,0.0,20000.0,,,
Net Business Purchase And Sale,-26181000.0,-24252000.0,0.0,0.0,
Purchase Of Business,-26181000.0,-24252000.0,0.0,0.0,
Net PPE Purchase And Sale,-46037000.0,-68705000.0,-54345000.0,-64381000.0,
Sale Of PPE,1162000.0,520000.0,0.0,2903000.0,
Purchase Of PPE,-47199000.0,-69225000.0,-54345000.0,-67284000.0,
Operating Cash Flow,98964000.0,143333000.0,102515000.0,-22093000.0,
Taxes Refund Paid,-16179000.0,-9987000.0,-11095000.0,-5847000.0,
Interest Paid Cfo,-17531000.0,-19747000.0,-12005000.0,-10174000.0,
Change In Working Capital,18269000.0,25082000.0,19614000.0,-97951000.0,
Change In Other Current Liabilities,-24463000.0,12035000.0,816000.0,18401000.0,
Change In Inventory,3263000.0,3374000.0,-18193000.0,-52290000.0,
Change In Receivables,39469000.0,9673000.0,36991000.0,-64062000.0,
Other Non Cash Items,22000.0,-4317000.0,183000.0,-3545000.0,
Depreciation And Amortization,253095000.0,59300000.0,55164000.0,52218000.0,
Depreciation,253095000.0,59300000.0,55164000.0,52218000.0,
Net Income From Continuing Operations,-138712000.0,93002000.0,50654000.0,43206000.0,
