,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-1634040000.0,2109803000.0,1012021000.0,188223000.0,
Issuance Of Capital Stock,,,,0.0,-7724000.0
Capital Expenditure,-84263000.0,-91512000.0,-48235000.0,-37006000.0,
End Cash Position,4259084000.0,5744117000.0,3528368000.0,2366139000.0,
Other Cash Adjustment Outside Changein Cash,,,,,500528000.0
Beginning Cash Position,5744117000.0,3528368000.0,2367295000.0,2119002000.0,
Effect Of Exchange Rate Changes,89393000.0,-55402000.0,193701000.0,36159000.0,
Changes In Cash,-1574426000.0,2271151000.0,967372000.0,210978000.0,
Financing Cash Flow,-29129000.0,177633000.0,-36354000.0,22780000.0,
Net Other Financing Charges,-29129000.0,177633000.0,-14854000.0,44280000.0,
Interest Paid Cff,-29129000.0,-19847000.0,-14360000.0,-7331000.0,
Cash Dividends Paid,,,-21500000.0,-21500000.0,
Common Stock Dividend Paid,,,-21500000.0,-21500000.0,
Net Common Stock Issuance,,,,0.0,-7724000.0
Common Stock Issuance,,,,0.0,-7724000.0
Investing Cash Flow,4480000.0,-107797000.0,-56530000.0,-37031000.0,
Net Other Investing Changes,-15514000.0,-14938000.0,-8120000.0,,
Interest Received Cfi,-1443000.0,-1347000.0,-175000.0,,
Net Business Purchase And Sale,105700000.0,0.0,-30000.0,-25000.0,
Sale Of Business,105700000.0,0.0,,,
Purchase Of Business,,,-30000.0,-25000.0,0.0
Net Intangibles Purchase And Sale,-53264000.0,-37399000.0,-45004000.0,-35554000.0,
Purchase Of Intangibles,-53264000.0,-37399000.0,-45004000.0,-35554000.0,
Net PPE Purchase And Sale,-30999000.0,-54113000.0,-3231000.0,-1452000.0,
Purchase Of PPE,-30999000.0,-54113000.0,-3231000.0,-1452000.0,
Operating Cash Flow,-1549777000.0,2201315000.0,1060256000.0,225229000.0,
Taxes Refund Paid,-187972000.0,-53933000.0,-93272000.0,-41095000.0,
Change In Working Capital,-2255720000.0,1594715000.0,675038000.0,-121541000.0,
Change In Other Current Liabilities,-134524000.0,311144000.0,50862000.0,67152000.0,
Change In Receivables,-271355000.0,-45036000.0,-197117000.0,-29573000.0,
Other Non Cash Items,140608000.0,90468000.0,5364000.0,6669000.0,
Depreciation And Amortization,68402000.0,60466000.0,37398000.0,28638000.0,
Amortization Cash Flow,48758000.0,40293000.0,,,
Depreciation,19644000.0,20173000.0,37398000.0,28638000.0,
Net Income From Continuing Operations,684905000.0,509599000.0,435728000.0,352558000.0,
