,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,68000000.0,-67000000.0,135700000.0,157400000.0
Repayment Of Debt,-137000000.0,-103000000.0,-1289300000.0,0.0
Issuance Of Debt,462000000.0,390000000.0,2421000000.0,337300000.0
Issuance Of Capital Stock,1185000000.0,326000000.0,0.0,143400000.0
Capital Expenditure,-4000000.0,-3000000.0,,
End Cash Position,780000000.0,41000000.0,167800000.0,27000000.0
Other Cash Adjustment Outside Changein Cash,,,,100000.0
Beginning Cash Position,41000000.0,168000000.0,27000000.0,11800000.0
Effect Of Exchange Rate Changes,1000000.0,1000000.0,0.0,0.0
Changes In Cash,738000000.0,-128000000.0,140800000.0,15100000.0
Financing Cash Flow,1520000000.0,614000000.0,1131700000.0,483300000.0
Net Other Financing Charges,10000000.0,1000000.0,,2600000.0
Net Common Stock Issuance,1185000000.0,326000000.0,0.0,143400000.0
Common Stock Issuance,1185000000.0,326000000.0,0.0,143400000.0
Net Issuance Payments Of Debt,325000000.0,287000000.0,1131700000.0,337300000.0
Net Long Term Debt Issuance,325000000.0,287000000.0,1131700000.0,337300000.0
Long Term Debt Payments,-137000000.0,-103000000.0,-1289300000.0,0.0
Long Term Debt Issuance,462000000.0,390000000.0,2421000000.0,337300000.0
Investing Cash Flow,-854000000.0,-678000000.0,-1126600000.0,-625600000.0
Net Other Investing Changes,154000000.0,,100000.0,
Net Investment Purchase And Sale,-5000000.0,-151000000.0,-29300000.0,0.0
Sale Of Investment,0.0,4000000.0,0.0,0.0
Purchase Of Investment,-5000000.0,-155000000.0,-29300000.0,0.0
Net Investment Properties Purchase And Sale,-999000000.0,-524000000.0,-567500000.0,-625600000.0
Purchase Of Investment Properties,-999000000.0,-524000000.0,-567500000.0,-625600000.0
Net Business Purchase And Sale,,0.0,-529900000.0,0.0
Purchase Of Business,,0.0,-529900000.0,0.0
Net Intangibles Purchase And Sale,-4000000.0,-1000000.0,0.0,0.0
Purchase Of Intangibles,-4000000.0,-1000000.0,0.0,0.0
Net PPE Purchase And Sale,0.0,-2000000.0,0.0,0.0
Purchase Of PPE,0.0,-2000000.0,0.0,0.0
Operating Cash Flow,72000000.0,-64000000.0,135700000.0,157400000.0
Taxes Refund Paid,-12000000.0,-7000000.0,0.0,0.0
Change In Working Capital,-43000000.0,-157000000.0,77700000.0,120400000.0
Change In Other Current Liabilities,-1000000.0,-165000000.0,97300000.0,131300000.0
Change In Receivables,-42000000.0,8000000.0,-19600000.0,-10900000.0
Other Non Cash Items,-5000000.0,,,
Depreciation And Amortization,11000000.0,11000000.0,6500000.0,0.0
Depreciation,11000000.0,11000000.0,6500000.0,
Gain Loss On Investment Securities,36000000.0,207000000.0,-300900000.0,-126100000.0
Net Income From Continuing Operations,86000000.0,-120000000.0,352400000.0,163100000.0
