,2024-12-31,2023-12-31,2022-12-31
Free Cash Flow,879000000.0,901000000.0,853000000.0
Repayment Of Debt,-49000000.0,-41000000.0,-582000000.0
Issuance Of Debt,593000000.0,77000000.0,902000000.0
Issuance Of Capital Stock,0.0,63000000.0,399000000.0
Capital Expenditure,-348000000.0,-151000000.0,-123000000.0
End Cash Position,490000000.0,391000000.0,211000000.0
Other Cash Adjustment Outside Changein Cash,,-1000000.0,
Beginning Cash Position,391000000.0,211000000.0,494000000.0
Effect Of Exchange Rate Changes,24000000.0,-5000000.0,29000000.0
Changes In Cash,75000000.0,186000000.0,-312000000.0
Financing Cash Flow,305000000.0,-83000000.0,572000000.0
Net Other Financing Charges,8000000.0,,9000000.0
Net Common Stock Issuance,0.0,63000000.0,399000000.0
Common Stock Issuance,0.0,63000000.0,399000000.0
Net Issuance Payments Of Debt,544000000.0,36000000.0,320000000.0
Net Long Term Debt Issuance,544000000.0,36000000.0,320000000.0
Long Term Debt Payments,-49000000.0,-41000000.0,-582000000.0
Long Term Debt Issuance,593000000.0,77000000.0,902000000.0
Investing Cash Flow,-1457000000.0,-783000000.0,-1860000000.0
Net Business Purchase And Sale,-1109000000.0,-632000000.0,-1738000000.0
Purchase Of Business,-1109000000.0,-632000000.0,-1738000000.0
Net Intangibles Purchase And Sale,-348000000.0,-151000000.0,-122000000.0
Sale Of Intangibles,0.0,0.0,1000000.0
Purchase Of Intangibles,-348000000.0,-151000000.0,-123000000.0
Operating Cash Flow,1227000000.0,1052000000.0,976000000.0
Taxes Refund Paid,-201000000.0,-126000000.0,-100000000.0
Interest Received Cfo,11000000.0,3000000.0,3000000.0
Interest Paid Cfo,-228000000.0,-192000000.0,-98000000.0
Change In Working Capital,-41000000.0,121000000.0,33000000.0
Change In Other Current Liabilities,-189000000.0,317000000.0,67000000.0
Change In Inventory,-144000000.0,21000000.0,-12000000.0
Change In Receivables,292000000.0,-217000000.0,-22000000.0
Other Non Cash Items,112000000.0,60000000.0,7000000.0
Provisionand Write Offof Assets,-18000000.0,18000000.0,-78000000.0
Depreciation And Amortization,608000000.0,548000000.0,395000000.0
Amortization Cash Flow,241000000.0,260000000.0,167000000.0
Depreciation,367000000.0,288000000.0,228000000.0
Net Foreign Currency Exchange Gain Loss,18000000.0,39000000.0,106000000.0
Gain Loss On Sale Of Business,0.0,1000000.0,0.0
Net Income From Continuing Operations,966000000.0,579000000.0,708000000.0
