,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,217000000.0,307000000.0,370000000.0,223000000.0,
Repayment Of Debt,-3893000000.0,-1026000000.0,-1919000000.0,-1101000000.0,
Issuance Of Debt,5014000000.0,1379000000.0,2566000000.0,1635000000.0,
Issuance Of Capital Stock,489000000.0,1000000.0,0.0,6000000.0,
End Cash Position,214000000.0,134000000.0,315000000.0,160000000.0,
Other Cash Adjustment Outside Changein Cash,-1000000.0,,,,-1000000.0
Beginning Cash Position,134000000.0,315000000.0,160000000.0,361000000.0,
Changes In Cash,81000000.0,-181000000.0,155000000.0,-201000000.0,
Financing Cash Flow,1356000000.0,28000000.0,603000000.0,498000000.0,
Net Other Financing Charges,-254000000.0,-326000000.0,-44000000.0,-42000000.0,
Net Common Stock Issuance,489000000.0,1000000.0,0.0,6000000.0,
Common Stock Issuance,489000000.0,1000000.0,0.0,6000000.0,
Net Issuance Payments Of Debt,1121000000.0,353000000.0,647000000.0,534000000.0,
Net Long Term Debt Issuance,1121000000.0,353000000.0,647000000.0,534000000.0,
Long Term Debt Payments,-3893000000.0,-1026000000.0,-1919000000.0,-1101000000.0,
Long Term Debt Issuance,5014000000.0,1379000000.0,2566000000.0,1635000000.0,
Investing Cash Flow,-1492000000.0,-516000000.0,-818000000.0,-922000000.0,
Net Other Investing Changes,,,,,1000000.0
Net Investment Purchase And Sale,,0.0,1000000.0,2000000.0,-1000000.0
Net Investment Properties Purchase And Sale,-598000000.0,-516000000.0,-624000000.0,-256000000.0,
Purchase Of Investment Properties,-598000000.0,-516000000.0,-624000000.0,-256000000.0,
Net Business Purchase And Sale,-894000000.0,0.0,-195000000.0,-668000000.0,
Sale Of Business,224000000.0,0.0,386000000.0,0.0,
Purchase Of Business,-1118000000.0,0.0,-581000000.0,-668000000.0,
Operating Cash Flow,217000000.0,307000000.0,370000000.0,223000000.0,
Taxes Refund Paid,-1000000.0,-13000000.0,-1000000.0,-1000000.0,
Change In Working Capital,-119000000.0,32000000.0,89000000.0,-64000000.0,
Change In Other Current Liabilities,-88000000.0,28000000.0,47000000.0,-12000000.0,
Change In Receivables,-31000000.0,4000000.0,42000000.0,-52000000.0,
Other Non Cash Items,26000000.0,-1000000.0,16000000.0,17000000.0,
Depreciation And Amortization,2000000.0,2000000.0,3000000.0,3000000.0,
Depreciation,2000000.0,2000000.0,3000000.0,3000000.0,
Net Foreign Currency Exchange Gain Loss,0.0,-1000000.0,-24000000.0,0.0,
Net Income From Continuing Operations,308000000.0,287000000.0,287000000.0,267000000.0,
