,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,19207243.0,30767273.0,13142566.0,7960647.0,
Repayment Of Debt,-3774500.0,0.0,,,
Issuance Of Debt,1432686.0,3774500.0,0.0,0.0,
Issuance Of Capital Stock,-33400.0,0.0,0.0,729293.0,
Capital Expenditure,-4001241.0,-6408792.0,-4645423.0,-6221434.0,
End Cash Position,14400043.0,167397827.0,15570963.0,32463071.0,
Other Cash Adjustment Outside Changein Cash,-1.0,-2.0,-2.0,1.0,
Beginning Cash Position,167397827.0,15570963.0,32463071.0,56542868.0,
Effect Of Exchange Rate Changes,244040.0,-153955.0,462538.0,61052.0,
Changes In Cash,-153241823.0,151980821.0,-17354644.0,-24140850.0,
Financing Cash Flow,-138536998.0,-20973006.0,-31061993.0,-33026783.0,
Net Other Financing Charges,1.0,,,-1.0,-501057.0
Cash Dividends Paid,-126624964.0,-11928439.0,-17431981.0,-26609594.0,
Net Common Stock Issuance,-33400.0,0.0,0.0,729293.0,
Common Stock Issuance,-33400.0,0.0,0.0,729293.0,
Net Issuance Payments Of Debt,-2341814.0,3774500.0,0.0,0.0,
Net Long Term Debt Issuance,-2341814.0,3774500.0,0.0,0.0,
Long Term Debt Payments,-3774500.0,0.0,,,
Long Term Debt Issuance,1432686.0,3774500.0,0.0,0.0,
Investing Cash Flow,-37913309.0,135777762.0,-4080640.0,-5296148.0,
Net Other Investing Changes,1.0,,,-1.0,
Net Investment Purchase And Sale,-34083884.0,-43842113.0,-214000.0,-6250.0,
Sale Of Investment,,,,0.0,480000.0
Purchase Of Investment,-34083884.0,-43842113.0,-214000.0,-6250.0,
Net Business Purchase And Sale,0.0,186028667.0,,,
Sale Of Business,0.0,186028667.0,,,
Net Intangibles Purchase And Sale,-1661849.0,0.0,-2211318.0,-1108180.0,
Purchase Of Intangibles,-1661849.0,0.0,-2211318.0,-1108180.0,
Net PPE Purchase And Sale,-2167577.0,-6408792.0,-1655322.0,-4181717.0,
Sale Of PPE,171815.0,0.0,778783.0,931537.0,
Purchase Of PPE,-2339392.0,-6408792.0,-2434105.0,-5113254.0,
Operating Cash Flow,23208484.0,37176065.0,17787989.0,14182081.0,
Taxes Refund Paid,-2335615.0,-5213072.0,-4205002.0,-8613785.0,
Interest Received Cfo,1987555.0,704707.0,117271.0,207417.0,
Interest Paid Cfo,-1212943.0,-1476993.0,-1647577.0,-890270.0,
Change In Working Capital,6083007.0,11349449.0,-11406271.0,-14634725.0,
Change In Other Current Liabilities,-6825029.0,-17258727.0,12043241.0,-13566621.0,
Change In Receivables,12908036.0,28608176.0,-23449512.0,-1068104.0,
Other Non Cash Items,-109595.0,-1088552.0,-359110.0,631.0,
Depreciation And Amortization,10847000.0,12995000.0,14770000.0,15225000.0,
Depreciation,10847000.0,12995000.0,14770000.0,15225000.0,
Gain Loss On Investment Securities,,,-485000.0,-433000.0,-680000.0
Net Foreign Currency Exchange Gain Loss,-1064000.0,-533000.0,-526000.0,29000.0,
Net Income From Continuing Operations,9751064.0,22295493.0,20980677.0,23297813.0,
