,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,8177000.0,185364000.0,87888000.0,464796000.0
Repayment Of Debt,,-183644000.0,-11998000.0,-93763000.0
Issuance Of Debt,5000.0,,,
Capital Expenditure,-815819000.0,-480755000.0,-181625000.0,-188543000.0
End Cash Position,3757983000.0,3822451000.0,3140196000.0,2397037000.0
Beginning Cash Position,3822451000.0,3140196000.0,2397037000.0,2034272000.0
Effect Of Exchange Rate Changes,97857000.0,-41605000.0,7854000.0,15340000.0
Changes In Cash,-162325000.0,723860000.0,735305000.0,347425000.0
Financing Cash Flow,-24495000.0,-204144000.0,-36816000.0,-113763000.0
Cash Dividends Paid,-24500000.0,-20500000.0,-20500000.0,-20000000.0
Net Issuance Payments Of Debt,5000.0,-183644000.0,-11998000.0,-93763000.0
Net Long Term Debt Issuance,5000.0,-183644000.0,-11998000.0,-93763000.0
Long Term Debt Payments,,-183644000.0,-11998000.0,-93763000.0
Long Term Debt Issuance,5000.0,,,
Investing Cash Flow,-961826000.0,261885000.0,502608000.0,-192151000.0
Net Investment Purchase And Sale,-56334000.0,0.0,9540000.0,-234000.0
Sale Of Investment,0.0,0.0,9540000.0,0.0
Purchase Of Investment,-56334000.0,0.0,0.0,-234000.0
Net Investment Properties Purchase And Sale,-12834000.0,-16110000.0,-98002000.0,-3576000.0
Purchase Of Investment Properties,-12834000.0,-16110000.0,-98002000.0,-3576000.0
Net Business Purchase And Sale,-76839000.0,-65687000.0,-10973000.0,0.0
Sale Of Business,4444000.0,240000.0,19027000.0,0.0
Purchase Of Business,-81283000.0,-65927000.0,-30000000.0,0.0
Net Intangibles Purchase And Sale,-216990000.0,-9385000.0,0.0,
Purchase Of Intangibles,-216990000.0,-9385000.0,0.0,
Net PPE Purchase And Sale,-598829000.0,353067000.0,602043000.0,-188341000.0
Sale Of PPE,0.0,824437000.0,783668000.0,202000.0
Purchase Of PPE,-598829000.0,-471370000.0,-181625000.0,-188543000.0
Operating Cash Flow,823996000.0,666119000.0,269513000.0,653339000.0
Change In Working Capital,50867000.0,2440000.0,-4320000.0,127510000.0
Change In Other Current Liabilities,232585000.0,-13632000.0,-5416000.0,105603000.0
Change In Inventory,-47965000.0,3913000.0,-7583000.0,-8292000.0
Change In Receivables,-133753000.0,12159000.0,8679000.0,30199000.0
Other Non Cash Items,32170000.0,-693000.0,15000.0,
Deferred Tax,-3442000.0,-332000.0,133000.0,-3046000.0
Depreciation And Amortization,334135000.0,377760000.0,387139000.0,378333000.0
Depreciation,334135000.0,377760000.0,387139000.0,378333000.0
Net Foreign Currency Exchange Gain Loss,-97344000.0,42502000.0,8868000.0,780000.0
Gain Loss On Sale Of PPE,0.0,-280190000.0,-525455000.0,3000.0
Net Income From Continuing Operations,507610000.0,524632000.0,403133000.0,149759000.0
