,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,17608000.0,4275000.0,7896000.0,7580525.0,
Repurchase Of Capital Stock,-29682000.0,0.0,,,
Repayment Of Debt,-50698000.0,-4820000.0,-111000.0,0.0,
Issuance Of Debt,60300000.0,18700000.0,4354000.0,,
Issuance Of Capital Stock,0.0,9350000.0,15000000.0,0.0,
Capital Expenditure,-377000.0,,-226000.0,-51971.0,
End Cash Position,30051000.0,27867000.0,17635000.0,10664356.0,
Other Cash Adjustment Outside Changein Cash,,,,,-1000.0
Beginning Cash Position,27867000.0,17635000.0,10664000.0,4146155.0,
Effect Of Exchange Rate Changes,-26000.0,-192000.0,-151000.0,,
Changes In Cash,2210000.0,10424000.0,7122000.0,6518201.0,
Financing Cash Flow,-24528000.0,14660000.0,9944000.0,-1000000.0,
Net Other Financing Charges,,,4202784.0,,-2000000.0
Cash Dividends Paid,,-6054000.0,-5500000.0,-1000000.0,-1630000.0
Common Stock Dividend Paid,0.0,-6054000.0,-5500000.0,-1000000.0,
Net Common Stock Issuance,-29682000.0,9350000.0,15000000.0,0.0,
Common Stock Payments,-29682000.0,0.0,,,
Common Stock Issuance,0.0,9350000.0,15000000.0,0.0,
Net Issuance Payments Of Debt,9602000.0,13880000.0,4243000.0,0.0,
Net Short Term Debt Issuance,0.0,0.0,,,
Net Long Term Debt Issuance,9602000.0,13880000.0,4243000.0,0.0,
Long Term Debt Payments,-50698000.0,-4820000.0,-111000.0,0.0,
Long Term Debt Issuance,60300000.0,18700000.0,4354000.0,,
Investing Cash Flow,8753000.0,-8511000.0,-10944000.0,-114295.0,
Net Other Investing Changes,63000.0,5000.0,-34000.0,-62324.0,
Net Business Purchase And Sale,9067000.0,-8516000.0,-10684000.0,0.0,
Sale Of Business,9067000.0,412000.0,,,
Purchase Of Business,0.0,-8928000.0,0.0,0.0,
Net Intangibles Purchase And Sale,,0.0,-226000.0,,
Purchase Of Intangibles,,0.0,-226000.0,,
Net PPE Purchase And Sale,-377000.0,0.0,0.0,-51971.0,
Sale Of PPE,0.0,412000.0,0.0,,
Purchase Of PPE,-377000.0,0.0,-226096.0,-51971.0,
Operating Cash Flow,17985000.0,4275000.0,8122000.0,7632496.0,
Taxes Refund Paid,-783000.0,-3085000.0,-1346000.0,-319413.0,
Interest Received Cfo,953000.0,71000.0,0.0,4000.0,
Interest Paid Cfo,-2981000.0,-1214000.0,-342000.0,-14411.0,
Change In Working Capital,-3979000.0,2028000.0,-1366000.0,-792396.0,
Change In Other Current Liabilities,8348000.0,11195000.0,1275000.0,1006628.0,
Change In Receivables,-12327000.0,-9167000.0,-2641000.0,-1799024.0,
Other Non Cash Items,,-100000.0,,,
Depreciation And Amortization,4637000.0,2656000.0,1588000.0,54266.0,
Amortization Cash Flow,34000.0,,,,
Depreciation,4603000.0,2656000.0,1588000.0,54266.0,
Net Income From Continuing Operations,20138000.0,3919000.0,9588000.0,8704450.0,
